Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Carex elata;12-30 in;12-30 in;24 in;4 - 9;Tan;Tufted sedge;Wet to Moist;Full Sun to Partial Shade;June,May;Pollinators,Songbirds;Dried Flower,Bog,Rain Garden;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Carex grayi 'New Moon Mighty';3-4 ft;1-2 ft; ;5-9;Green;New Moon Mighty grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October;Pollinators,Songbirds;Long Blooming,Ground Cover,Dried Flower,Rain Garden,Cut Flower,Bog,Reblooming,Naturalizing;Deer Resistant;Green; ; ;Fall,Summer,Spring; ;
Carex muskingumensis;2-3 ft;2-3 ft;12-18 in;4-7;Green, Tan;Palm sedge;Moist to Wet;Full Sun to Partial Shade;July; ;Drought Tolerant,Naturalizing;Deer Resistant; ; ; ; ; ;
Carex sprengelii;1-3 ft;2 ft;2-3 ft;3-5;Brown, Green;Long Beaked Sedge;Moist to Wet;Full Sun to Partial Shade;August,July;Songbirds;Rain Garden,Naturalizing,Ground Cover,East-Coast Native,Bog;Deer Resistant;Green;Medium; ; ; ;
Carex stricta;3-4 ft;1-2 ft; ;5-8;Green, Tan;Tussock sedge;Wet to Moist;Partial Shade to Full Sun;June; ;Bog,Naturalizing,Evergreen;Deer Resistant; ; ; ; ; ;
Carex vulpinoidea;2-4 ft;2-4 ft;3-4 ft;3-9;Green, Tan;Fox sedge;Wet to Moist;Partial Shade to Full Sun;June;Pollinators,Songbirds;Naturalizing;Deer Resistant;Green; ; ;Spring; ;
Cephalanthus occidentalis;5-12 ft;4-8 ft;4-8 ft;5-9;White;Buttonbush;Moist to Wet;Full Sun to Partial Shade;June;Butterflies,Pollinators;Naturalizing,East-Coast Native,Cut Flower,Bog,Rain Garden; ;Green;Slow; ;Fall,Summer,Winter; ;
Elymus virginicus;2-4 ft;1-2 in;18-24 in;3-8;Green, Tan;Virginia wild rye;Wet to Moist;Full Sun to Partial Shade;August; ;Bog,Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Drought Tolerant,Clay Soil; ;Green; ; ; ;Hydrocarbons;
Equisetum hyemale;2-4 ft;1-6 ft;2-8 ft;4-9;Green;scouring rush, rough horsetail;Moist,Moist to Wet,Wet to Moist,Wet;Full Sun to Partial Shade;July,August;Songbirds,Pollinators;Coastal,Rain Garden,Rock Garden,Clay Soil,Naturalizing,Bog,Interesting Foliage,Evergreen,East-Coast Native,Container;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Helenium autumnale;3-5 ft;2-3 ft;3-4 ft;3-9;Burgundy;Common sneezeweed;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Songbirds,Pollinators;Cut Flower,Coastal,Clay Soil,Bog,Naturalizing,East-Coast Native,Rain Garden,Drought Tolerant;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Helenium autumnale 'Helena Red Shades';4 ft;3 ft;3-4 ft;3-9;Burgundy;Helena Red Shades common sneezeweed;Moist to Wet;Full Shade to Partial Shade;August,July;Butterflies,Songbirds,Pollinators;Cut Flower,Coastal,Clay Soil,Bog,Naturalizing,East-Coast Native,Rain Garden,Drought Tolerant;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Helenium flexuosum;2-5 ft;1-2 ft; ;3-8;Purple, Yellow;purple-headed sneezeweed;Wet to Moist;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;Cut Flower,Rain Garden,Clay Soil,Bog,Naturalizing,Long Blooming,East-Coast Native;Deer Resistant;Green; ;Medium;Summer,Spring; ;
Helianthus angustifolius;5-7 ft;4-6 ft;3-4 ft;5-9;Yellow;Swamp sunflower, narrow leaved sunflower;Moist to Wet;Full Sun to Partial Shade;November,October;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Clay Soil,Bog,Naturalizing,East-Coast Native;Deer Resistant;Green; ; ; ; ;
Hibiscus moscheutos;4-7 ft;3-4 ft;3-6 ft;5-8;Pink, White;Swamp mallow;Wet to Moist;Full Sun;September,August,July;Pollinators,Hummingbirds,Butterflies;East-Coast Native,Coastal,Rain Garden,Bog,Reblooming,Long Blooming;Deer Resistant;Green;Fast;Low;Summer; ;
Hibiscus moscheutos 'Disco Belle Pink';24-30 in;18-24 in;24-36 in;4-9;Pink;Disco Belle Pink Hardy Hibiscus;Moist to Wet;Full Sun;September,August,July;Pollinators,Butterflies;Reblooming,Long Blooming,Drought Tolerant,Rain Garden,Bog;Deer Resistant;Green;Fast;Low;Fall,Summer; ;
Hibiscus moscheutos 'Disco Belle Red';24-30 in;18-24 in;24-36 in;4-9;Red;Disco Belle Red Hardy Hibiscus;Moist to Wet;Full Sun;September,August,July;Pollinators,Butterflies;Reblooming,Long Blooming,Drought Tolerant,Rain Garden,Bog;Deer Resistant;Green;Fast;Low;Fall,Summer; ;
Iris versicolor;2-3 ft;2-3 ft; ;2-7;Blue;Blue flag;Wet to Moist;Full Sun to Partial Shade;June,May;Hummingbirds;Naturalizing,Bog;Deer Resistant;Green; ; ; ; ;
Iris virginica;2 ft;2-3 ft; ;5-9;Blue;Southern blue flag;Wet to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators;Naturalizing,Bog;Deer Resistant;Green;Fast; ;Summer,Spring;TCE-trichloroethylene,TCE-trichloroethyleneand by-products;
Juncus effusus;3-4 ft;2-3 ft;2 ft;2-9;Insignificant;Soft rush;Moist to Wet,Wet,Wet to Moist,Moist;Full Sun;July;Pollinators;Coastal,Clay Soil,Bog,Naturalizing,Rain Garden,Evergreen,East-Coast Native;Deer Resistant;Green;Fast; ;Summer,Spring,Winter,Fall; ;
Juncus tenuis;6-24 in;6-24 in;12 in;3-9;Green, Tan;Path rush;Moist to Wet;Full Sun to Full Shade;July;Pollinators;Naturalizing,Ground Cover,Rain Garden,Drought Tolerant,Clay Soil,Bog;Deer Resistant;Green;Fast;Medium;Spring,Winter,Fall,Summer; ;
Lobelia cardinalis;2-5 ft;1-2 ft;18-24 in;3-9;Red;Cardinal flower;Wet to Moist;Full Sun to Full Shade;August,September;Butterflies,Hummingbirds;Naturalizing,East-Coast Native,Cut Flower,Bog,Rain Garden;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Lobelia cardinalis 'New Moon Maroon';2-4 ft;1-2 ft;1 ft;4-8;Red;Cardinal flower;Wet to Moist;Full Sun to Partial Shade;September,August;Hummingbirds;Long Blooming,Interesting Foliage,Favorite,Rain Garden,Drought Tolerant,Cut Flower,Bog; ;Maroon;Medium; ;Spring,Fall,Summer; ;
Lobelia siphilitica;1-4 ft;12-18 in;18-24 in;4-8;Blue, Violet;Great Blue Lobelia;Wet to Moist;Partial Shade to Full Shade;July,September,August;Butterflies,Hummingbirds;Reblooming,Naturalizing,Rain Garden,Cut Flower,Bog;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Monarda didyma;2-3 ft;2-3 ft;2 ft;4-7;Red;Scarlet Bee Balm;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators,Hummingbirds;Rain Garden,Favorite,East-Coast Native,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Panicum virgatum;3-6 ft;2-3 ft; ;3-9;Green, Tan;Switch grass;Wet to Moist;Full Sun,Sun/Light Shade;July;Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Cut Flower; ;Green; ;Medium; ;Hydrocarbons;
Physostegia virginiana;3-4 ft;2-3 ft; ;3-9;Pink;Obedient plant;Moist to Wet;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog,Naturalizing,Long Blooming,Favorite;Deer Resistant;Green;Fast;Medium;Summer,Spring; ;
Pycnanthemum virginianum;2-3 ft;12-18 in;18-24 in;3 - 7;White;American mountain mint;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Rain Garden,Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing,Long Blooming,East-Coast Native; ;Green;Medium; ;Summer,Spring; ;
Rudbeckia laciniata;3-8 ft;2-4 ft;3 ft;4-9;Yellow;Green-headed coneflower;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;East-Coast Native,Cut Flower,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing,Long Blooming;Deer Resistant;Green;Medium;Low; ; ;
Rudbeckia laciniata 'Autumn Sun';4-7 ft;3-4 ft;18 Inches;4-9;Yellow;Autumn Sun cut-leaf coneflower;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;East-Coast Native,Cut Flower,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing,Long Blooming;Deer Resistant;Green;Medium;Low; ; ;
Scirpus atrovirens;3-4 ft;2-4 ft;3-4 ft;3-9;Green, Tan;Green bulrush;Wet to Moist;Full Sun to Partial Shade;September,August,July,June; ;Naturalizing,Rain Garden; ;Green; ;Medium;Fall,Summer,Spring,Winter; ;
Scirpus cyperinus;3-6 ft;3-5 ft;4 ft;4-9;Green, Tan;Wool grass;Wet to Moist;Full Sun to Partial Shade;September,August,July; ;Rain Garden,Bog,Naturalizing,East-Coast Native; ;Green; ;Medium;Fall,Summer,Spring,Winter; ;
Scirpus validus (tabernaemontani);6-8 ft;4-5 ft;4 ft;3-9;Green, Tan;Soft stemmed bulrush;Wet,Wet to Moist;Full Sun to Partial Shade;October,September,August,July,June;Songbirds,Pollinators;East-Coast Native,Coastal,Clay Soil,Bog,Rain Garden,Naturalizing,Interesting Foliage;Deer Resistant;Green; ;Medium;Spring,Winter,Fall,Summer;Zn-Zinc,Pb-Lead,Cu-Copper,Cd-Cadmium;
Sedum ternatum;2-3 in;6-12 in;8 in;3-9;White;three-leaved stone crop;Moist to Dry;Full Shade to Partial Shade;June,May;Butterflies,Pollinators;Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
Senecio aureus;1-2 ft;1 ft;18 in;4-9;Yellow;Golden ragwort;Moist to Wet;Partial Shade;May;Pollinators,Butterflies;Ground Cover,East-Coast Native,Cut Flower,Bog,Rain Garden;Deer Resistant;Green;Medium; ;Summer,Spring,Fall; ;
Solidago graminifolia;2-4 ft;1-2 ft;2 ft;3-9;Yellow;Grass-leaved goldenrod;Moist to Wet;Full Sun to Partial Shade;October,September;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing; ;Green;Medium; ;Fall,Summer,Spring; ;
Sorghastrum nutans;3-5 ft;2-3 ft;3 ft;2-9;Green, Tan;Indian grass;Dry to Moist;Full Sun to Partial Shade;August;Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Clay Soil; ;Green;Fast;Low;Fall,Summer,Spring,Winter; ;
Verbena hastata;2-6 ft;1-2 ft;18-24 in;3-9;Purple;Blue vervain;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;Favorite,East-Coast Native,Rain Garden,Dried Flower,Cut Flower,Bog,Naturalizing,Long Blooming; ;Green;Fast;Medium;Summer,Spring; ;
Vernonia lettermannii 'Iron Butterfly';2-3 ft;2-3 ft;2-4 ft;4-9;Purple;Iron Butterfly ironweed;Moist to Wet;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Rain Garden,Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden;Deer Resistant;Green;Fast; ;Fall,Summer,Spring; ;
Vernonia noveborecensis;4-8 ft;2-4 ft;2-4 ft;5-9;Purple;New York ironweed;Moist to Wet;Full Sun to Partial Shade;October,September,August,July;Butterflies,Pollinators;Long Blooming,East-Coast Native,Cut Flower,Clay Soil,Bog,Rain Garden,Naturalizing;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Veronicastrum virginicum;4-8 ft;2-3 ft;2-3 ft;3-8;White;Culver root;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Rain Garden,Cut Flower,Clay Soil,Bog,Naturalizing,Long Blooming; ;Green;Medium; ;Summer,Spring; ;
Zizia aureus;1-3 ft;1-2 ft;18-24 in;3-9;Yellow;Golden Alexander's;Moist to Wet;Full Sun to Partial Shade;June,May;Butterflies,Pollinators;Naturalizing,Drought Tolerant,Cut Flower,Rain Garden,Clay Soil,Bog,Rock Garden; ;Green; ;Medium;Winter,Summer,Spring; ;
