Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Anemone canadensis;1-2 ft;2-3 ft;18-24 in;3-8;White;Meadow anemone;Moist to Wet;Full Sun to Partial Shade;June,May,April; ;Clay Soil,Naturalizing; ;Green; ; ; ; ;
Anemone virginiana;3 ft;1-2 ft;18-24 in;3-8;White;Thimble weed;Moist;Full Sun,Shade,Partial Shade;June,May; ;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Antennaria neglecta;4-8 in; ; ;3-8;White;Field pussytoes;Moist to Dry;Full Sun to Partial Shade;June,May,April;Butterflies,Pollinators;Clay Soil; ;Green;Slow;Medium;Summer,Spring,Winter,Fall; ;
Antennaria plantaginifolia;6-12 in;8-18 in;12-18 in;3-8;White;Plantain-leaved pussytoes;Dry;Full Sun;June,May,April;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Dried Flower,Rock Garden,Naturalizing,Ground Cover; ;Green;Slow;Medium;Summer,Spring; ;
Aquilegia canadensis;2 ft;1-2 ft; ;3-8;Red;Wild columbine;Moist;Full Sun to Full Shade;May,April;Hummingbirds;Naturalizing,Cut Flower;Deer Resistant;Green; ;High;Summer,Spring; ;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;Swamp milkweed;Wet to Moist;Full Sun to Partial Shade;June,July;Butterflies,Songbirds,Pollinators;Naturalizing,Fragrant,Clay Soil;Deer Resistant;Green;Fast;Medium; ; ;
Asclepias incarnata 'Ice Ballet';3-4 ft;2-3 in;3-4 ft;3-9;White;Swamp milkweed;Wet to Moist;Full Sun;August,July;Pollinators,Butterflies;Fragrant,Rain Garden,East-Coast Native,Cut Flower,Bog,Naturalizing; ;Green; ;Medium; ; ;
Aster azureus (Symphyotrichum oolentangiense);24-36 ft;18-24 in;24-36 in;3 - 8;Light Blue;skyblue aster;Dry to Moist;Full Sun;October,September;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Baptisia tinctoria;2-3 Feet;2-3 ft;3-6 ft;3-9;Yellow;Yellow wild indigo;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing;Deer Resistant;Green;Slow;Medium;Summer,Spring; ;
Blephilia ciliata;1-2 ft;1-2 ft;2-3 ft;4-8;Pink;Downy wood mint;Moist to Dry;Full Sun to Partial Shade;June,August,July;Butterflies,Pollinators;Naturalizing,Interesting Foliage,Favorite,Rain Garden,Drought Tolerant; ;Green;Medium; ;Spring,Summer; ;
Boltonia asteroides;3-5 ft;2-4 ft;4-6 ft;3-9;White;Thousand-flowered aster;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;Long Blooming,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Bouteloua curtipendula;1-3 ft;2 ft;3-4 ft;3-9;Green, Tan;Sideoats grama;Dry;Full Sun;July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant; ; ;Medium; ; ;
Bouteloua gracilis;9-24 Inches;18-24 Inches;18 in;3-10;Blue Green, Tan;Blue Grama;Dry;Full Sun to Partial Shade;June,August,July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant;Blue-Green;Medium; ;Fall,Summer,Spring,Winter;Hydrocarbons;
Callirhoe involucrata;6-12 in;1-3 ft;2-3 ft;3-9;Purple Red;Wine cups;Dry;Full Sun to Partial Shade;September,August,July;Pollinators,Butterflies;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Clay Soil,Naturalizing,Long Blooming,Ground Cover; ;Green; ; ; ; ;
Caltha palustris;1 ft;1-2 ft;18-24 in;3-7;Yellow;Marsh marigold;Wet to Moist;Full Sun to Full Shade;June,May,April;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Medium;High;Summer,Spring; ;
Campsis radicans;30-40 ft;5-10 ft; ;5-9;Orange, Red;Trumpet creeper;Moist/Well-Drained;Full Sun to Partial Shade;September,August,July,June;Pollinators,Hummingbirds,Butterflies;Drought Tolerant,Climbing,Clay Soil,Naturalizing,Long Blooming,East-Coast Native;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
Carex albicans;15-20 Inches;15-20 in;12-18 in;4-8;Green;White-tinged sedge;Moist to Dry;Partial Shade to Full Shade;May;Pollinators,Songbirds;Ground Cover; ;Green; ; ; ; ;
Carex amphibola;12-18 in;12-18 in;15-24 in;3-9;Green;Creek sedge;Moist to Wet;Partial Shade to Full Shade;March,June,May,April; ; ; ;Green; ; ; ; ;
Carex appalachica;6 Inches;12-18 in;18-24 in;3-7;Green;Appalachian sedge;Dry;Full Sun,Shade,Partial Shade;May; ;Rock Garden,Ground Cover;Deer Resistant; ; ; ; ; ;
Carex bicknellii;1-3 Feet;1-3 ft;2-6 ft;3-7;Green;Prairie sedge;Moist to Dry;Full Sun to Full Shade;May; ;Rain Garden; ;Green; ; ; ; ;
Carex blanda;2 ft;2 ft;3 ft;3-9;Green;Common Wood Sedge;Moist to Dry;Full Shade to Full Sun;May;Butterflies,Songbirds,Pollinators;East-Coast Native,Clay Soil,Bog,Rain Garden; ;Green;Fast; ;Summer,Spring,Winter,Fall; ;
Carex brevior;12 in;12 in;18-24 in;3-8;Green;Plains oval sedge;Moist to Dry;Full Sun to Partial Shade;May,April; ;Drought Tolerant,Rain Garden,Naturalizing,Ground Cover,Evergreen,East-Coast Native; ;Green; ; ; ; ;
Carex bromoides;1 ft;12-18 Inches;1-2 ft;4-8;Green, Tan;Brome-like sedge;Moist to Wet;Full Sun to Partial Shade;July,June,May;Pollinators,Songbirds;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil,Bog;Deer Resistant;Green;Fast; ;Spring; ;
Carex cherokeensis;12-18 in;1 ft;12-18 in;6-9;Green;Cherokee sedge;Wet to Moist;Full Sun to Full Shade;June,May,April;Pollinators,Songbirds; ;Deer Resistant; ; ; ; ; ;
Carex comosa;2-3 Feet;18-36 in;18-24 in;4-8;Brown, Green;Bristly sedge, Longhair sedge;Wet to Moist;Full Sun to Partial Shade;July,August; ; ; ; ; ; ; ; ;
Carex crinita;3-4 ft;3-4 ft;6-8 ft;3-9;Blue, Green;Fringed sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ; ;Blue-Green; ; ; ; ;
Carex grayi;2-3 ft;1-2 ft; ;5 to 9;Silver;Bur sedge, Grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Rain Garden,Cut Flower,Dried Flower;Deer Resistant;Green; ; ; ; ;
Carex grayi 'New Moon Mighty';3-4 ft;1-2 ft; ;5-9;Green;New Moon Mighty grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October;Pollinators,Songbirds;Long Blooming,Ground Cover,Dried Flower,Rain Garden,Cut Flower,Bog,Reblooming,Naturalizing;Deer Resistant;Green; ; ;Fall,Summer,Spring; ;
Carex laxiculmis;1 ft; ; ;4-7;White, Yellow;Creeping sedge;Moist;Full Shade to Partial Shade;July,June,May,April; ;Ground Cover;Deer Resistant;Blue-Green; ; ; ; ;
Carex leavenworthii;6-12 in;6-12 Inches;12-18 in;6-9; ;Lawn Sedge;Moist;Full Shade to Full Sun;April;Songbirds,Pollinators,Butterflies;Interesting Foliage,Evergreen,Drought Tolerant,Naturalizing,Ground Cover;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Carex lurida;3 ft;1-2 ft; ;2-9;Green, Tan;Lurid sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ;Deer Resistant; ; ; ; ; ;
Carex muskingumensis;2-3 ft;2-3 ft;12-18 in;4-7;Green, Tan;Palm sedge;Moist to Wet;Full Sun to Partial Shade;July; ;Drought Tolerant,Naturalizing;Deer Resistant; ; ; ; ; ;
Carex pensylvanica;16 in;1 ft;6-10 in;3-8;Green, Tan;Pennsylvania sedge;Moist to Dry;Full Shade to Partial Shade;May; ;Ground Cover,Naturalizing;Deer Resistant; ;Medium; ; ; ;
Carex plantaginea;6-12 in;10-12 in;12-24 in;4-8;Green;Seersucker sedge;Moist;Partial Shade to Full Shade;May; ;Rock Garden,Ground Cover; ; ; ; ; ; ;
Carex radiata;1-2 ft;1-2 ft;1-2 ft;4-8;Green;Eastern star sedge;Moist;Partial Shade;June,May;Songbirds;Ground Cover,East-Coast Native,Rain Garden,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Carex rosea;1 ft;1 ft;18-24 in;4-8;Green;Rosy sedge, Curly wood sedge;Dry,Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Bog,Naturalizing,Rain Garden,Ground Cover;Deer Resistant;Green;Medium; ; ; ;
Carex socialis;1-2 ft;1-2 ft;24-36 in;5-9;Green;Social sedge, low woodland sedge;Wet to Moist,Wet,Moist;Partial Shade;June; ;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
Carex sprengelii;1-3 ft;2 ft;2-3 ft;3-5;Brown, Green;Long Beaked Sedge;Moist to Wet;Full Sun to Partial Shade;August,July;Songbirds;Rain Garden,Naturalizing,Ground Cover,East-Coast Native,Bog;Deer Resistant;Green;Medium; ; ; ;
Carex stricta;3-4 ft;1-2 ft; ;5-8;Green, Tan;Tussock sedge;Wet to Moist;Partial Shade to Full Sun;June; ;Bog,Naturalizing,Evergreen;Deer Resistant; ; ; ; ; ;
Carex texensis;6 Inches;1 ft;18-24 in;5-9;Green;Catlin sedge;Dry,Dry to Moist,Moist;Full Sun to Full Shade;May; ;Ground Cover,Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Naturalizing;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Carex vulpinoidea;2-4 ft;2-4 ft;3-4 ft;3-9;Green, Tan;Fox sedge;Wet to Moist;Partial Shade to Full Sun;June;Pollinators,Songbirds;Naturalizing;Deer Resistant;Green; ; ;Spring; ;
Carex woodii;6-12 Inches;6-12 Inches;12-18 in;4-6;Burgundy, Green;Pretty sedge, wood's sedge;Dry to Moist;Partial Shade to Full Shade;April,May;Pollinators;Naturalizing,Ground Cover,East-Coast Native,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Ceanothus americanus;3 ft;3-5 ft;4-5 ft;4-10;White;New Jersey tea;Moist to Dry;Full Sun to Partial Shade;August,July,June;Butterflies,Pollinators,Hummingbirds;Fragrant,East-Coast Native,Rain Garden,Drought Tolerant,Cut Flower,Naturalizing; ;Green;Slow; ;Summer,Spring; ;
Cephalanthus occidentalis;5-12 ft;4-8 ft;4-8 ft;5-9;White;Buttonbush;Moist to Wet;Full Sun to Partial Shade;June;Butterflies,Pollinators;Naturalizing,East-Coast Native,Cut Flower,Bog,Rain Garden; ;Green;Slow; ;Fall,Summer,Winter; ;
Chasmanthium latifolium;3-4 ft;2-3 ft; ;5-8;Green, Tan;Northern seaoates;Moist to Wet;Full Sun,Full Sun to Full Shade;July;Songbirds,Pollinators;Naturalizing,Dried Flower,Cut Flower; ; ; ;Medium; ; ;
Chelone glabra;2-3 ft;2 ft;3-4 ft;3-8;White;Turtlehead;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;East-Coast Native,Cut Flower,Clay Soil,Bog,Rain Garden,Naturalizing,Long Blooming;Deer Resistant;Green; ; ; ; ;
Chelone lyonii 'Hot Lips';2-3 ft;1 ft;18-24 in;4-7;Medium Pink;Pink turtlehead;Moist to Wet;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;Drought Tolerant,Rain Garden,Cut Flower,Clay Soil,Bog,Long Blooming,East-Coast Native;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Chrysogonum virginianum;3-4 in;8-10 Inches;12 in;5-9;Yellow;Golden star;Well-Drained;Partial Shade to Full Shade;June,May,April;Pollinators;Naturalizing,Ground Cover,Evergreen,Drought Tolerant,Clay Soil,Rock Garden,Reblooming;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chrysogonum virginianum 'Allen Bush';6 in;1 ft;18 in;5-9;Yellow;Golden star;Well-Drained,Moist;Partial Shade to Full Shade;June,May,April;Pollinators;Ground Cover,East-Coast Native,Drought Tolerant,Clay Soil,Reblooming,Long Blooming; ;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chrysogonum virginianum 'Superstar';5 in;12 in;18 in;5-9;Yellow;Golden star;Moist to Dry;Partial Shade;June,May,April;Pollinators;Ground Cover,Interesting Foliage,Evergreen,Drought Tolerant,Rock Garden,Clay Soil,Naturalizing,Long Blooming; ;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chyrsopsis mariana;2 ft;2 ft;2-3 ft;4-8;Yellow;Maryland golden star;Dry to Moist;Full Sun to Partial Shade;October,September,August; ;Ground Cover,Rock Garden,Naturalizing,Long Blooming; ;Green;Medium; ;Summer,Spring; ;
Clematis virginiana;20 ft;3-6 ft; ;3-9;White;Virgin's bower;Moist;Full Sun to Full Shade;August,July,September;Pollinators,Butterflies;Naturalizing,Fragrant;Deer Resistant;Green; ; ; ; ;
Coreopsis lanceolata;2-3 ft;2-3 ft;18-24 in;4-9;Yellow;Lanceleaf tickseed;Dry to Moist;Full Sun;July,June,May;Butterflies;Naturalizing,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Coreopsis rosea;1-2 ft;2-3 ft;2-3 ft;3-8;Pink;Pink tickseed;Dry to Moist;Full Sun;August,July,June;Songbirds,Pollinators,Butterflies;Interesting Foliage,East-Coast Native,Cut Flower,Rock Garden,Reblooming,Naturalizing,Ground Cover;Deer Resistant;Green; ; ; ; ;
Coreopsis tripteris;4-7 ft;2-8 ft;4-8 ft;4-9;Yellow;Tall coreopsis;Moist to Dry;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green; ;Low;Fall,Summer,Spring; ;
Coreopsis verticillata 'Zagreb';12-18 Inches;1-2 ft;18-24 in;3-9;Yellow;Thread leaf tickseed;Moist to Dry;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Favorite,Drought Tolerant,Clay Soil,Rock Garden,Reblooming,Long Blooming;Deer Resistant;Green;Fast; ;Summer,Spring,Fall; ;
Dalea purpurea;3 ft;1-2 ft;2 ft;3-8;Purple Red;Purple Prairie Clover;Dry;Full Sun;August,July,June;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Rock Garden,Naturalizing,Interesting Foliage,Favorite; ;Green;Medium;Medium;Summer,Spring; ;
Danthonia spicata;1-2 ft;1 ft;18-24 in;3-8;Green;Poverty oat grass;Dry;Full Sun to Full Shade;June;Butterflies; ; ;Green; ; ; ; ;
Deschampsia caespitosa;2-4 ft;1-2 ft;2-3 ft;2-8;Green, Tan;Tufted hairgrass;Moist to Wet;Partial Shade to Full Sun;July;Songbirds;Ground Cover; ; ; ;Medium;Spring,Winter,Fall,Summer;Fe - Iron,Zn-Zinc,Ni - Nickel,Cu-Copper,Mg - Magnesium;
Deschampsia caespitosa 'Goldtau';1-2 ft;2 ft;3 ft;3-8;Green, Tan;gold dew tufted hair grass;Moist to Wet;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Long Blooming,Rain Garden,Ground Cover,East-Coast Native,Drought Tolerant; ;Green; ;Medium;Winter,Fall,Summer;Ni - Nickel,Cu-Copper,Mg - Magnesium,Fe - Iron,Zn-Zinc;
Dicentra eximia;12-18 Inches;18-24 in;2-3 ft;4-8;Pink;Wild bleeding heart;Moist;Partial Shade to Full Shade;May,April,July,June;Pollinators,Hummingbirds;East-Coast Native,Drought Tolerant,Reblooming,Cut Flower,Naturalizing,Clay Soil,Long Blooming,Interesting Foliage,Favorite;Deer Resistant;Green;Slow; ;Summer,Spring; ;
Echinacea palida;2-3 ft;1 ft;2 ft;3 - 8;Lavender-Pink;Pale Purple Coneflower;Dry to Moist;Full Sun to Partial Shade;July,June,September,August;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Fragrant;Deer Resistant;Green;Fast;Low;Summer; ;
Echinacea purpurea;3-4 ft;2-2 ft; ;4-9;Lavender-Pink;Purple coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Cut Flower,Clay Soil;Deer Resistant;Green; ;Medium; ; ;
Echinacea purpurea 'Magnus';2-3 ft;2 ft;2-3 ft;4-9;Violet Red;Purple coneflower;Moist to Dry;Full Sun;July; ;Rain Garden,Rock Garden,Long Blooming,Interesting Foliage,Drought Tolerant,Cut Flower; ;Green;Medium;Medium;Summer,Spring; ;
Echinacea purpurea 'PowWow White';16-20 in;12-16 in;2 ft;3-8;White;PowWow White coneflower;Dry to Moist;Full Sun to Partial Shade;August,July,June;Butterflies,Songbirds,Pollinators;Long Blooming,Rain Garden,Drought Tolerant,Cut Flower,Clay Soil,Reblooming; ;Green;Medium;Medium;Fall,Summer,Spring; ;
Echinacea purpurea 'PowWow Wild Berry';2-3 Feet;1-2 ft;2-3 ft;4-9;Magenta;Purple coneflower;Dry to Moist;Full Shade to Partial Shade;August,July,June;Butterflies,Songbirds,Pollinators;Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Rain Garden,Reblooming;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Echinacea tennesseensis;2-3 ft;1-2 ft;2-3 ft;5-9;Pink;Tennessee coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Reblooming,Long Blooming,East-Coast Native;Deer Resistant;Green;Medium;High;Spring,Fall,Summer; ;
Elymus hystrix;3-5 ft;1-2 ft; ;2-8;Green, Tan;Bottlebrush grass;Moist to Dry;Full Shade to Partial Shade;August;Songbirds;Naturalizing,Drought Tolerant,Cut Flower; ; ; ; ; ;Hydrocarbons;
Elymus virginicus;2-4 ft;1-2 in;18-24 in;3-8;Green, Tan;Virginia wild rye;Wet to Moist;Full Sun to Partial Shade;August; ;Bog,Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Drought Tolerant,Clay Soil; ;Green; ; ; ;Hydrocarbons;
Equisetum hyemale;2-4 ft;1-6 ft;2-8 ft;4-9;Green;scouring rush, rough horsetail;Moist,Moist to Wet,Wet to Moist,Wet;Full Sun to Partial Shade;July,August;Songbirds,Pollinators;Coastal,Rain Garden,Rock Garden,Clay Soil,Naturalizing,Bog,Interesting Foliage,Evergreen,East-Coast Native,Container;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Eragrostis spectabilis;2 ft;1-2 ft;18-24 in;5-9;Red, Tan;Purple love grass;Moist to Dry,Well-Drained;Full Sun;September,August;Pollinators,Butterflies;Dried Flower,Cut Flower,Coastal,Naturalizing,Ground Cover,Drought Tolerant; ;Purple;Fast;High;Fall,Summer,Spring,Winter; ;
Eupatorium altissimum;2-6 ft;2-3 ft;3-5 ft;4-8;White;tall thoroughwort, tall boneset;Dry to Moist;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Coastal,Naturalizing,Long Blooming;Deer Resistant; ;Fast;High;Fall,Summer; ;
Eupatorium coelestinum;1-3 ft;2 ft; ;5-9;Blue;Mistflower, hardy ageratum;Moist to Dry;Full Sun to Partial Shade;September,October;Butterflies;Naturalizing,Rain Garden,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ; ; ; ;
Eupatorium dubium;2-5 ft;2 ft;3-4 ft;4-8;Pink;Three-nerved Joe pye;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Clay Soil,Naturalizing,Bog,Long Blooming,Rain Garden,Fragrant,East-Coast Native;Deer Resistant;Green;Fast; ;Spring,Summer; ;
Eupatorium fistulosum;5-10 ft;2-3 ft;3-6 ft;4-9;Mauve;Joe pye weed;Wet to Moist;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;Long Blooming,East-Coast Native,Drought Tolerant,Rain Garden,Cut Flower,Clay Soil,Naturalizing; ;Green;Fast; ;Summer,Spring; ;
Eupatorium hyssopifolium;2-4 ft;1-2 ft;2-3 ft;4-8;White;Hyssop leaved boneset;Moist to Dry;Full Sun to Partial Shade;August,October,September;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Rain Garden,Cut Flower,Clay Soil; ;Green;Fast; ;Spring,Summer; ;
Eupatorium maculatum;7-10 ft;3 ft;4-5 ft;2-7;Lavender-Pink, Mauve;Spotted Joe pye weed;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Rain Garden,Clay Soil,Naturalizing,Bog,Long Blooming,Fragrant,East-Coast Native; ;Green; ; ; ; ;
Eupatorium perfoliatum;3-5 ft;3-4 ft;6-8 ft;4-8;White;Boneset;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;Dried Flower,Cut Flower,Coastal,Clay Soil,Naturalizing,Bog,Long Blooming,East-Coast Native;Deer Resistant;Green; ;Medium; ; ;
Eupatorium purpureum;4-7 ft;2-3 ft;4-6 ft;4-8;Purple;Sweet Joe pye weed;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Clay Soil,Rain Garden,Bog,Naturalizing,Long Blooming,East-Coast Native; ;Green; ; ; ; ;
Euthamia caroliniana;1-3 ft;18-24 in;24 in;5 - 10;White;Slender goldentop;Dry;Full Sun;October,September,August,July,December,November;Pollinators,Butterflies;Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Gaura lindheimeri;3-5 ft;1-2 ft;2-3 ft;5 -9;Light Pink, White;Lindheimer's beeblossom, white gaura;Average;Full Sun;October,September,August;Pollinators,Butterflies;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Rock Garden,Reblooming; ;Maroon,Green;Fast;Low; ; ;
Geranium macrorrhizum 'Bevan's Variety';1-2 ft;1-2 ft; ;3-8;Magenta;Big root geranium;Moist/Well-Drained;Full Sun to Partial Shade;April,June,May;Pollinators,Butterflies;Ground Cover,Fragrant,Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Geum triflorum;6-18 in;6-12 in;12 in;3-7;Pink;prairie smoke, old man's whiskers;Dry;Sun/Light Shade;April,March;Pollinators,Butterflies;Ground Cover,Interesting Foliage,Drought Tolerant,Rock Garden,Naturalizing;Deer Resistant;Green,Burgundy;Medium; ;Summer,Spring; ;
Helenium autumnale;3-5 ft;2-3 ft;3-4 ft;3-9;Burgundy;Common sneezeweed;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Songbirds,Pollinators;Cut Flower,Coastal,Clay Soil,Bog,Naturalizing,East-Coast Native,Rain Garden,Drought Tolerant;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Helenium autumnale 'Helena Red Shades';4 ft;3 ft;3-4 ft;3-9;Burgundy;Helena Red Shades common sneezeweed;Moist to Wet;Full Shade to Partial Shade;August,July;Butterflies,Songbirds,Pollinators;Cut Flower,Coastal,Clay Soil,Bog,Naturalizing,East-Coast Native,Rain Garden,Drought Tolerant;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Helenium autumnale 'Moerheim Beauty';2-3 ft;18-24 in;2-3 ft;3 - 8;Red;Moerheim Beauty sneezeweed;Moist to Wet;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;Long Blooming,Rain Garden,Cut Flower,Clay Soil,Reblooming;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Helenium flexuosum;2-5 ft;1-2 ft; ;3-8;Purple, Yellow;purple-headed sneezeweed;Wet to Moist;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;Cut Flower,Rain Garden,Clay Soil,Bog,Naturalizing,Long Blooming,East-Coast Native;Deer Resistant;Green; ;Medium;Summer,Spring; ;
