Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Amsonia illustris;3 ft;3 ft;3-4 ft;5-9;Blue;Shining bluestar;Moist;Full Sun to Partial Shade;May; ;Naturalizing,Rain Garden,Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Bog; ;Green; ; ;Fall,Spring; ;
Amsonia tabernaemontani 'Grande';2-3 ft;2-3 ft;2 ft;5-9;Blue;Bluestar;Moist;Full Sun to Partial Shade;June,May; ;Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog; ;Green; ; ; ; ;
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;Big bluestem;Moist to Dry;Full Sun;August; ;Drought Tolerant,Dried Flower;Deer Resistant;Blue-Green; ;Medium; ; ;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;Broom sedge;Moist to Dry;Full Sun;September; ;Naturalizing; ; ; ;High; ; ;
Antennaria neglecta;4-8 in; ; ;3-8;White;Field pussytoes;Moist to Dry;Full Sun to Partial Shade;June,May,April;Butterflies,Pollinators;Clay Soil; ;Green;Slow;Medium;Summer,Spring,Winter,Fall; ;
Antennaria plantaginifolia;6-12 in;8-18 in;12-18 in;3-8;White;Plantain-leaved pussytoes;Dry;Full Sun;June,May,April;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Dried Flower,Rock Garden,Naturalizing,Ground Cover; ;Green;Slow;Medium;Summer,Spring; ;
Asclepias tuberosa;1-3 ft;1-2 ft;18-24 in;4-10;Orange;Butterfly weed;Dry;Full Sun to Partial Shade;July,June;Butterflies;Naturalizing,Favorite,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Asclepias verticillata;2 ft;1-2 ft;18-24 in;3-10;White;Eastern whorled milkweed;Dry to Moist;Full Sun;August,July;Butterflies;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Aster azureus (Symphyotrichum oolentangiense);24-36 ft;18-24 in;24-36 in;3 - 8;Light Blue;skyblue aster;Dry to Moist;Full Sun;October,September;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster cordifolius;2-3 Feet;2-3 ft;2-3 ft;3-8; ;Blue wood aster;Moist to Dry;Full Shade to Partial Shade;November,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ;Medium;Spring,Summer; ;
Aster divaricatus;2-3 Feet;3-4 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Partial Shade to Full Shade;November,October,September;Butterflies;Drought Tolerant; ;Green; ; ; ; ;
Aster laevis;2-3 ft;2-4 ft;24-36 in;4-8;Blue;Smooth blue aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green;Medium;Medium;Spring,Fall,Summer; ;
Aster macrophyllus;1-3 Feet;2-3 ft;3-4 ft;3-8;Lavender;Big leaf aster;Moist to Dry;Full Shade to Partial Shade;August,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Fall,Spring; ;
Aster macrophyllus 'Twilight';30-36 in;30-36 in;36 in;3-9;Lavender-Blue;Twilight big leaf aster;Moist to Dry;Partial Sun;September,August;Butterflies,Pollinators; ; ;Maroon,Green;Fast;Medium;Fall,Summer,Spring; ;
Aster oblongifolius 'October Skies';15 in;2 ft;24-36 in;5-8;Blue;Aromatic aster;Moist to Dry;Full Sun;October;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Green;Fast; ;Spring,Fall,Summer; ;
Aster oblongifolius 'Raydons Favorite';3 ft;3 ft;3-6 ft;3-8;Blue;Aromatic aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Long Blooming,Rain Garden,Favorite,Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster spectabilis;1-2 ft;2 ft;3-4 ft;4-8;Violet;Showy aster;Dry to Moist;Partial Shade to Full Sun;August,October,September; ;Clay Soil,Naturalizing,Long Blooming,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Summer,Spring,Fall; ;
Baptisia australis;3-4 ft;3-4 ft;6-8 ft;4-8;Purple Red;Blue false indigo;Moist to Dry;Full Sun;June,May;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Bog,Naturalizing,Rain Garden,Interesting Foliage,Favorite;Deer Resistant;Green; ;Medium; ; ;
Baptisia tinctoria;2-3 Feet;2-3 ft;3-6 ft;3-9;Yellow;Yellow wild indigo;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing;Deer Resistant;Green;Slow;Medium;Summer,Spring; ;
Calamintha nepeta 'Blue Cloud';10-12 in;12-18 in;18-24 in;5 - 9;Light Blue;Blue Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Ground Cover,Drought Tolerant,Cut Flower,Rock Garden,Container,Reblooming,Clay Soil,Naturalizing,Long Blooming;Deer Resistant; ;Medium;Low;Fall,Summer,Spring; ;
Calamintha nepeta 'White Cloud';1-2 ft;1-2 ft;18-24 in;5 - 9;White;White Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Favorite,Drought Tolerant,Cut Flower,Rock Garden,Container,Long Blooming,Clay Soil,Interesting Foliage,Fragrant;Deer Resistant;Green;Fast;Low;Fall,Summer,Spring; ;
Calamintha nepeta ssp nepeta;12-18 in;12-24 in;18-24 in;5 - 7;White;Calamint;Dry to Moist;Full Sun;September,August,July,June;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ; ;Fast;Medium;Fall,Summer,Spring; ;
Callirhoe involucrata;6-12 in;1-3 ft;2-3 ft;3-9;Purple Red;Wine cups;Dry;Full Sun to Partial Shade;September,August,July;Pollinators,Butterflies;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Clay Soil,Naturalizing,Long Blooming,Ground Cover; ;Green; ; ; ; ;
Campanula carpatica 'Deep Blue Clips';6-12 in;8-12 in;12-18 in;4 - 9;Blue;Carpathian bellflower;Dry to Moist;Full Sun to Partial Shade;September,August,July,June,May;Butterflies,Pollinators;Reblooming,Long Blooming,Drought Tolerant,Cut Flower,Container,Rock Garden; ; ;Medium; ;Summer,Spring; ;
Carex appalachica;6 Inches;12-18 in;18-24 in;3-7;Green;Appalachian sedge;Dry;Full Sun,Shade,Partial Shade;May; ;Rock Garden,Ground Cover;Deer Resistant; ; ; ; ; ;
Carex humilis 'Hexe';6 in;16 in;10-12 in;4 - 8;Yellow;Hexe dwarf sedge;Dry;Partial Shade;May,April;Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant,Rock Garden; ;Green;Slow; ;Summer,Spring,Fall; ;
Carex lurida;3 ft;1-2 ft; ;2-9;Green, Tan;Lurid sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ;Deer Resistant; ; ; ; ; ;
Carex montana;6 in;1 ft;1 ft;4-10;Tan;Mountain sedge;Dry;Partial Shade;March,April;Pollinators;Rock Garden,Ground Cover,Drought Tolerant;Deer Resistant; ;Fast;High;Fall,Summer,Spring; ;
Carex pensylvanica;16 in;1 ft;6-10 in;3-8;Green, Tan;Pennsylvania sedge;Moist to Dry;Full Shade to Partial Shade;May; ;Ground Cover,Naturalizing;Deer Resistant; ;Medium; ; ; ;
Carex rosea;1 ft;1 ft;18-24 in;4-8;Green;Rosy sedge, Curly wood sedge;Dry,Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Bog,Naturalizing,Rain Garden,Ground Cover;Deer Resistant;Green;Medium; ; ; ;
Ceanothus americanus;3 ft;3-5 ft;4-5 ft;4-10;White;New Jersey tea;Moist to Dry;Full Sun to Partial Shade;August,July,June;Butterflies,Pollinators,Hummingbirds;Fragrant,East-Coast Native,Rain Garden,Drought Tolerant,Cut Flower,Naturalizing; ;Green;Slow; ;Summer,Spring; ;
Ceratostigma plumbaginoides;8-12 in;12-18 in;18-24 in;5 - 9;Blue;plumbago;Moist;Full Sun to Partial Shade;September,August,July;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming;Deer Resistant;Green;Fast; ;Summer,Spring,Fall; ;
Coreopsis rosea;1-2 ft;2-3 ft;2-3 ft;3-8;Pink;Pink tickseed;Dry to Moist;Full Sun;August,July,June;Songbirds,Pollinators,Butterflies;Interesting Foliage,East-Coast Native,Cut Flower,Rock Garden,Reblooming,Naturalizing,Ground Cover;Deer Resistant;Green; ; ; ; ;
Dalea purpurea;3 ft;1-2 ft;2 ft;3-8;Purple Red;Purple Prairie Clover;Dry;Full Sun;August,July,June;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Rock Garden,Naturalizing,Interesting Foliage,Favorite; ;Green;Medium;Medium;Summer,Spring; ;
Danthonia spicata;1-2 ft;1 ft;18-24 in;3-8;Green;Poverty oat grass;Dry;Full Sun to Full Shade;June;Butterflies; ; ;Green; ; ; ; ;
Desmodium canadense;3-5 ft;2-3 ft; ;3 - 7;Pink;Showy tick trefoil;Moist to Dry;Full Sun to Partial Shade;August,July;Butterflies,Songbirds,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage; ;Green;Medium; ;Summer,Spring; ;
Echinacea palida;2-3 ft;1 ft;2 ft;3 - 8;Lavender-Pink;Pale Purple Coneflower;Dry to Moist;Full Sun to Partial Shade;July,June,September,August;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Fragrant;Deer Resistant;Green;Fast;Low;Summer; ;
Echinacea pallida 'Hula Dancer';2-3 ft;12-18 in;18-24 in;3-8;White;Hula Dancer cone flower;Dry to Moist;Full Sun to Partial Shade;July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Coastal,Clay Soil,Long Blooming;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Echinacea purpurea;3-4 ft;2-2 ft; ;4-9;Lavender-Pink;Purple coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Cut Flower,Clay Soil;Deer Resistant;Green; ;Medium; ; ;
Echinacea purpurea 'Magnus';2-3 ft;2 ft;2-3 ft;4-9;Violet Red;Purple coneflower;Moist to Dry;Full Sun;July; ;Rain Garden,Rock Garden,Long Blooming,Interesting Foliage,Drought Tolerant,Cut Flower; ;Green;Medium;Medium;Summer,Spring; ;
Echinacea purpurea 'White Swan';2-3 ft;1-2 ft;2-3 ft;4-9;White;White coneflower;Moist to Dry;Full Sun;August,July,June,September;Songbirds,Pollinators,Butterflies;Cut Flower,Coastal,Clay Soil,Rock Garden,Naturalizing,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium;Medium;Spring,Fall,Summer; ;
Echinacea tennesseensis;2-3 ft;1-2 ft;2-3 ft;5-9;Pink;Tennessee coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Reblooming,Long Blooming,East-Coast Native;Deer Resistant;Green;Medium;High;Spring,Fall,Summer; ;
Echinops bannaticus 'Blue Glow';2-4 ft;1-2 ft;1-2 ft;3 - 8;Blue;Blue globe thistle;Average;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing; ;Silver;Medium; ;Fall,Summer,Spring; ;
Eragrostis spectabilis;2 ft;1-2 ft;18-24 in;5-9;Red, Tan;Purple love grass;Moist to Dry,Well-Drained;Full Sun;September,August;Pollinators,Butterflies;Dried Flower,Cut Flower,Coastal,Naturalizing,Ground Cover,Drought Tolerant; ;Purple;Fast;High;Fall,Summer,Spring,Winter; ;
Eryngium planum 'Blaukappe';24-28 in;2 ft;2-3 ft;4-8;Deep Blue;Blue cap sea holly;Dry;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green,Gray-Green;Medium;High;Fall,Summer,Spring,Winter;Pb-Lead,Cu-Copper;
Eupatorium altissimum;2-6 ft;2-3 ft;3-5 ft;4-8;White;tall thoroughwort, tall boneset;Dry to Moist;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Coastal,Naturalizing,Long Blooming;Deer Resistant; ;Fast;High;Fall,Summer; ;
Eupatorium hyssopifolium;2-4 ft;1-2 ft;2-3 ft;4-8;White;Hyssop leaved boneset;Moist to Dry;Full Sun to Partial Shade;August,October,September;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Rain Garden,Cut Flower,Clay Soil; ;Green;Fast; ;Spring,Summer; ;
Euphorbia polychroma;12-18 in;12-18 in;18-24 in;4 - 8;Yellow Green;Cushion spurge;Dry;Full Sun;May,April;Pollinators,Butterflies;Drought Tolerant,Cut Flower,Coastal,Naturalizing,Interesting Foliage;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Euthamia caroliniana;1-3 ft;18-24 in;24 in;5 - 10;White;Slender goldentop;Dry;Full Sun;October,September,August,July,December,November;Pollinators,Butterflies;Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Gaura lindheimeri;3-5 ft;1-2 ft;2-3 ft;5 -9;Light Pink, White;Lindheimer's beeblossom, white gaura;Average;Full Sun;October,September,August;Pollinators,Butterflies;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Rock Garden,Reblooming; ;Maroon,Green;Fast;Low; ; ;
Geranium macrorrhizum 'Ingwersen's Variety';12-18 in;12-18 in;18-24 in;4 - 8;Light Pink;Big Root Geranium;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant,Rock Garden,Reblooming;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Geranium × cantabrigiense 'Biokova';6-12 in;6-12 in;12-18 in;5 - 8;Light Pink;Hardy geranium;Average;Full Sun to Partial Shade;May,June;Butterflies,Pollinators,Hummingbirds;Ground Cover,Interesting Foliage,Container;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
Geranium × cantabrigiense 'Karmina';6-12 in;6-12 in;12-18 in;5 - 8;Lavender-Pink;Hardy geranium;Average;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Ground Cover,Interesting Foliage,Drought Tolerant,Clay Soil,Rock Garden;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Geum triflorum;6-18 in;6-12 in;12 in;3-7;Pink;prairie smoke, old man's whiskers;Dry;Sun/Light Shade;April,March;Pollinators,Butterflies;Ground Cover,Interesting Foliage,Drought Tolerant,Rock Garden,Naturalizing;Deer Resistant;Green,Burgundy;Medium; ;Summer,Spring; ;
Helenium autumnale 'Moerheim Beauty';2-3 ft;18-24 in;2-3 ft;3 - 8;Red;Moerheim Beauty sneezeweed;Moist to Wet;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;Long Blooming,Rain Garden,Cut Flower,Clay Soil,Reblooming;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Helianthus microcephalus;4-6 ft;2-3 ft;4-6 ft;4-8;Yellow;small woodland sunflower;Dry;Sun/Light Shade;September,August,July;Songbirds,Pollinators,Butterflies;Cut Flower,Clay Soil,Rock Garden,Naturalizing,East-Coast Native,Drought Tolerant;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Helianthus occidentalis ssp dowelianus;2-4 ft;1-2 ft;2-3 ft;4-8;Yellow;Eastern Sunflower;Dry to Moist;Full Sun;September,August;Songbirds,Pollinators,Butterflies;Drought Tolerant,Dried Flower,Rock Garden,Cut Flower,Naturalizing,Long Blooming,Interesting Foliage,East-Coast Native;Deer Resistant;Green;Medium;High;Summer,Spring,Fall; ;
Heliopsis helianthoides;4-5 ft;2-4 ft; ;4-9;Yellow;Ox-eye sunflower;Moist;Full Sun to Partial Shade;June,August,July;Songbirds,Butterflies;Drought Tolerant,Cut Flower,Clay Soil; ;Green; ; ; ; ;
Heliopsis helianthoides var. scabra 'Burning Hearts';3-4 ft;18-24 in;12-24 in;3-9;Red, Red Orange, Yellow Orange;Burning Hearts false sunflower;Moist to Dry; ;October,September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Rock Garden,Long Blooming,Interesting Foliage;Deer Resistant;Purple;Medium;High;Fall,Summer; ;
Heliopsis helianthoides var. scabra 'Summer Sun';24-36 in;18-24 in;24-36 in;3 - 9;Yellow;Summer Sun ox eye;Dry to Moist;Full Sun;July,June,August;Songbirds,Pollinators,Butterflies;Drought Tolerant,Cut Flower,Rock Garden,Coastal,Reblooming,Naturalizing,Long Blooming,Favorite;Deer Resistant;Green;Medium;High;Spring,Fall,Summer; ;
Heuchera micrantha var. diversifolia 'Palace Purple';12-24 in;12-18 in;18-24 in;4 - 9;White;Coral bells;Average;Full Sun to Partial Shade;July,June;Pollinators;Rock Garden,Ground Cover,Interesting Foliage,Drought Tolerant,Container,Clay Soil; ;Burgundy;Medium; ;Spring,Fall,Summer; ;
Hypericum calycinum;12-18 in;18-24 in;24 in;5 - 9;Bright Yellow;St. John's wort;Dry to Moist;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;Rock Garden,Ground Cover,Drought Tolerant; ;Green; ; ;Fall,Summer,Spring; ;
Hypericum prolificum;1-5 ft;1-4 ft;2 ft;3-8;Gold, Green;shrubby St John's wort;Dry to Moist;Full Sun to Partial Shade;August,July,June;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Coastal,Clay Soil,Rock Garden,Naturalizing;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Kalimeris incisa 'Blue Star';12-18 in;12-18 in;18-24 in;5 - 9;Light Blue;Kalimeris;Dry to Moist;Full Shade to Partial Shade;September,August,July,June;Butterflies,Pollinators;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Koeleria macrantha;1-2 ft;1-2 ft;2-3 ft;3-9;Green, Tan;Prairie junegrass;Dry;Full Sun;June,May;Songbirds;Naturalizing,East-Coast Native,Drought Tolerant,Dried Flower; ;Green;Fast;Medium;Fall,Summer; ;
Leucanthemum × superbum 'Becky';3-4 ft;2-3 ft;3-4 ft;5 - 9;White;Becky shasta daisy;Dry to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Favorite,Drought Tolerant,Cut Flower,Clay Soil,Reblooming,Long Blooming;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
Liatris ligulistylis;1-3 ft;1 ft;18 in;3-8;Purple;Rocky Mountain blazing star;Dry to Moist;Full Sun;September,August,July;Pollinators,Butterflies;Long Blooming,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing; ;Green;Slow; ;Fall,Summer,Spring; ;
Liatris microcephala;2 ft;1 ft;18-24 in;4-8;Purple, Rose;Appalachian blazing star;Moist to Dry;Full Sun to Partial Shade;September,August;Butterflies,Songbirds,Pollinators,Hummingbirds;Rock Garden,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Liatris scariosa;3-5 ft;1-2 Feet;18-24 in;3-8;Purple;Savanna blazing star;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Fast;Low;Summer,Spring; ;
Limonium latifolium;18-30 in;12-18 in;18-24 in;4 - 9;Lavender-Blue;Sea lavender;Dry;Full Sun;September,August,July;Pollinators;Evergreen,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Naturalizing,Long Blooming;Deer Resistant;Blue-Green;Medium;High;Fall,Summer,Spring,Winter; ;
Lysimachia lanceolata var. purpurea;1-2 ft;1-2 ft;18 in;4-8;Yellow;Lance-leaved loostrife;Moist;Partial Shade to Full Sun;August,July,June;Pollinators;Long Blooming,Interesting Foliage,Rain Garden,Favorite,Drought Tolerant,Bog,Reblooming,Naturalizing;Deer Resistant;Burgundy;Medium; ;Summer; ;
Monarda fistulosa;2-4 ft;2-3 ft;12-18 in;3-8;Purple;Wild bergamot;Moist to Wet;Full Sun;August,July,June;Pollinators,Hummingbirds,Butterflies;Dried Flower,Cut Flower,Clay Soil,Naturalizing,Long Blooming,Fragrant,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Summer; ;
Monarda fistulosa 'Claire Grace';2-3 ft;2-3 ft;1-2 ft;3-8;Purple;Claire Grace Bee Balm;Dry to Moist;Full Sun;September,August,July,June;Hummingbirds,Butterflies;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing,Fragrant;Deer Resistant;Green;Medium;Medium;Summer; ;
Monarda punctata;1-3 ft;9-12 in; ;4-9;Cream, Purple;Horsemint;Moist to Dry;Full Sun;July,June;Pollinators,Hummingbirds,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green; ; ; ; ;
Muhlenbergia capillaris;3-4 ft;3-4 ft;4 ft;6-11;Pink, Purple;Pink hair grass;Dry to Moist;Full Sun to Partial Shade;September,August; ;Cut Flower,Naturalizing,Drought Tolerant;Deer Resistant;Green;Medium;High; ; ;
Nassella tenuissima;12-24 in;12 in;12 in;6-10;White;Mexican Feather Grass;Moist to Dry;Full Sun to Partial Shade;August,July;Pollinators;Naturalizing,Interesting Foliage,East-Coast Native,Drought Tolerant,Dried Flower,Container,Rock Garden;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring,Winter; ;
Nepeta racemosa 'Walker's Low';2-3 ft;3 ft; ;4-9;Blue;Catmint;Well-Drained,Dry to Moist;Full Sun to Partial Shade;September,August,July,June,May;Pollinators,Hummingbirds,Butterflies;Long Blooming,Fragrant,Drought Tolerant,Rock Garden,Reblooming;Deer Resistant;Gray-Green;Fast;Medium;Spring,Summer; ;
Nepeta subsessilis;18-24 in;12-18 in;18-24 in;4 - 8;Lavender-Blue;nepeta;Moist;Full Sun to Partial Shade;September,August,July,June,May;Pollinators,Butterflies;Interesting Foliage,Fragrant,Cut Flower,Container,Reblooming,Rain Garden,Long Blooming;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
Oenothera fruiticosa 'Fireworks';12-18 in;1-2 ft; ;4-9;Yellow;Fireworks Evening Primrose;Moist to Dry;Full Sun to Partial Shade;May,June;Butterflies,Pollinators;Long Blooming,Interesting Foliage,East-Coast Native,Drought Tolerant;Deer Resistant;Bronze;Medium;Medium;Winter,Fall,Summer,Spring; ;
Oenothera fruticosa;1-3 ft;1-3 ft;2 ft;4-9;Yellow;Sundrops;Moist to Dry;Full Sun to Partial Shade;June,May;Butterflies,Songbirds,Pollinators,Hummingbirds;Naturalizing,Ground Cover,Drought Tolerant,Rock Garden;Deer Resistant;Green;Fast; ;Fall,Summer,Spring; ;
Origanum laevigatum 'Herrenhausen';1-2 ft;1-2 ft;2-3 ft;6-9;Purple;Ornamental oregano;Dry to Moist;Full Sun;September,August,July;Songbirds,Pollinators,Butterflies;Naturalizing,Cut Flower,Long Blooming,Coastal,Ground Cover,Clay Soil,Interesting Foliage,Fragrant,Rock Garden,Drought Tolerant,Reblooming,Dried Flower;Deer Resistant;Green;Fast;High;Fall,Summer; ;
