Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Antennaria plantaginifolia;6-12 in;8-18 in;12-18 in;3-8;White;Plantain-leaved pussytoes;Dry;Full Sun;June,May,April;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Dried Flower,Rock Garden,Naturalizing,Ground Cover; ;Green;Slow;Medium;Summer,Spring; ;
Aquilegia canadensis;2 ft;1-2 ft; ;3-8;Red;Wild columbine;Moist;Full Sun to Full Shade;May,April;Hummingbirds;Naturalizing,Cut Flower;Deer Resistant;Green; ;High;Summer,Spring; ;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;Swamp milkweed;Wet to Moist;Full Sun to Partial Shade;June,July;Butterflies,Songbirds,Pollinators;Naturalizing,Fragrant,Clay Soil;Deer Resistant;Green;Fast;Medium; ; ;
Asclepias incarnata 'Ice Ballet';3-4 ft;2-3 in;3-4 ft;3-9;White;Swamp milkweed;Wet to Moist;Full Sun;August,July;Pollinators,Butterflies;Fragrant,Rain Garden,East-Coast Native,Cut Flower,Bog,Naturalizing; ;Green; ;Medium; ; ;
Asclepias tuberosa;1-3 ft;1-2 ft;18-24 in;4-10;Orange;Butterfly weed;Dry;Full Sun to Partial Shade;July,June;Butterflies;Naturalizing,Favorite,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Asclepias verticillata;2 ft;1-2 ft;18-24 in;3-10;White;Eastern whorled milkweed;Dry to Moist;Full Sun;August,July;Butterflies;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Aster cordifolius;2-3 Feet;2-3 ft;2-3 ft;3-8; ;Blue wood aster;Moist to Dry;Full Shade to Partial Shade;November,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ;Medium;Spring,Summer; ;
Aster divaricatus;2-3 Feet;3-4 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Partial Shade to Full Shade;November,October,September;Butterflies;Drought Tolerant; ;Green; ; ; ; ;
Aster divaricatus 'Eastern Star';1-2 ft;2-3 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Full Shade to Partial Shade;October,September;Butterflies;Naturalizing,Long Blooming,East-Coast Native,Rain Garden,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Medium;Medium;Fall,Summer; ;
Aster ericoides;1-3 ft;1-2 ft;18 in;3-10;White;heath aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Aster ericoides 'Snow Flurry';6-8 Inches;2-4 Feet; ;3-9;White;Snow Flurry heath aster;Dry to Moist;Full Sun to Partial Shade;October,September;Butterflies,Pollinators;Favorite,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Clay Soil,Naturalizing,Interesting Foliage;Deer Resistant;Green; ;Medium;Fall,Summer,Spring; ;
Aster laevis;2-3 ft;2-4 ft;24-36 in;4-8;Blue;Smooth blue aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green;Medium;Medium;Spring,Fall,Summer; ;
Aster lateriflorus 'Lady in Black';3-4 ft;3 ft;3-5 ft;3-8;White;Calico aster;Dry,Moist;Full Sun to Partial Shade;October,September;Pollinators,Butterflies;Cut Flower,Coastal,Clay Soil,Rock Garden;Deer Resistant;Purple;Fast;Medium;Fall,Summer,Spring; ;
Aster macrophyllus;1-3 Feet;2-3 ft;3-4 ft;3-8;Lavender;Big leaf aster;Moist to Dry;Full Shade to Partial Shade;August,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Fall,Spring; ;
Aster macrophyllus 'Twilight';30-36 in;30-36 in;36 in;3-9;Lavender-Blue;Twilight big leaf aster;Moist to Dry;Partial Sun;September,August;Butterflies,Pollinators; ; ;Maroon,Green;Fast;Medium;Fall,Summer,Spring; ;
Aster oblongifolius 'October Skies';15 in;2 ft;24-36 in;5-8;Blue;Aromatic aster;Moist to Dry;Full Sun;October;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Green;Fast; ;Spring,Fall,Summer; ;
Aster oblongifolius 'Raydons Favorite';3 ft;3 ft;3-6 ft;3-8;Blue;Aromatic aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Long Blooming,Rain Garden,Favorite,Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster spectabilis;1-2 ft;2 ft;3-4 ft;4-8;Violet;Showy aster;Dry to Moist;Partial Shade to Full Sun;August,October,September; ;Clay Soil,Naturalizing,Long Blooming,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Summer,Spring,Fall; ;
Aster umbellatus;2-5 ft;2-4 ft;3-6 ft;3-8;White;Flat topped white aster;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rain Garden,Bog; ;Green;Fast;Medium;Spring,Summer; ;
Astilbe japonica 'Deutschland';18-24 in;18-24 in;18-24 in;4 - 9;White;Astilbe;Moist;Full Shade to Partial Shade;June,May;Pollinators,Butterflies;Ground Cover,Interesting Foliage,Dried Flower,Cut Flower;Deer Resistant;Green; ; ;Summer,Spring,Fall; ;
Astilbe japonica 'Rheinland';18-24 in;18-24 in;18-24 in; ;Pink;Astilbe;Moist;Partial Shade to Full Shade;June,May;Pollinators,Butterflies;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Interesting Foliage;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Astilbe × arendsii 'Fanal';12-18 in;9-12 in;12-18 in;3 - 8;Red;Astilbe;Moist;Full Shade to Partial Shade;July;Pollinators,Butterflies;Interesting Foliage,Dried Flower,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Blue-Green;Medium; ; ; ;
Baptisia australis;3-4 ft;3-4 ft;6-8 ft;4-8;Purple Red;Blue false indigo;Moist to Dry;Full Sun;June,May;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Bog,Naturalizing,Rain Garden,Interesting Foliage,Favorite;Deer Resistant;Green; ;Medium; ; ;
Baptisia tinctoria;2-3 Feet;2-3 ft;3-6 ft;3-9;Yellow;Yellow wild indigo;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing;Deer Resistant;Green;Slow;Medium;Summer,Spring; ;
Calamagrostis brachytricha;2 ft;2 ft;3 ft;4-9;Pink;Korean Feather Reed Grass;Moist to Wet;Full Sun;November,October,September;Pollinators;Rain Garden,Interesting Foliage,Bog; ;Burgundy Variegation; ; ;Fall,Summer,Spring,Winter; ;
Calamagrostis x acutiflora 'Karl Foerster';3-5 ft;1-3 ft; ;5-9;Purple;Feather reed grass;Moist to Wet;Full Sun;August,July,June,May,October,September;Songbirds;Clay Soil; ;Green; ; ;Summer,Spring,Winter,Fall; ;
Calamintha nepeta 'Blue Cloud';10-12 in;12-18 in;18-24 in;5 - 9;Light Blue;Blue Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Ground Cover,Drought Tolerant,Cut Flower,Rock Garden,Container,Reblooming,Clay Soil,Naturalizing,Long Blooming;Deer Resistant; ;Medium;Low;Fall,Summer,Spring; ;
Calamintha nepeta 'White Cloud';1-2 ft;1-2 ft;18-24 in;5 - 9;White;White Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Favorite,Drought Tolerant,Cut Flower,Rock Garden,Container,Long Blooming,Clay Soil,Interesting Foliage,Fragrant;Deer Resistant;Green;Fast;Low;Fall,Summer,Spring; ;
Carex morrowii 'Ice Dance';9-12 Inches;9-12 Inches;12 in;5-9;Green, White;Ice Dance Japanese Sedge;Moist to Wet;Partial Shade to Full Shade;April,July,June,May;Pollinators;Rain Garden,Ground Cover,Interesting Foliage,Evergreen,Container,Bog;Deer Resistant;Silver;Medium; ;Fall,Summer,Spring,Winter; ;
Carex morrowii 'Silver Sceptre';8-12 in;8-12 in;12-18 in;5 - 9;Tan;Silver Sceptre sedge;Moist to Wet;Partial Shade to Full Shade;May;Pollinators;Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Clay Soil,Bog;Deer Resistant;White/Cream Variegation;Medium; ;Spring,Winter,Fall,Summer; ;
Carex oshimensis 'Evergold';9-12 Inches;12-18 Inches;18-24 in;5-8;Gold, Green;Evergold Sedge;Moist,Moist to Wet,Wet;Partial Shade to Full Shade;May;Pollinators;Rain Garden,Evergreen,Container,Clay Soil,Bog,Ground Cover,Interesting Foliage;Deer Resistant;Gold/Yellow Variegation;Medium; ;Fall,Summer,Spring,Winter; ;
Carex remota;18-24 inches;18-24 inches;24-36 inches;5-9;Green;Remote Sedge;Moist;Partial Shade;May,April;Songbirds,Pollinators,Butterflies;Rain Garden,Evergreen,Clay Soil,Ground Cover,Interesting Foliage;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Coreopsis lanceolata;2-3 ft;2-3 ft;18-24 in;4-9;Yellow;Lanceleaf tickseed;Dry to Moist;Full Sun;July,June,May;Butterflies;Naturalizing,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Coreopsis tripteris;4-7 ft;2-8 ft;4-8 ft;4-9;Yellow;Tall coreopsis;Moist to Dry;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green; ;Low;Fall,Summer,Spring; ;
Dalea purpurea;3 ft;1-2 ft;2 ft;3-8;Purple Red;Purple Prairie Clover;Dry;Full Sun;August,July,June;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Rock Garden,Naturalizing,Interesting Foliage,Favorite; ;Green;Medium;Medium;Summer,Spring; ;
Dicentra eximia;12-18 Inches;18-24 in;2-3 ft;4-8;Pink;Wild bleeding heart;Moist;Partial Shade to Full Shade;May,April,July,June;Pollinators,Hummingbirds;East-Coast Native,Drought Tolerant,Reblooming,Cut Flower,Naturalizing,Clay Soil,Long Blooming,Interesting Foliage,Favorite;Deer Resistant;Green;Slow; ;Summer,Spring; ;
Echinacea palida;2-3 ft;1 ft;2 ft;3 - 8;Lavender-Pink;Pale Purple Coneflower;Dry to Moist;Full Sun to Partial Shade;July,June,September,August;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Fragrant;Deer Resistant;Green;Fast;Low;Summer; ;
Echinacea tennesseensis;2-3 ft;1-2 ft;2-3 ft;5-9;Pink;Tennessee coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Reblooming,Long Blooming,East-Coast Native;Deer Resistant;Green;Medium;High;Spring,Fall,Summer; ;
Echinops bannaticus 'Blue Glow';2-4 ft;1-2 ft;1-2 ft;3 - 8;Blue;Blue globe thistle;Average;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing; ;Silver;Medium; ;Fall,Summer,Spring; ;
Eryngium planum 'Blaukappe';24-28 in;2 ft;2-3 ft;4-8;Deep Blue;Blue cap sea holly;Dry;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green,Gray-Green;Medium;High;Fall,Summer,Spring,Winter;Pb-Lead,Cu-Copper;
Eupatorium altissimum;2-6 ft;2-3 ft;3-5 ft;4-8;White;tall thoroughwort, tall boneset;Dry to Moist;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Coastal,Naturalizing,Long Blooming;Deer Resistant; ;Fast;High;Fall,Summer; ;
Euphorbia polychroma;12-18 in;12-18 in;18-24 in;4 - 8;Yellow Green;Cushion spurge;Dry;Full Sun;May,April;Pollinators,Butterflies;Drought Tolerant,Cut Flower,Coastal,Naturalizing,Interesting Foliage;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Geranium macrorrhizum 'Bevan's Variety';1-2 ft;1-2 ft; ;3-8;Magenta;Big root geranium;Moist/Well-Drained;Full Sun to Partial Shade;April,June,May;Pollinators,Butterflies;Ground Cover,Fragrant,Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Geranium macrorrhizum 'Ingwersen's Variety';12-18 in;12-18 in;18-24 in;4 - 8;Light Pink;Big Root Geranium;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant,Rock Garden,Reblooming;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Geranium × cantabrigiense 'Biokova';6-12 in;6-12 in;12-18 in;5 - 8;Light Pink;Hardy geranium;Average;Full Sun to Partial Shade;May,June;Butterflies,Pollinators,Hummingbirds;Ground Cover,Interesting Foliage,Container;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
Geranium × cantabrigiense 'Karmina';6-12 in;6-12 in;12-18 in;5 - 8;Lavender-Pink;Hardy geranium;Average;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Ground Cover,Interesting Foliage,Drought Tolerant,Clay Soil,Rock Garden;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Geum triflorum;6-18 in;6-12 in;12 in;3-7;Pink;prairie smoke, old man's whiskers;Dry;Sun/Light Shade;April,March;Pollinators,Butterflies;Ground Cover,Interesting Foliage,Drought Tolerant,Rock Garden,Naturalizing;Deer Resistant;Green,Burgundy;Medium; ;Summer,Spring; ;
Helianthus angustifolius;5-7 ft;4-6 ft;3-4 ft;5-9;Yellow;Swamp sunflower, narrow leaved sunflower;Moist to Wet;Full Sun to Partial Shade;November,October;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Clay Soil,Bog,Naturalizing,East-Coast Native;Deer Resistant;Green; ; ; ; ;
Helianthus decapetalus;5 ft;3 ft; ;4-9;Yellow;Ten petaled sunflower;Moist to Dry;Partial Shade to Full Sun;July,August; ; ; ;Green; ; ; ; ;
Helianthus microcephalus;4-6 ft;2-3 ft;4-6 ft;4-8;Yellow;small woodland sunflower;Dry;Sun/Light Shade;September,August,July;Songbirds,Pollinators,Butterflies;Cut Flower,Clay Soil,Rock Garden,Naturalizing,East-Coast Native,Drought Tolerant;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Helianthus occidentalis ssp dowelianus;2-4 ft;1-2 ft;2-3 ft;4-8;Yellow;Eastern Sunflower;Dry to Moist;Full Sun;September,August;Songbirds,Pollinators,Butterflies;Drought Tolerant,Dried Flower,Rock Garden,Cut Flower,Naturalizing,Long Blooming,Interesting Foliage,East-Coast Native;Deer Resistant;Green;Medium;High;Summer,Spring,Fall; ;
Heuchera americana;1-2 ft;1-2 ft;12-18 in;4-8;Green, White;American coral bell, alumroot;Moist/Well-Drained;Full Shade to Partial Shade;June,May; ;Naturalizing,Ground Cover,Evergreen,Drought Tolerant,Cut Flower,Clay Soil; ;Multi-Color;Medium; ;Spring,Winter,Fall,Summer; ;
Heuchera americana 'Dales Strain';1-2 ft;18 in; ;4-7;White;Dales alum root;Moist;Partial Shade to Full Shade;June,May;Pollinators;Interesting Foliage,Evergreen,Drought Tolerant,Cut Flower,Container,Naturalizing,Ground Cover;Deer Resistant;Multi-Color;Medium; ;Fall,Summer,Spring,Winter; ;
Heuchera micrantha var. diversifolia 'Palace Purple';12-24 in;12-18 in;18-24 in;4 - 9;White;Coral bells;Average;Full Sun to Partial Shade;July,June;Pollinators;Rock Garden,Ground Cover,Interesting Foliage,Drought Tolerant,Container,Clay Soil; ;Burgundy;Medium; ;Spring,Fall,Summer; ;
Heuchera villosa 'Autumn Bride';1-2 ft;3-4 ft;18-24 in;4-8;White;Hairy alumroot;Dry to Moist;Full Sun to Full Shade;November,October,September;Butterflies,Pollinators;Ground Cover,Interesting Foliage,Evergreen,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Hypericum calycinum;12-18 in;18-24 in;24 in;5 - 9;Bright Yellow;St. John's wort;Dry to Moist;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;Rock Garden,Ground Cover,Drought Tolerant; ;Green; ; ;Fall,Summer,Spring; ;
Iris fulva;2-3 Feet; ; ;5-9;Copper;Copper Iris;Wet to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Naturalizing,East-Coast Native,Clay Soil,Rain Garden,Bog;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Iris versicolor;2-3 ft;2-3 ft; ;2-7;Blue;Blue flag;Wet to Moist;Full Sun to Partial Shade;June,May;Hummingbirds;Naturalizing,Bog;Deer Resistant;Green; ; ; ; ;
Juncus effusus;3-4 ft;2-3 ft;2 ft;2-9;Insignificant;Soft rush;Moist to Wet,Wet,Wet to Moist,Moist;Full Sun;July;Pollinators;Coastal,Clay Soil,Bog,Naturalizing,Rain Garden,Evergreen,East-Coast Native;Deer Resistant;Green;Fast; ;Summer,Spring,Winter,Fall; ;
Juncus tenuis;6-24 in;6-24 in;12 in;3-9;Green, Tan;Path rush;Moist to Wet;Full Sun to Full Shade;July;Pollinators;Naturalizing,Ground Cover,Rain Garden,Drought Tolerant,Clay Soil,Bog;Deer Resistant;Green;Fast;Medium;Spring,Winter,Fall,Summer; ;
Kalimeris incisa 'Blue Star';12-18 in;12-18 in;18-24 in;5 - 9;Light Blue;Kalimeris;Dry to Moist;Full Shade to Partial Shade;September,August,July,June;Butterflies,Pollinators;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Leucanthemum × superbum 'Becky';3-4 ft;2-3 ft;3-4 ft;5 - 9;White;Becky shasta daisy;Dry to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Favorite,Drought Tolerant,Cut Flower,Clay Soil,Reblooming,Long Blooming;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
Liatris microcephala;2 ft;1 ft;18-24 in;4-8;Purple, Rose;Appalachian blazing star;Moist to Dry;Full Sun to Partial Shade;September,August;Butterflies,Songbirds,Pollinators,Hummingbirds;Rock Garden,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Liatris pycnostachya;2-5 ft;1-2 ft; ;3-9;Purple, Rose;Prairie Blazing Star;Dry to Moist;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Dried Flower,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage,Drought Tolerant;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Molinia caerulea ssp. arundinacea 'Windspiel';6-7 ft;18-24 in;2-3 ft;4-9;Tan;Windspiel moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July,June,December;Songbirds;Long Blooming,Dried Flower,Cut Flower,Rain Garden,Coastal,Clay Soil,Naturalizing;Deer Resistant;Green;Medium;High;Winter,Fall,Summer,Spring; ;
Molinia caerulea subsp. caerulea 'Edith Dudszus';24-30 in;24-30 in;30-36 in;4 - 8;Purple;Edith Dudszus purple moor grass;Moist;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium;Low;Winter,Fall,Summer,Spring; ;
Molinia caerulea subsp. caerulea 'Heidebraut';3-4 ft;12-18 in;18-24 in;5 - 9;Gold;Heidebraut moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July;Songbirds;Naturalizing,Long Blooming,Interesting Foliage,Cut Flower,Clay Soil,Rain Garden;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Molinia caerulea subsp. caerulea 'Moorhexe';2-3 ft;18-24 in;2-3 ft;4 - 9;Purple;Moorhexe moor grass;Moist;Full Sun to Partial Shade;October,September,August,July;Songbirds;Long Blooming,Dried Flower,Cut Flower,Coastal,Clay Soil,Rain Garden,Naturalizing;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Monarda bradburiana;1-2 ft;1-2 ft;18 in;5-8;Pink, White;Eastern beebalm;Dry to Moist;Full Sun to Partial Shade;May;Butterflies,Pollinators,Hummingbirds;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Fragrant;Deer Resistant;Gray-Green;Medium; ;Spring; ;
Monarda didyma;2-3 ft;2-3 ft;2 ft;4-7;Red;Scarlet Bee Balm;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators,Hummingbirds;Rain Garden,Favorite,East-Coast Native,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Monarda didyma 'Gardenview Scarlet';2-3 ft;2-3 ft;2 ft;4-9;Red;Gardenview Scarlet beebalm;Moist to Wet;Full Sun to Partial Shade;July,June,August;Butterflies,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Naturalizing,Clay Soil,Rain Garden,Long Blooming,Bog,Ground Cover,Interesting Foliage,Fragrant;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Monarda didyma 'Jacob Cline';3-5 ft;2-3 ft;2 ft;4-8;Red;Jacob Cline Bee Balm;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators,Hummingbirds;Fragrant,Cut Flower,Rain Garden,Clay Soil,Bog,Naturalizing,Long Blooming;Deer Resistant;Green;Medium; ;Summer; ;
Monarda fistulosa;2-4 ft;2-3 ft;12-18 in;3-8;Purple;Wild bergamot;Moist to Wet;Full Sun;August,July,June;Pollinators,Hummingbirds,Butterflies;Dried Flower,Cut Flower,Clay Soil,Naturalizing,Long Blooming,Fragrant,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Summer; ;
Monarda fistulosa 'Claire Grace';2-3 ft;2-3 ft;1-2 ft;3-8;Purple;Claire Grace Bee Balm;Dry to Moist;Full Sun;September,August,July,June;Hummingbirds,Butterflies;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing,Fragrant;Deer Resistant;Green;Medium;Medium;Summer; ;
Monarda punctata;1-3 ft;9-12 in; ;4-9;Cream, Purple;Horsemint;Moist to Dry;Full Sun;July,June;Pollinators,Hummingbirds,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green; ; ; ; ;
Monarda x 'Judith's Fancy Fuchsia';3-4 ft;2 ft;18 in;4-9;Fuschia;Judith's bee balm;Moist to Wet;Full Sun to Partial Shade;July,June;Butterflies,Pollinators,Hummingbirds;Fragrant,Cut Flower,Clay Soil,Rain Garden,Bog,Long Blooming;Deer Resistant;Green;Fast; ;Summer; ;
Monarda x 'Raspberry Wine';24-30 in;2 ft;18 in;4-9;Pink-violet;Raspberry Wine bee balm;Moist to Wet;Full Sun to Partial Shade;July,June;Butterflies,Pollinators,Hummingbirds;Fragrant,Cut Flower,Clay Soil,Rain Garden,Bog,Long Blooming;Deer Resistant;Green;Fast; ;Summer; ;
Nepeta racemosa 'Walker's Low';2-3 ft;3 ft; ;4-9;Blue;Catmint;Well-Drained,Dry to Moist;Full Sun to Partial Shade;September,August,July,June,May;Pollinators,Hummingbirds,Butterflies;Long Blooming,Fragrant,Drought Tolerant,Rock Garden,Reblooming;Deer Resistant;Gray-Green;Fast;Medium;Spring,Summer; ;
Nepeta subsessilis;18-24 in;12-18 in;18-24 in;4 - 8;Lavender-Blue;nepeta;Moist;Full Sun to Partial Shade;September,August,July,June,May;Pollinators,Butterflies;Interesting Foliage,Fragrant,Cut Flower,Container,Reblooming,Rain Garden,Long Blooming;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
