Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Amsonia tabernaemontani 'Grande';2-3 ft;2-3 ft;2 ft;5-9;Blue;Bluestar;Moist;Full Sun to Partial Shade;June,May; ;Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog; ;Green; ; ; ; ;
Amsonia tabernemontana 'Blue Ice';15 in;2 ft; ;4-9;Blue;Dwarf blue star;Moist;Full Sun;May,June;Pollinators;Long Blooming,Drought Tolerant,Bog; ;Green;Medium; ;Fall,Summer,Spring; ;
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;Big bluestem;Moist to Dry;Full Sun;August; ;Drought Tolerant,Dried Flower;Deer Resistant;Blue-Green; ;Medium; ; ;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;Broom sedge;Moist to Dry;Full Sun;September; ;Naturalizing; ; ; ;High; ; ;
Anemone virginiana;3 ft;1-2 ft;18-24 in;3-8;White;Thimble weed;Moist;Full Sun,Shade,Partial Shade;June,May; ;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Asclepias tuberosa;1-3 ft;1-2 ft;18-24 in;4-10;Orange;Butterfly weed;Dry;Full Sun to Partial Shade;July,June;Butterflies;Naturalizing,Favorite,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Asclepias verticillata;2 ft;1-2 ft;18-24 in;3-10;White;Eastern whorled milkweed;Dry to Moist;Full Sun;August,July;Butterflies;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Aster azureus (Symphyotrichum oolentangiense);24-36 ft;18-24 in;24-36 in;3 - 8;Light Blue;skyblue aster;Dry to Moist;Full Sun;October,September;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster ericoides;1-3 ft;1-2 ft;18 in;3-10;White;heath aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Aster ericoides 'Snow Flurry';6-8 Inches;2-4 Feet; ;3-9;White;Snow Flurry heath aster;Dry to Moist;Full Sun to Partial Shade;October,September;Butterflies,Pollinators;Favorite,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Clay Soil,Naturalizing,Interesting Foliage;Deer Resistant;Green; ;Medium;Fall,Summer,Spring; ;
Aster laevis;2-3 ft;2-4 ft;24-36 in;4-8;Blue;Smooth blue aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green;Medium;Medium;Spring,Fall,Summer; ;
Aster novae-angliae;3-6 ft;2-3 ft;4-6 ft;3-8;Violet;New England aster;Moist to Wet;Full Sun to Partial Shade;September,August,October;Butterflies;Naturalizing,East-Coast Native,Rain Garden,Cut Flower,Clay Soil; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Aster novi-belgii;3-4 ft;3 ft;4-6 ft;4-8;Purple;New York aster;Moist to Wet;Full Sun to Partial Shade;October,September,August;Butterflies;Cut Flower;Deer Resistant;Green; ;Medium; ; ;
Aster oblongifolius 'October Skies';15 in;2 ft;24-36 in;5-8;Blue;Aromatic aster;Moist to Dry;Full Sun;October;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Green;Fast; ;Spring,Fall,Summer; ;
Aster oblongifolius 'Raydons Favorite';3 ft;3 ft;3-6 ft;3-8;Blue;Aromatic aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Long Blooming,Rain Garden,Favorite,Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster spectabilis;1-2 ft;2 ft;3-4 ft;4-8;Violet;Showy aster;Dry to Moist;Partial Shade to Full Sun;August,October,September; ;Clay Soil,Naturalizing,Long Blooming,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Summer,Spring,Fall; ;
Aster umbellatus;2-5 ft;2-4 ft;3-6 ft;3-8;White;Flat topped white aster;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rain Garden,Bog; ;Green;Fast;Medium;Spring,Summer; ;
Baptisia australis;3-4 ft;3-4 ft;6-8 ft;4-8;Purple Red;Blue false indigo;Moist to Dry;Full Sun;June,May;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Bog,Naturalizing,Rain Garden,Interesting Foliage,Favorite;Deer Resistant;Green; ;Medium; ; ;
Baptisia tinctoria;2-3 Feet;2-3 ft;3-6 ft;3-9;Yellow;Yellow wild indigo;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing;Deer Resistant;Green;Slow;Medium;Summer,Spring; ;
Bouteloua curtipendula;1-3 ft;2 ft;3-4 ft;3-9;Green, Tan;Sideoats grama;Dry;Full Sun;July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant; ; ;Medium; ; ;
Bouteloua gracilis;9-24 Inches;18-24 Inches;18 in;3-10;Blue Green, Tan;Blue Grama;Dry;Full Sun to Partial Shade;June,August,July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant;Blue-Green;Medium; ;Fall,Summer,Spring,Winter;Hydrocarbons;
Calamintha nepeta 'Blue Cloud';10-12 in;12-18 in;18-24 in;5 - 9;Light Blue;Blue Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Ground Cover,Drought Tolerant,Cut Flower,Rock Garden,Container,Reblooming,Clay Soil,Naturalizing,Long Blooming;Deer Resistant; ;Medium;Low;Fall,Summer,Spring; ;
Calamintha nepeta 'White Cloud';1-2 ft;1-2 ft;18-24 in;5 - 9;White;White Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Favorite,Drought Tolerant,Cut Flower,Rock Garden,Container,Long Blooming,Clay Soil,Interesting Foliage,Fragrant;Deer Resistant;Green;Fast;Low;Fall,Summer,Spring; ;
Calamintha nepeta ssp nepeta;12-18 in;12-24 in;18-24 in;5 - 7;White;Calamint;Dry to Moist;Full Sun;September,August,July,June;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ; ;Fast;Medium;Fall,Summer,Spring; ;
Callirhoe involucrata;6-12 in;1-3 ft;2-3 ft;3-9;Purple Red;Wine cups;Dry;Full Sun to Partial Shade;September,August,July;Pollinators,Butterflies;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Clay Soil,Naturalizing,Long Blooming,Ground Cover; ;Green; ; ; ; ;
Campanula carpatica 'Deep Blue Clips';6-12 in;8-12 in;12-18 in;4 - 9;Blue;Carpathian bellflower;Dry to Moist;Full Sun to Partial Shade;September,August,July,June,May;Butterflies,Pollinators;Reblooming,Long Blooming,Drought Tolerant,Cut Flower,Container,Rock Garden; ; ;Medium; ;Summer,Spring; ;
Carex brevior;12 in;12 in;18-24 in;3-8;Green;Plains oval sedge;Moist to Dry;Full Sun to Partial Shade;May,April; ;Drought Tolerant,Rain Garden,Naturalizing,Ground Cover,Evergreen,East-Coast Native; ;Green; ; ; ; ;
Carex divulsa;1-3 ft;1-3 ft;18-24 in;4-9;Green;grassland sedge;Moist/Well-Drained;Full Sun to Partial Shade;June,May;Songbirds,Pollinators;Rock Garden,Ground Cover,Evergreen,Drought Tolerant; ;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Carex pensylvanica;16 in;1 ft;6-10 in;3-8;Green, Tan;Pennsylvania sedge;Moist to Dry;Full Shade to Partial Shade;May; ;Ground Cover,Naturalizing;Deer Resistant; ;Medium; ; ; ;
Carex radiata;1-2 ft;1-2 ft;1-2 ft;4-8;Green;Eastern star sedge;Moist;Partial Shade;June,May;Songbirds;Ground Cover,East-Coast Native,Rain Garden,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Carex rosea;1 ft;1 ft;18-24 in;4-8;Green;Rosy sedge, Curly wood sedge;Dry,Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Bog,Naturalizing,Rain Garden,Ground Cover;Deer Resistant;Green;Medium; ; ; ;
Ceanothus americanus;3 ft;3-5 ft;4-5 ft;4-10;White;New Jersey tea;Moist to Dry;Full Sun to Partial Shade;August,July,June;Butterflies,Pollinators,Hummingbirds;Fragrant,East-Coast Native,Rain Garden,Drought Tolerant,Cut Flower,Naturalizing; ;Green;Slow; ;Summer,Spring; ;
Cephalanthus occidentalis;5-12 ft;4-8 ft;4-8 ft;5-9;White;Buttonbush;Moist to Wet;Full Sun to Partial Shade;June;Butterflies,Pollinators;Naturalizing,East-Coast Native,Cut Flower,Bog,Rain Garden; ;Green;Slow; ;Fall,Summer,Winter; ;
Chelone glabra;2-3 ft;2 ft;3-4 ft;3-8;White;Turtlehead;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;East-Coast Native,Cut Flower,Clay Soil,Bog,Rain Garden,Naturalizing,Long Blooming;Deer Resistant;Green; ; ; ; ;
Coreopsis lanceolata;2-3 ft;2-3 ft;18-24 in;4-9;Yellow;Lanceleaf tickseed;Dry to Moist;Full Sun;July,June,May;Butterflies;Naturalizing,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Dalea purpurea;3 ft;1-2 ft;2 ft;3-8;Purple Red;Purple Prairie Clover;Dry;Full Sun;August,July,June;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Rock Garden,Naturalizing,Interesting Foliage,Favorite; ;Green;Medium;Medium;Summer,Spring; ;
Deschampsia caespitosa;2-4 ft;1-2 ft;2-3 ft;2-8;Green, Tan;Tufted hairgrass;Moist to Wet;Partial Shade to Full Sun;July;Songbirds;Ground Cover; ; ; ;Medium;Spring,Winter,Fall,Summer;Fe - Iron,Zn-Zinc,Ni - Nickel,Cu-Copper,Mg - Magnesium;
Deschampsia caespitosa 'Goldtau';1-2 ft;2 ft;3 ft;3-8;Green, Tan;gold dew tufted hair grass;Moist to Wet;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Long Blooming,Rain Garden,Ground Cover,East-Coast Native,Drought Tolerant; ;Green; ;Medium;Winter,Fall,Summer;Ni - Nickel,Cu-Copper,Mg - Magnesium,Fe - Iron,Zn-Zinc;
Desmodium canadense;3-5 ft;2-3 ft; ;3 - 7;Pink;Showy tick trefoil;Moist to Dry;Full Sun to Partial Shade;August,July;Butterflies,Songbirds,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage; ;Green;Medium; ;Summer,Spring; ;
Echinacea palida;2-3 ft;1 ft;2 ft;3 - 8;Lavender-Pink;Pale Purple Coneflower;Dry to Moist;Full Sun to Partial Shade;July,June,September,August;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Fragrant;Deer Resistant;Green;Fast;Low;Summer; ;
Echinacea pallida 'Hula Dancer';2-3 ft;12-18 in;18-24 in;3-8;White;Hula Dancer cone flower;Dry to Moist;Full Sun to Partial Shade;July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Coastal,Clay Soil,Long Blooming;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Echinacea purpurea;3-4 ft;2-2 ft; ;4-9;Lavender-Pink;Purple coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Cut Flower,Clay Soil;Deer Resistant;Green; ;Medium; ; ;
Echinacea purpurea 'Magnus';2-3 ft;2 ft;2-3 ft;4-9;Violet Red;Purple coneflower;Moist to Dry;Full Sun;July; ;Rain Garden,Rock Garden,Long Blooming,Interesting Foliage,Drought Tolerant,Cut Flower; ;Green;Medium;Medium;Summer,Spring; ;
Echinacea purpurea 'White Swan';2-3 ft;1-2 ft;2-3 ft;4-9;White;White coneflower;Moist to Dry;Full Sun;August,July,June,September;Songbirds,Pollinators,Butterflies;Cut Flower,Coastal,Clay Soil,Rock Garden,Naturalizing,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium;Medium;Spring,Fall,Summer; ;
Echinacea tennesseensis;2-3 ft;1-2 ft;2-3 ft;5-9;Pink;Tennessee coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Reblooming,Long Blooming,East-Coast Native;Deer Resistant;Green;Medium;High;Spring,Fall,Summer; ;
Elymus virginicus;2-4 ft;1-2 in;18-24 in;3-8;Green, Tan;Virginia wild rye;Wet to Moist;Full Sun to Partial Shade;August; ;Bog,Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Drought Tolerant,Clay Soil; ;Green; ; ; ;Hydrocarbons;
Eragrostis spectabilis;2 ft;1-2 ft;18-24 in;5-9;Red, Tan;Purple love grass;Moist to Dry,Well-Drained;Full Sun;September,August;Pollinators,Butterflies;Dried Flower,Cut Flower,Coastal,Naturalizing,Ground Cover,Drought Tolerant; ;Purple;Fast;High;Fall,Summer,Spring,Winter; ;
Eryngium planum 'Blaukappe';24-28 in;2 ft;2-3 ft;4-8;Deep Blue;Blue cap sea holly;Dry;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green,Gray-Green;Medium;High;Fall,Summer,Spring,Winter;Pb-Lead,Cu-Copper;
Eupatorium coelestinum;1-3 ft;2 ft; ;5-9;Blue;Mistflower, hardy ageratum;Moist to Dry;Full Sun to Partial Shade;September,October;Butterflies;Naturalizing,Rain Garden,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ; ; ; ;
Eupatorium hyssopifolium;2-4 ft;1-2 ft;2-3 ft;4-8;White;Hyssop leaved boneset;Moist to Dry;Full Sun to Partial Shade;August,October,September;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Rain Garden,Cut Flower,Clay Soil; ;Green;Fast; ;Spring,Summer; ;
Euthamia caroliniana;1-3 ft;18-24 in;24 in;5 - 10;White;Slender goldentop;Dry;Full Sun;October,September,August,July,December,November;Pollinators,Butterflies;Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Gaura lindheimeri;3-5 ft;1-2 ft;2-3 ft;5 -9;Light Pink, White;Lindheimer's beeblossom, white gaura;Average;Full Sun;October,September,August;Pollinators,Butterflies;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Rock Garden,Reblooming; ;Maroon,Green;Fast;Low; ; ;
Geum triflorum;6-18 in;6-12 in;12 in;3-7;Pink;prairie smoke, old man's whiskers;Dry;Sun/Light Shade;April,March;Pollinators,Butterflies;Ground Cover,Interesting Foliage,Drought Tolerant,Rock Garden,Naturalizing;Deer Resistant;Green,Burgundy;Medium; ;Summer,Spring; ;
Helenium autumnale 'Moerheim Beauty';2-3 ft;18-24 in;2-3 ft;3 - 8;Red;Moerheim Beauty sneezeweed;Moist to Wet;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;Long Blooming,Rain Garden,Cut Flower,Clay Soil,Reblooming;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Helianthus microcephalus;4-6 ft;2-3 ft;4-6 ft;4-8;Yellow;small woodland sunflower;Dry;Sun/Light Shade;September,August,July;Songbirds,Pollinators,Butterflies;Cut Flower,Clay Soil,Rock Garden,Naturalizing,East-Coast Native,Drought Tolerant;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Helianthus occidentalis ssp dowelianus;2-4 ft;1-2 ft;2-3 ft;4-8;Yellow;Eastern Sunflower;Dry to Moist;Full Sun;September,August;Songbirds,Pollinators,Butterflies;Drought Tolerant,Dried Flower,Rock Garden,Cut Flower,Naturalizing,Long Blooming,Interesting Foliage,East-Coast Native;Deer Resistant;Green;Medium;High;Summer,Spring,Fall; ;
Heliopsis helianthiodes 'Summer Nights';3-4 ft;2-3 ft;3-6 ft;4-9;Yellow;Ox-eye sunflower;Moist/Well-Drained;Full Sun;July,June;Songbirds,Pollinators,Butterflies;Cut Flower,Bog,Rain Garden,Naturalizing,East-Coast Native,Drought Tolerant; ;Red;Medium; ;Summer,Spring; ;
Heliopsis helianthoides;4-5 ft;2-4 ft; ;4-9;Yellow;Ox-eye sunflower;Moist;Full Sun to Partial Shade;June,August,July;Songbirds,Butterflies;Drought Tolerant,Cut Flower,Clay Soil; ;Green; ; ; ; ;
Heliopsis helianthoides var. scabra 'Burning Hearts';3-4 ft;18-24 in;12-24 in;3-9;Red, Red Orange, Yellow Orange;Burning Hearts false sunflower;Moist to Dry; ;October,September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Rock Garden,Long Blooming,Interesting Foliage;Deer Resistant;Purple;Medium;High;Fall,Summer; ;
Iris fulva;2-3 Feet; ; ;5-9;Copper;Copper Iris;Wet to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Naturalizing,East-Coast Native,Clay Soil,Rain Garden,Bog;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Juncus tenuis;6-24 in;6-24 in;12 in;3-9;Green, Tan;Path rush;Moist to Wet;Full Sun to Full Shade;July;Pollinators;Naturalizing,Ground Cover,Rain Garden,Drought Tolerant,Clay Soil,Bog;Deer Resistant;Green;Fast;Medium;Spring,Winter,Fall,Summer; ;
Kalimeris incisa 'Blue Star';12-18 in;12-18 in;18-24 in;5 - 9;Light Blue;Kalimeris;Dry to Moist;Full Shade to Partial Shade;September,August,July,June;Butterflies,Pollinators;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Koeleria macrantha;1-2 ft;1-2 ft;2-3 ft;3-9;Green, Tan;Prairie junegrass;Dry;Full Sun;June,May;Songbirds;Naturalizing,East-Coast Native,Drought Tolerant,Dried Flower; ;Green;Fast;Medium;Fall,Summer; ;
Leucanthemum × superbum 'Becky';3-4 ft;2-3 ft;3-4 ft;5 - 9;White;Becky shasta daisy;Dry to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Favorite,Drought Tolerant,Cut Flower,Clay Soil,Reblooming,Long Blooming;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
Liatris ligulistylis;1-3 ft;1 ft;18 in;3-8;Purple;Rocky Mountain blazing star;Dry to Moist;Full Sun;September,August,July;Pollinators,Butterflies;Long Blooming,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing; ;Green;Slow; ;Fall,Summer,Spring; ;
Liatris microcephala;2 ft;1 ft;18-24 in;4-8;Purple, Rose;Appalachian blazing star;Moist to Dry;Full Sun to Partial Shade;September,August;Butterflies,Songbirds,Pollinators,Hummingbirds;Rock Garden,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Liatris pycnostachya;2-5 ft;1-2 ft; ;3-9;Purple, Rose;Prairie Blazing Star;Dry to Moist;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Dried Flower,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage,Drought Tolerant;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Liatris scariosa;3-5 ft;1-2 Feet;18-24 in;3-8;Purple;Savanna blazing star;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Fast;Low;Summer,Spring; ;
Liatris spicata;3-6 ft;2 ft;2-3 ft;3-9;Purple, Purple Red;Dense blazing star;Moist to Wet;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Dried Flower,Cut Flower,Clay Soil,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Liatris spicata 'Kobold';24-30 Inches;2 ft;12-18 in;3-8;Purple, Rose;Kobold Blazing star;Moist;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Cut Flower,Clay Soil,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Limonium latifolium;18-30 in;12-18 in;18-24 in;4 - 9;Lavender-Blue;Sea lavender;Dry;Full Sun;September,August,July;Pollinators;Evergreen,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Naturalizing,Long Blooming;Deer Resistant;Blue-Green;Medium;High;Fall,Summer,Spring,Winter; ;
Lobelia cardinalis 'New Moon Maroon';2-4 ft;1-2 ft;1 ft;4-8;Red;Cardinal flower;Wet to Moist;Full Sun to Partial Shade;September,August;Hummingbirds;Long Blooming,Interesting Foliage,Favorite,Rain Garden,Drought Tolerant,Cut Flower,Bog; ;Maroon;Medium; ;Spring,Fall,Summer; ;
Molinia caerulea ssp. arundinacea 'Windspiel';6-7 ft;18-24 in;2-3 ft;4-9;Tan;Windspiel moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July,June,December;Songbirds;Long Blooming,Dried Flower,Cut Flower,Rain Garden,Coastal,Clay Soil,Naturalizing;Deer Resistant;Green;Medium;High;Winter,Fall,Summer,Spring; ;
Molinia caerulea subsp. caerulea 'Edith Dudszus';24-30 in;24-30 in;30-36 in;4 - 8;Purple;Edith Dudszus purple moor grass;Moist;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium;Low;Winter,Fall,Summer,Spring; ;
Molinia caerulea subsp. caerulea 'Heidebraut';3-4 ft;12-18 in;18-24 in;5 - 9;Gold;Heidebraut moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July;Songbirds;Naturalizing,Long Blooming,Interesting Foliage,Cut Flower,Clay Soil,Rain Garden;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Molinia caerulea subsp. caerulea 'Moorhexe';2-3 ft;18-24 in;2-3 ft;4 - 9;Purple;Moorhexe moor grass;Moist;Full Sun to Partial Shade;October,September,August,July;Songbirds;Long Blooming,Dried Flower,Cut Flower,Coastal,Clay Soil,Rain Garden,Naturalizing;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Monarda didyma 'Gardenview Scarlet';2-3 ft;2-3 ft;2 ft;4-9;Red;Gardenview Scarlet beebalm;Moist to Wet;Full Sun to Partial Shade;July,June,August;Butterflies,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Naturalizing,Clay Soil,Rain Garden,Long Blooming,Bog,Ground Cover,Interesting Foliage,Fragrant;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Monarda fistulosa;2-4 ft;2-3 ft;12-18 in;3-8;Purple;Wild bergamot;Moist to Wet;Full Sun;August,July,June;Pollinators,Hummingbirds,Butterflies;Dried Flower,Cut Flower,Clay Soil,Naturalizing,Long Blooming,Fragrant,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Summer; ;
Monarda fistulosa 'Claire Grace';2-3 ft;2-3 ft;1-2 ft;3-8;Purple;Claire Grace Bee Balm;Dry to Moist;Full Sun;September,August,July,June;Hummingbirds,Butterflies;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing,Fragrant;Deer Resistant;Green;Medium;Medium;Summer; ;
Monarda punctata;1-3 ft;9-12 in; ;4-9;Cream, Purple;Horsemint;Moist to Dry;Full Sun;July,June;Pollinators,Hummingbirds,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green; ; ; ; ;
