Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Astilbe × arendsii 'Fanal';12-18 in;9-12 in;12-18 in;3 - 8;Red;Astilbe;Moist;Full Shade to Partial Shade;July;Pollinators,Butterflies;Interesting Foliage,Dried Flower,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Blue-Green;Medium; ; ; ;
Blephilia ciliata;1-2 ft;1-2 ft;2-3 ft;4-8;Pink;Downy wood mint;Moist to Dry;Full Sun to Partial Shade;June,August,July;Butterflies,Pollinators;Naturalizing,Interesting Foliage,Favorite,Rain Garden,Drought Tolerant; ;Green;Medium; ;Spring,Summer; ;
Caltha palustris;1 ft;1-2 ft;18-24 in;3-7;Yellow;Marsh marigold;Wet to Moist;Full Sun to Full Shade;June,May,April;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Medium;High;Summer,Spring; ;
Carex amphibola;12-18 in;12-18 in;15-24 in;3-9;Green;Creek sedge;Moist to Wet;Partial Shade to Full Shade;March,June,May,April; ; ; ;Green; ; ; ; ;
Carex blanda;2 ft;2 ft;3 ft;3-9;Green;Common Wood Sedge;Moist to Dry;Full Shade to Full Sun;May;Butterflies,Songbirds,Pollinators;East-Coast Native,Clay Soil,Bog,Rain Garden; ;Green;Fast; ;Summer,Spring,Winter,Fall; ;
Carex brevior;12 in;12 in;18-24 in;3-8;Green;Plains oval sedge;Moist to Dry;Full Sun to Partial Shade;May,April; ;Drought Tolerant,Rain Garden,Naturalizing,Ground Cover,Evergreen,East-Coast Native; ;Green; ; ; ; ;
Carex flacca 'Blue Zinger';1-2 ft;1-2 ft;2-3 ft;5-9;Gold, Green;Blue Zinger Sedge;Moist/Well-Drained;Partial Shade,Shade;August,July;Songbirds,Pollinators;Clay Soil,Bog,Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Drought Tolerant;Deer Resistant;Blue;Medium; ;Summer,Spring,Winter,Fall; ;
Carex flaccosperma;1 ft;1 ft;18-24 in;5-8;Blue;Blue wood sedge;Moist to Dry;Full Sun to Full Shade;June;Pollinators;Naturalizing,Rain Garden,Ground Cover,East-Coast Native,Clay Soil,Bog;Deer Resistant;Blue; ; ; ; ;
Carex humilis 'Hexe';6 in;16 in;10-12 in;4 - 8;Yellow;Hexe dwarf sedge;Dry;Partial Shade;May,April;Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant,Rock Garden; ;Green;Slow; ;Summer,Spring,Fall; ;
Carex laxiculmis;1 ft; ; ;4-7;White, Yellow;Creeping sedge;Moist;Full Shade to Partial Shade;July,June,May,April; ;Ground Cover;Deer Resistant;Blue-Green; ; ; ; ;
Carex lurida;3 ft;1-2 ft; ;2-9;Green, Tan;Lurid sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ;Deer Resistant; ; ; ; ; ;
Carex montana;6 in;1 ft;1 ft;4-10;Tan;Mountain sedge;Dry;Partial Shade;March,April;Pollinators;Rock Garden,Ground Cover,Drought Tolerant;Deer Resistant; ;Fast;High;Fall,Summer,Spring; ;
Carex morrowii 'Ice Dance';9-12 Inches;9-12 Inches;12 in;5-9;Green, White;Ice Dance Japanese Sedge;Moist to Wet;Partial Shade to Full Shade;April,July,June,May;Pollinators;Rain Garden,Ground Cover,Interesting Foliage,Evergreen,Container,Bog;Deer Resistant;Silver;Medium; ;Fall,Summer,Spring,Winter; ;
Carex morrowii 'Silver Sceptre';8-12 in;8-12 in;12-18 in;5 - 9;Tan;Silver Sceptre sedge;Moist to Wet;Partial Shade to Full Shade;May;Pollinators;Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Clay Soil,Bog;Deer Resistant;White/Cream Variegation;Medium; ;Spring,Winter,Fall,Summer; ;
Carex oshimensis 'Evergold';9-12 Inches;12-18 Inches;18-24 in;5-8;Gold, Green;Evergold Sedge;Moist,Moist to Wet,Wet;Partial Shade to Full Shade;May;Pollinators;Rain Garden,Evergreen,Container,Clay Soil,Bog,Ground Cover,Interesting Foliage;Deer Resistant;Gold/Yellow Variegation;Medium; ;Fall,Summer,Spring,Winter; ;
Carex pensylvanica;16 in;1 ft;6-10 in;3-8;Green, Tan;Pennsylvania sedge;Moist to Dry;Full Shade to Partial Shade;May; ;Ground Cover,Naturalizing;Deer Resistant; ;Medium; ; ; ;
Carex plantaginea;6-12 in;10-12 in;12-24 in;4-8;Green;Seersucker sedge;Moist;Partial Shade to Full Shade;May; ;Rock Garden,Ground Cover; ; ; ; ; ; ;
Carex remota;18-24 inches;18-24 inches;24-36 inches;5-9;Green;Remote Sedge;Moist;Partial Shade;May,April;Songbirds,Pollinators,Butterflies;Rain Garden,Evergreen,Clay Soil,Ground Cover,Interesting Foliage;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Carex rosea;1 ft;1 ft;18-24 in;4-8;Green;Rosy sedge, Curly wood sedge;Dry,Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Bog,Naturalizing,Rain Garden,Ground Cover;Deer Resistant;Green;Medium; ; ; ;
Carex woodii;6-12 Inches;6-12 Inches;12-18 in;4-6;Burgundy, Green;Pretty sedge, wood's sedge;Dry to Moist;Partial Shade to Full Shade;April,May;Pollinators;Naturalizing,Ground Cover,East-Coast Native,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chasmanthium latifolium;3-4 ft;2-3 ft; ;5-8;Green, Tan;Northern seaoates;Moist to Wet;Full Sun,Full Sun to Full Shade;July;Songbirds,Pollinators;Naturalizing,Dried Flower,Cut Flower; ; ; ;Medium; ; ;
Chelone glabra;2-3 ft;2 ft;3-4 ft;3-8;White;Turtlehead;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;East-Coast Native,Cut Flower,Clay Soil,Bog,Rain Garden,Naturalizing,Long Blooming;Deer Resistant;Green; ; ; ; ;
Chrysogonum virginianum;3-4 in;8-10 Inches;12 in;5-9;Yellow;Golden star;Well-Drained;Partial Shade to Full Shade;June,May,April;Pollinators;Naturalizing,Ground Cover,Evergreen,Drought Tolerant,Clay Soil,Rock Garden,Reblooming;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chrysogonum virginianum 'Allen Bush';6 in;1 ft;18 in;5-9;Yellow;Golden star;Well-Drained,Moist;Partial Shade to Full Shade;June,May,April;Pollinators;Ground Cover,East-Coast Native,Drought Tolerant,Clay Soil,Reblooming,Long Blooming; ;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chyrsopsis mariana;2 ft;2 ft;2-3 ft;4-8;Yellow;Maryland golden star;Dry to Moist;Full Sun to Partial Shade;October,September,August; ;Ground Cover,Rock Garden,Naturalizing,Long Blooming; ;Green;Medium; ;Summer,Spring; ;
Dicentra eximia;12-18 Inches;18-24 in;2-3 ft;4-8;Pink;Wild bleeding heart;Moist;Partial Shade to Full Shade;May,April,July,June;Pollinators,Hummingbirds;East-Coast Native,Drought Tolerant,Reblooming,Cut Flower,Naturalizing,Clay Soil,Long Blooming,Interesting Foliage,Favorite;Deer Resistant;Green;Slow; ;Summer,Spring; ;
Elymus hystrix;3-5 ft;1-2 ft; ;2-8;Green, Tan;Bottlebrush grass;Moist to Dry;Full Shade to Partial Shade;August;Songbirds;Naturalizing,Drought Tolerant,Cut Flower; ; ; ; ; ;Hydrocarbons;
Geranium macrorrhizum 'Bevan's Variety';1-2 ft;1-2 ft; ;3-8;Magenta;Big root geranium;Moist/Well-Drained;Full Sun to Partial Shade;April,June,May;Pollinators,Butterflies;Ground Cover,Fragrant,Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Geranium macrorrhizum 'Ingwersen's Variety';12-18 in;12-18 in;18-24 in;4 - 8;Light Pink;Big Root Geranium;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant,Rock Garden,Reblooming;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Helianthus decapetalus;5 ft;3 ft; ;4-9;Yellow;Ten petaled sunflower;Moist to Dry;Partial Shade to Full Sun;July,August; ; ; ;Green; ; ; ; ;
Helianthus divaricatus;6 ft;1-3 ft; ;5-9;Yellow;Woodland sunflower;Moist to Dry;Partial Shade to Full Sun;August,July;Butterflies,Songbirds;Naturalizing,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Heuchera americana;1-2 ft;1-2 ft;12-18 in;4-8;Green, White;American coral bell, alumroot;Moist/Well-Drained;Full Shade to Partial Shade;June,May; ;Naturalizing,Ground Cover,Evergreen,Drought Tolerant,Cut Flower,Clay Soil; ;Multi-Color;Medium; ;Spring,Winter,Fall,Summer; ;
Heuchera americana 'Dales Strain';1-2 ft;18 in; ;4-7;White;Dales alum root;Moist;Partial Shade to Full Shade;June,May;Pollinators;Interesting Foliage,Evergreen,Drought Tolerant,Cut Flower,Container,Naturalizing,Ground Cover;Deer Resistant;Multi-Color;Medium; ;Fall,Summer,Spring,Winter; ;
Heuchera villosa 'Autumn Bride';1-2 ft;3-4 ft;18-24 in;4-8;White;Hairy alumroot;Dry to Moist;Full Sun to Full Shade;November,October,September;Butterflies,Pollinators;Ground Cover,Interesting Foliage,Evergreen,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Luzula acuminata;1-2 ft;1-2 ft;2 ft;3-8;Green;Hairy woodrush;Moist;Partial Shade to Full Shade;July; ;Rain Garden,Ground Cover,Bog; ;Red,Green; ; ;Fall,Summer,Spring; ;
Penstemon smallii;1-2 ft;1 ft; ;5-8;Pink;Smalls penstemon;Moist to Dry;Full Sun to Partial Shade;July; ; ; ;Green; ;Medium;Fall,Summer,Spring; ;
Phlox divaricata;12-18 in;10-15 m;12 in;3-8;Lavender, Rose;Woodland Phlox;Moist;Full Shade to Partial Shade;May,April;Songbirds,Hummingbirds,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Naturalizing,Ground Cover,Fragrant;Deer Resistant;Green; ; ;Fall,Summer,Spring,Winter; ;
Phlox divaricata 'Blue Moon';1 ft;1 ft; ;4-8;Blue;Woodland phlox;Moist;Full Shade to Partial Shade;May,April;Pollinators,Hummingbirds,Butterflies;Rain Garden,Fragrant,Drought Tolerant,Clay Soil,Rock Garden,Ground Cover; ;Green; ; ; ; ;
Phlox divaricata 'May Breeze';12-15 in;12-15 in;18 in;4-8;Light Blue;May Breeze woodland phlox;Moist;Partial Shade to Full Shade;May,April;Pollinators,Butterflies;Long Blooming,Ground Cover,East-Coast Native,Drought Tolerant,Naturalizing; ;Green;Medium; ;Spring; ;
Phlox glaberrima 'Morris Berd';1-2 ft;1-2 ft;18 in;3-8;Pink;Morris Berd smooth phlox;Moist to Dry;Partial Shade to Full Sun;June,May,July;Butterflies,Pollinators,Hummingbirds;Naturalizing,Fragrant;Deer Resistant;Green; ; ; ; ;
Phlox paniculata;2-5 ft;1-3 ft;3 ft;4-8;Lavender, Pink;Summer phlox;Moist;Full Sun;August,July;Songbirds,Pollinators,Hummingbirds,Butterflies;Bog,Rain Garden,Naturalizing,Long Blooming,Fragrant,East-Coast Native,Cut Flower; ;Green; ;Medium;Fall,Summer,Spring; ;
Phlox stolonifera;6-8 in;2 ft; ;5-9;Pink, Purple;Creeping phlox;Moist/Well-Drained;Full Shade to Partial Shade;June,May;Pollinators,Butterflies;Long Blooming,Ground Cover,East-Coast Native,Drought Tolerant,Rain Garden,Naturalizing;Deer Resistant;Green; ; ;Spring,Summer; ;
Phlox stolonifera 'Blue Ridge';6-8 in;2 ft; ;5-9;Violet Blue;Creeping phlox;Moist/Well-Drained;Full Shade to Partial Shade;June,May;Butterflies;Ground Cover,Drought Tolerant; ;Green;Fast; ;Summer,Spring; ;
Phlox stolonifera 'Bruce's White';8-12 in;2 ft;2 ft;5-9;White;Creeping phlox;Moist/Well-Drained;Partial Shade to Full Shade;June,May;Pollinators,Butterflies;Naturalizing,Ground Cover,Fragrant,Drought Tolerant,Rain Garden; ;Green;Medium;Medium;Summer,Spring; ;
Phlox stolonifera 'Sherwood Purple';6-8 in;6-12 in; ;5-9;Violet;Creeping phlox;Moist/Well-Drained;Full Shade to Partial Shade;June,May;Hummingbirds,Butterflies;Naturalizing,Ground Cover,Fragrant,Drought Tolerant,Rain Garden;Deer Resistant;Green;Medium;Medium;Spring,Summer; ;
Polemonium reptans;12-18 in;12-18 in;24 in;4-8;Blue;Jacobs ladder;Moist to Wet;Full Shade to Partial Shade;May;Pollinators;Rain Garden,Naturalizing,Favorite,East-Coast Native,Bog;Deer Resistant;Green; ; ;Summer,Spring; ;
Scutellaria incana;2-3 ft;1-2 ft;2 ft;4-9;Lavender-Blue;hoary skull cap;Dry to Moist;Light Shade;September,August,July;Pollinators,Hummingbirds;Naturalizing,Drought Tolerant,Coastal,Clay Soil;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Sedum ternatum;2-3 in;6-12 in;8 in;3-9;White;three-leaved stone crop;Moist to Dry;Full Shade to Partial Shade;June,May;Butterflies,Pollinators;Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
Senecio aureus;1-2 ft;1 ft;18 in;4-9;Yellow;Golden ragwort;Moist to Wet;Partial Shade;May;Pollinators,Butterflies;Ground Cover,East-Coast Native,Cut Flower,Bog,Rain Garden;Deer Resistant;Green;Medium; ;Summer,Spring,Fall; ;
Silene virginica;1-2 ft;1-2 ft;18-24 in;4-8;Red;Fire pink;Moist to Dry;Partial Shade;June,May;Pollinators,Hummingbirds,Butterflies;Ground Cover,Drought Tolerant,Clay Soil,Rock Garden,Naturalizing; ;Green; ; ; ; ;
Solidago caesia;2-3 ft;1-2 ft;2 ft;4-8;Yellow;Blue-stem goldenrod;Moist to Dry;Full Shade to Partial Shade;October,September;Butterflies,Songbirds,Pollinators;Naturalizing,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Medium;Medium;Fall,Summer,Spring; ;
Solidago flexicaulis;3 ft;1-2 ft;2-3 ft;2-9;Yellow;Zig-zag goldenrod;Dry;Full Shade to Partial Shade;October,September,August;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing;Deer Resistant;Green; ; ; ; ;
Stylophorum diphyllum;1-2 ft;1 ft;18-24 in;4-9;Yellow;Celandine poppy;Moist;Partial Shade to Full Shade;April;Pollinators,Butterflies;Ground Cover,East-Coast Native,Drought Tolerant,Rain Garden,Bog,Rock Garden,Naturalizing;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Tiarella 'New Moon Motley';8-12 in;12-24 in;12-18 in;4-8;White;New Moon Motley foam flower;Moist/Well-Drained;Full Shade to Partial Shade;May,April;Pollinators;Naturalizing,Ground Cover,Evergreen,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Tiarella cordifolia;6-12 Inches;1-2 ft;24-36 in;4-9;White;Creeping foam flower;Moist;Full Shade to Partial Shade;April,May;Pollinators,Butterflies;Naturalizing,Ground Cover,East-Coast Native; ;Green;Medium; ;Summer,Spring,Winter,Fall; ;
Tiarella cordifolia wherryi;10 Inches;10 in;20-24 in;5-7;White;Foam flower;Moist;Full Shade to Partial Shade;May,April;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Bog,Naturalizing,Ground Cover,Interesting Foliage; ;Green;Medium; ;Fall,Summer,Spring; ;
Tradescantia virginiana;2-3 ft;1-2 ft;18-24 in;4-9;Lavender;Spider lily;Moist;Full Sun to Partial Shade;July,June,May;Hummingbirds,Butterflies;Favorite,East-Coast Native,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast; ;Fall,Summer,Spring; ;
Viola sororia;4-6 in;6 in;6-8 in;3-7;Blue, White;Meadow Violet;Moist to Dry;Partial Shade;July,June,May,April,August;Pollinators,Butterflies;Evergreen,East-Coast Native,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Ground Cover;Deer Resistant;Green;Fast; ;Spring,Summer; ;
Viola striata;8-12 in;8-12 in;12-18 in;4 - 7;Cream, Purple;Striped cream violet;Moist to Wet;Partial Shade;May,April,June;Butterflies;East-Coast Native,Clay Soil,Bog;Deer Resistant;Green;Medium; ;Spring,Summer; ;
Waldsteinia fragarioides;3-6 in;12 in;18-24 in;4-7;Yellow;Barren strawberry;Moist;Full Sun to Partial Shade;May,April;Pollinators;Evergreen,East-Coast Native,Drought Tolerant,Clay Soil,Naturalizing,Bog,Ground Cover,Interesting Foliage;Deer Resistant;Green;Medium; ;Summer,Spring,Winter,Fall; ;
