Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Cephalanthus occidentalis;5-12 ft;4-8 ft;4-8 ft;5-9;White;Buttonbush;Moist to Wet;Full Sun to Partial Shade;June;Butterflies,Pollinators;Naturalizing,East-Coast Native,Cut Flower,Bog,Rain Garden; ;Green;Slow; ;Fall,Summer,Winter; ;
Chasmanthium latifolium;3-4 ft;2-3 ft; ;5-8;Green, Tan;Northern seaoates;Moist to Wet;Full Sun,Full Sun to Full Shade;July;Songbirds,Pollinators;Naturalizing,Dried Flower,Cut Flower; ; ; ;Medium; ; ;
Chelone glabra;2-3 ft;2 ft;3-4 ft;3-8;White;Turtlehead;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;East-Coast Native,Cut Flower,Clay Soil,Bog,Rain Garden,Naturalizing,Long Blooming;Deer Resistant;Green; ; ; ; ;
Chelone lyonii 'Hot Lips';2-3 ft;1 ft;18-24 in;4-7;Medium Pink;Pink turtlehead;Moist to Wet;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;Drought Tolerant,Rain Garden,Cut Flower,Clay Soil,Bog,Long Blooming,East-Coast Native;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Coreopsis lanceolata;2-3 ft;2-3 ft;18-24 in;4-9;Yellow;Lanceleaf tickseed;Dry to Moist;Full Sun;July,June,May;Butterflies;Naturalizing,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Coreopsis tripteris;4-7 ft;2-8 ft;4-8 ft;4-9;Yellow;Tall coreopsis;Moist to Dry;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green; ;Low;Fall,Summer,Spring; ;
Deschampsia caespitosa;2-4 ft;1-2 ft;2-3 ft;2-8;Green, Tan;Tufted hairgrass;Moist to Wet;Partial Shade to Full Sun;July;Songbirds;Ground Cover; ; ; ;Medium;Spring,Winter,Fall,Summer;Fe - Iron,Zn-Zinc,Ni - Nickel,Cu-Copper,Mg - Magnesium;
Deschampsia caespitosa 'Goldtau';1-2 ft;2 ft;3 ft;3-8;Green, Tan;gold dew tufted hair grass;Moist to Wet;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Long Blooming,Rain Garden,Ground Cover,East-Coast Native,Drought Tolerant; ;Green; ;Medium;Winter,Fall,Summer;Ni - Nickel,Cu-Copper,Mg - Magnesium,Fe - Iron,Zn-Zinc;
Equisetum hyemale;2-4 ft;1-6 ft;2-8 ft;4-9;Green;scouring rush, rough horsetail;Moist,Moist to Wet,Wet to Moist,Wet;Full Sun to Partial Shade;July,August;Songbirds,Pollinators;Coastal,Rain Garden,Rock Garden,Clay Soil,Naturalizing,Bog,Interesting Foliage,Evergreen,East-Coast Native,Container;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Eupatorium coelestinum;1-3 ft;2 ft; ;5-9;Blue;Mistflower, hardy ageratum;Moist to Dry;Full Sun to Partial Shade;September,October;Butterflies;Naturalizing,Rain Garden,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ; ; ; ;
Eupatorium dubium;2-5 ft;2 ft;3-4 ft;4-8;Pink;Three-nerved Joe pye;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Clay Soil,Naturalizing,Bog,Long Blooming,Rain Garden,Fragrant,East-Coast Native;Deer Resistant;Green;Fast; ;Spring,Summer; ;
Eupatorium fistulosum;5-10 ft;2-3 ft;3-6 ft;4-9;Mauve;Joe pye weed;Wet to Moist;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;Long Blooming,East-Coast Native,Drought Tolerant,Rain Garden,Cut Flower,Clay Soil,Naturalizing; ;Green;Fast; ;Summer,Spring; ;
Eupatorium maculatum;7-10 ft;3 ft;4-5 ft;2-7;Lavender-Pink, Mauve;Spotted Joe pye weed;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Rain Garden,Clay Soil,Naturalizing,Bog,Long Blooming,Fragrant,East-Coast Native; ;Green; ; ; ; ;
Eupatorium perfoliatum;3-5 ft;3-4 ft;6-8 ft;4-8;White;Boneset;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;Dried Flower,Cut Flower,Coastal,Clay Soil,Naturalizing,Bog,Long Blooming,East-Coast Native;Deer Resistant;Green; ;Medium; ; ;
Eupatorium purpureum;4-7 ft;2-3 ft;4-6 ft;4-8;Purple;Sweet Joe pye weed;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Clay Soil,Rain Garden,Bog,Naturalizing,Long Blooming,East-Coast Native; ;Green; ; ; ; ;
Helenium autumnale;3-5 ft;2-3 ft;3-4 ft;3-9;Burgundy;Common sneezeweed;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Songbirds,Pollinators;Cut Flower,Coastal,Clay Soil,Bog,Naturalizing,East-Coast Native,Rain Garden,Drought Tolerant;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Helenium autumnale 'Helena Red Shades';4 ft;3 ft;3-4 ft;3-9;Burgundy;Helena Red Shades common sneezeweed;Moist to Wet;Full Shade to Partial Shade;August,July;Butterflies,Songbirds,Pollinators;Cut Flower,Coastal,Clay Soil,Bog,Naturalizing,East-Coast Native,Rain Garden,Drought Tolerant;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Helenium flexuosum;2-5 ft;1-2 ft; ;3-8;Purple, Yellow;purple-headed sneezeweed;Wet to Moist;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;Cut Flower,Rain Garden,Clay Soil,Bog,Naturalizing,Long Blooming,East-Coast Native;Deer Resistant;Green; ;Medium;Summer,Spring; ;
Helianthus angustifolius;5-7 ft;4-6 ft;3-4 ft;5-9;Yellow;Swamp sunflower, narrow leaved sunflower;Moist to Wet;Full Sun to Partial Shade;November,October;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Clay Soil,Bog,Naturalizing,East-Coast Native;Deer Resistant;Green; ; ; ; ;
Hibiscus moscheutos;4-7 ft;3-4 ft;3-6 ft;5-8;Pink, White;Swamp mallow;Wet to Moist;Full Sun;September,August,July;Pollinators,Hummingbirds,Butterflies;East-Coast Native,Coastal,Rain Garden,Bog,Reblooming,Long Blooming;Deer Resistant;Green;Fast;Low;Summer; ;
Hibiscus moscheutos 'Disco Belle Pink';24-30 in;18-24 in;24-36 in;4-9;Pink;Disco Belle Pink Hardy Hibiscus;Moist to Wet;Full Sun;September,August,July;Pollinators,Butterflies;Reblooming,Long Blooming,Drought Tolerant,Rain Garden,Bog;Deer Resistant;Green;Fast;Low;Fall,Summer; ;
Hibiscus moscheutos 'Disco Belle Red';24-30 in;18-24 in;24-36 in;4-9;Red;Disco Belle Red Hardy Hibiscus;Moist to Wet;Full Sun;September,August,July;Pollinators,Butterflies;Reblooming,Long Blooming,Drought Tolerant,Rain Garden,Bog;Deer Resistant;Green;Fast;Low;Fall,Summer; ;
Iris fulva;2-3 Feet; ; ;5-9;Copper;Copper Iris;Wet to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Naturalizing,East-Coast Native,Clay Soil,Rain Garden,Bog;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Iris versicolor;2-3 ft;2-3 ft; ;2-7;Blue;Blue flag;Wet to Moist;Full Sun to Partial Shade;June,May;Hummingbirds;Naturalizing,Bog;Deer Resistant;Green; ; ; ; ;
Iris virginica;2 ft;2-3 ft; ;5-9;Blue;Southern blue flag;Wet to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators;Naturalizing,Bog;Deer Resistant;Green;Fast; ;Summer,Spring;TCE-trichloroethylene,TCE-trichloroethyleneand by-products;
Liatris pycnostachya;2-5 ft;1-2 ft; ;3-9;Purple, Rose;Prairie Blazing Star;Dry to Moist;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Dried Flower,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage,Drought Tolerant;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Liatris spicata;3-6 ft;2 ft;2-3 ft;3-9;Purple, Purple Red;Dense blazing star;Moist to Wet;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Dried Flower,Cut Flower,Clay Soil,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Liatris spicata 'Kobold';24-30 Inches;2 ft;12-18 in;3-8;Purple, Rose;Kobold Blazing star;Moist;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Cut Flower,Clay Soil,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Lobelia cardinalis;2-5 ft;1-2 ft;18-24 in;3-9;Red;Cardinal flower;Wet to Moist;Full Sun to Full Shade;August,September;Butterflies,Hummingbirds;Naturalizing,East-Coast Native,Cut Flower,Bog,Rain Garden;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Lobelia cardinalis 'New Moon Maroon';2-4 ft;1-2 ft;1 ft;4-8;Red;Cardinal flower;Wet to Moist;Full Sun to Partial Shade;September,August;Hummingbirds;Long Blooming,Interesting Foliage,Favorite,Rain Garden,Drought Tolerant,Cut Flower,Bog; ;Maroon;Medium; ;Spring,Fall,Summer; ;
Lobelia siphilitica;1-4 ft;12-18 in;18-24 in;4-8;Blue, Violet;Great Blue Lobelia;Wet to Moist;Partial Shade to Full Shade;July,September,August;Butterflies,Hummingbirds;Reblooming,Naturalizing,Rain Garden,Cut Flower,Bog;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Lysimachia lanceolata var. purpurea;1-2 ft;1-2 ft;18 in;4-8;Yellow;Lance-leaved loostrife;Moist;Partial Shade to Full Sun;August,July,June;Pollinators;Long Blooming,Interesting Foliage,Rain Garden,Favorite,Drought Tolerant,Bog,Reblooming,Naturalizing;Deer Resistant;Burgundy;Medium; ;Summer; ;
Molinia caerulea subsp. caerulea 'Heidebraut';3-4 ft;12-18 in;18-24 in;5 - 9;Gold;Heidebraut moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July;Songbirds;Naturalizing,Long Blooming,Interesting Foliage,Cut Flower,Clay Soil,Rain Garden;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Monarda bradburiana;1-2 ft;1-2 ft;18 in;5-8;Pink, White;Eastern beebalm;Dry to Moist;Full Sun to Partial Shade;May;Butterflies,Pollinators,Hummingbirds;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Fragrant;Deer Resistant;Gray-Green;Medium; ;Spring; ;
Monarda didyma;2-3 ft;2-3 ft;2 ft;4-7;Red;Scarlet Bee Balm;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators,Hummingbirds;Rain Garden,Favorite,East-Coast Native,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Monarda didyma 'Gardenview Scarlet';2-3 ft;2-3 ft;2 ft;4-9;Red;Gardenview Scarlet beebalm;Moist to Wet;Full Sun to Partial Shade;July,June,August;Butterflies,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Naturalizing,Clay Soil,Rain Garden,Long Blooming,Bog,Ground Cover,Interesting Foliage,Fragrant;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Monarda didyma 'Jacob Cline';3-5 ft;2-3 ft;2 ft;4-8;Red;Jacob Cline Bee Balm;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators,Hummingbirds;Fragrant,Cut Flower,Rain Garden,Clay Soil,Bog,Naturalizing,Long Blooming;Deer Resistant;Green;Medium; ;Summer; ;
Monarda punctata;1-3 ft;9-12 in; ;4-9;Cream, Purple;Horsemint;Moist to Dry;Full Sun;July,June;Pollinators,Hummingbirds,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green; ; ; ; ;
Monarda x 'Judith's Fancy Fuchsia';3-4 ft;2 ft;18 in;4-9;Fuschia;Judith's bee balm;Moist to Wet;Full Sun to Partial Shade;July,June;Butterflies,Pollinators,Hummingbirds;Fragrant,Cut Flower,Clay Soil,Rain Garden,Bog,Long Blooming;Deer Resistant;Green;Fast; ;Summer; ;
Monarda x 'Raspberry Wine';24-30 in;2 ft;18 in;4-9;Pink-violet;Raspberry Wine bee balm;Moist to Wet;Full Sun to Partial Shade;July,June;Butterflies,Pollinators,Hummingbirds;Fragrant,Cut Flower,Clay Soil,Rain Garden,Bog,Long Blooming;Deer Resistant;Green;Fast; ;Summer; ;
Panicum virgatum;3-6 ft;2-3 ft; ;3-9;Green, Tan;Switch grass;Wet to Moist;Full Sun,Sun/Light Shade;July;Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Cut Flower; ;Green; ;Medium; ;Hydrocarbons;
Panicum virgatum 'Cape Breeze';24-30 Inches;18-24 ft;18 in;4-9;Blue Green, Yellow;Switch Grass;Moist to Dry;Full Sun to Partial Shade;August,July,February,December,January,November,October,September;Pollinators;Naturalizing,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring,Winter;Hydrocarbons;
Panicum virgatum 'Cloud Nine';6-8 ft;2-3 ft;4 ft;4-9;Green, Tan;Switch grass;Moist to Wet;Full Sun,Sun/Light Shade;July;Songbirds,Pollinators,Butterflies;Drought Tolerant,Bog,Rain Garden,Interesting Foliage; ;Blue-Green;Fast;Medium;Summer,Spring,Fall;Hydrocarbons;
Panicum virgatum 'Heavy Metal';3-4 ft;1-2 ft;3 ft;4-9;Blue, Tan;Switch grass;Moist to Wet;Full Sun;July;Songbirds;Interesting Foliage,Drought Tolerant,Dried Flower,Cut Flower,Rain Garden,Clay Soil; ;Blue;Fast;High;Summer,Spring,Winter,Fall;Hydrocarbons;
Panicum virgatum 'North Wind';4-6 ft;2-3 ft;3 ft;4-9;Blue Green, Yellow;Switch grass;Moist to Dry;Full Sun to Partial Shade;September,August;Pollinators,Songbirds;Drought Tolerant,Dried Flower,Clay Soil; ;Gray-Green;Fast;Medium;Summer,Spring,Winter,Fall;Hydrocarbons;
Panicum virgatum 'Prairie Sky';3-5 ft;2-3 ft;3 ft;3-9;Green;Switch grass;Moist to Wet;Full Sun;September;Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing; ;Blue-Green;Fast;Medium;Spring,Winter,Fall,Summer;Hydrocarbons;
Panicum virgatum 'Shenandoah';2-3 ft;2 ft;3 ft;4-9;Burgundy, Green;Switch grass;Moist to Wet;Full Sun;June,September,August,July,October;Songbirds,Pollinators;Clay Soil,Drought Tolerant,Coastal; ;Burgundy,Blue-Green; ;Medium;Summer,Spring,Winter,Fall;Hydrocarbons;
Penstemon calycosus;2-3 ft;1-2 ft; ;5-8;Lavender, White;Calico penstemon, smooth beard tongue;Moist/Well-Drained;Partial Shade;July,June;Pollinators,Butterflies;Long Blooming,East-Coast Native,Cut Flower,Rain Garden,Naturalizing;Deer Resistant;Green; ; ;Summer,Spring; ;
Penstemon digitalis;2-4 ft;1-2 ft; ;3-8;White;Beard tongue;Moist;Full Sun to Partial Shade;July,June;Songbirds,Butterflies;Naturalizing,Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green; ;Medium;Summer,Spring; ;
Penstemon digitalis 'Husker Red';2-3 ft;1-2 ft; ;4-8;White;Beard tongue;Moist to Dry;Full Sun to Partial Shade;June,May;Butterflies,Songbirds,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Clay Soil,East-Coast Native;Deer Resistant;Burgundy; ;Medium;Fall,Summer,Spring,Winter; ;
Penstemon digitalis 'Pocahontas';3-4 ft;2-3 ft;3-4 ft;4-8;Lavender;Pocahontas beard tongue;Moist to Dry;Full Sun to Partial Shade;June,May,April;Butterflies,Songbirds,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Clay Soil,Long Blooming,Interesting Foliage,East-Coast Native;Deer Resistant;Burgundy;Medium;Medium;Summer,Spring; ;
Penstemon hirsutus;18 Inches;10-12 Inches;10-12 in;3-9;Purple;Hairy Beardtongue;Moist to Dry;Full Sun to Full Shade;June,May;Butterflies,Songbirds;Rock Garden,Naturalizing,Drought Tolerant,Cut Flower,Rain Garden,Clay Soil;Deer Resistant;Green;Medium;Medium;Spring,Summer; ;
Phlox glaberrima 'Morris Berd';1-2 ft;1-2 ft;18 in;3-8;Pink;Morris Berd smooth phlox;Moist to Dry;Partial Shade to Full Sun;June,May,July;Butterflies,Pollinators,Hummingbirds;Naturalizing,Fragrant;Deer Resistant;Green; ; ; ; ;
Phlox maculata;2-3 ft;1-2 ft;18 in;4-8;Pink, Violet;Wild sweet William, meadow phlox;Well-Drained,Moist;Full Sun to Partial Shade;October,September,August;Pollinators,Hummingbirds,Butterflies;East-Coast Native,Bog,Naturalizing,Rain Garden,Fragrant; ;Green; ; ; ; ;
Phlox paniculata;2-5 ft;1-3 ft;3 ft;4-8;Lavender, Pink;Summer phlox;Moist;Full Sun;August,July;Songbirds,Pollinators,Hummingbirds,Butterflies;Bog,Rain Garden,Naturalizing,Long Blooming,Fragrant,East-Coast Native,Cut Flower; ;Green; ;Medium;Fall,Summer,Spring; ;
Phlox paniculata 'David';3-4 ft;2-3 ft;3 ft;4-8;White;David garden phlox;Moist;Full Sun;July,August;Hummingbirds,Butterflies;Fragrant,Clay Soil; ;Green; ; ; ; ;
Phlox paniculata 'Jeana';2-4 ft;2-3 ft; ;4-8;Pink;Jeana garden phlox;Moist,Well-Drained;Full Sun;September,August,July;Pollinators,Hummingbirds,Butterflies;Cut Flower,Fragrant; ;Green; ; ; ; ;
Phlox paniculata 'Robert Poore';4-5 ft;2-3 ft; ;4-8;Purple, Rose;Robert Poore garden phlox;Moist;Full Sun;August,July;Songbirds,Hummingbirds,Butterflies;Cut Flower,Clay Soil,Fragrant; ;Green;Medium;Medium;Summer,Spring; ;
