Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Bouteloua curtipendula;1-3 ft;2 ft;3-4 ft;3-9;Green, Tan;Sideoats grama;Dry;Full Sun;July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant; ; ;Medium; ; ;
Bouteloua gracilis;9-24 Inches;18-24 Inches;18 in;3-10;Blue Green, Tan;Blue Grama;Dry;Full Sun to Partial Shade;June,August,July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant;Blue-Green;Medium; ;Fall,Summer,Spring,Winter;Hydrocarbons;
Calamintha nepeta 'Blue Cloud';10-12 in;12-18 in;18-24 in;5 - 9;Light Blue;Blue Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Ground Cover,Drought Tolerant,Cut Flower,Rock Garden,Container,Reblooming,Clay Soil,Naturalizing,Long Blooming;Deer Resistant; ;Medium;Low;Fall,Summer,Spring; ;
Calamintha nepeta 'White Cloud';1-2 ft;1-2 ft;18-24 in;5 - 9;White;White Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Favorite,Drought Tolerant,Cut Flower,Rock Garden,Container,Long Blooming,Clay Soil,Interesting Foliage,Fragrant;Deer Resistant;Green;Fast;Low;Fall,Summer,Spring; ;
Calamintha nepeta ssp nepeta;12-18 in;12-24 in;18-24 in;5 - 7;White;Calamint;Dry to Moist;Full Sun;September,August,July,June;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ; ;Fast;Medium;Fall,Summer,Spring; ;
Carex bromoides;1 ft;12-18 Inches;1-2 ft;4-8;Green, Tan;Brome-like sedge;Moist to Wet;Full Sun to Partial Shade;July,June,May;Pollinators,Songbirds;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil,Bog;Deer Resistant;Green;Fast; ;Spring; ;
Carex cherokeensis;12-18 in;1 ft;12-18 in;6-9;Green;Cherokee sedge;Wet to Moist;Full Sun to Full Shade;June,May,April;Pollinators,Songbirds; ;Deer Resistant; ; ; ; ; ;
Carex elata;12-30 in;12-30 in;24 in;4 - 9;Tan;Tufted sedge;Wet to Moist;Full Sun to Partial Shade;June,May;Pollinators,Songbirds;Dried Flower,Bog,Rain Garden;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Carex flacca 'Blue Zinger';1-2 ft;1-2 ft;2-3 ft;5-9;Gold, Green;Blue Zinger Sedge;Moist/Well-Drained;Partial Shade,Shade;August,July;Songbirds,Pollinators;Clay Soil,Bog,Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Drought Tolerant;Deer Resistant;Blue;Medium; ;Summer,Spring,Winter,Fall; ;
Carex flaccosperma;1 ft;1 ft;18-24 in;5-8;Blue;Blue wood sedge;Moist to Dry;Full Sun to Full Shade;June;Pollinators;Naturalizing,Rain Garden,Ground Cover,East-Coast Native,Clay Soil,Bog;Deer Resistant;Blue; ; ; ; ;
Carex grayi;2-3 ft;1-2 ft; ;5 to 9;Silver;Bur sedge, Grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Rain Garden,Cut Flower,Dried Flower;Deer Resistant;Green; ; ; ; ;
Carex grayi 'New Moon Mighty';3-4 ft;1-2 ft; ;5-9;Green;New Moon Mighty grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October;Pollinators,Songbirds;Long Blooming,Ground Cover,Dried Flower,Rain Garden,Cut Flower,Bog,Reblooming,Naturalizing;Deer Resistant;Green; ; ;Fall,Summer,Spring; ;
Carex humilis 'Hexe';6 in;16 in;10-12 in;4 - 8;Yellow;Hexe dwarf sedge;Dry;Partial Shade;May,April;Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant,Rock Garden; ;Green;Slow; ;Summer,Spring,Fall; ;
Carex lurida;3 ft;1-2 ft; ;2-9;Green, Tan;Lurid sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ;Deer Resistant; ; ; ; ; ;
Carex montana;6 in;1 ft;1 ft;4-10;Tan;Mountain sedge;Dry;Partial Shade;March,April;Pollinators;Rock Garden,Ground Cover,Drought Tolerant;Deer Resistant; ;Fast;High;Fall,Summer,Spring; ;
Carex morrowii 'Ice Dance';9-12 Inches;9-12 Inches;12 in;5-9;Green, White;Ice Dance Japanese Sedge;Moist to Wet;Partial Shade to Full Shade;April,July,June,May;Pollinators;Rain Garden,Ground Cover,Interesting Foliage,Evergreen,Container,Bog;Deer Resistant;Silver;Medium; ;Fall,Summer,Spring,Winter; ;
Carex muskingumensis;2-3 ft;2-3 ft;12-18 in;4-7;Green, Tan;Palm sedge;Moist to Wet;Full Sun to Partial Shade;July; ;Drought Tolerant,Naturalizing;Deer Resistant; ; ; ; ; ;
Carex muskingumensis 'Little Midge';8-10 inches;10-18 inches;12-18 in;3-9;Green, Tan;Little Midge Palm sedge;Moist to Wet;Full Sun to Partial Shade;July;Butterflies,Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Fast; ;Winter,Fall,Summer,Spring; ;
Carex oshimensis 'Evergold';9-12 Inches;12-18 Inches;18-24 in;5-8;Gold, Green;Evergold Sedge;Moist,Moist to Wet,Wet;Partial Shade to Full Shade;May;Pollinators;Rain Garden,Evergreen,Container,Clay Soil,Bog,Ground Cover,Interesting Foliage;Deer Resistant;Gold/Yellow Variegation;Medium; ;Fall,Summer,Spring,Winter; ;
Carex pensylvanica;16 in;1 ft;6-10 in;3-8;Green, Tan;Pennsylvania sedge;Moist to Dry;Full Shade to Partial Shade;May; ;Ground Cover,Naturalizing;Deer Resistant; ;Medium; ; ; ;
Carex remota;18-24 inches;18-24 inches;24-36 inches;5-9;Green;Remote Sedge;Moist;Partial Shade;May,April;Songbirds,Pollinators,Butterflies;Rain Garden,Evergreen,Clay Soil,Ground Cover,Interesting Foliage;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Carex sprengelii;1-3 ft;2 ft;2-3 ft;3-5;Brown, Green;Long Beaked Sedge;Moist to Wet;Full Sun to Partial Shade;August,July;Songbirds;Rain Garden,Naturalizing,Ground Cover,East-Coast Native,Bog;Deer Resistant;Green;Medium; ; ; ;
Carex stricta;3-4 ft;1-2 ft; ;5-8;Green, Tan;Tussock sedge;Wet to Moist;Partial Shade to Full Sun;June; ;Bog,Naturalizing,Evergreen;Deer Resistant; ; ; ; ; ;
Ceratostigma plumbaginoides;8-12 in;12-18 in;18-24 in;5 - 9;Blue;plumbago;Moist;Full Sun to Partial Shade;September,August,July;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming;Deer Resistant;Green;Fast; ;Summer,Spring,Fall; ;
Chasmanthium latifolium;3-4 ft;2-3 ft; ;5-8;Green, Tan;Northern seaoates;Moist to Wet;Full Sun,Full Sun to Full Shade;July;Songbirds,Pollinators;Naturalizing,Dried Flower,Cut Flower; ; ; ;Medium; ; ;
Coreopsis rosea;1-2 ft;2-3 ft;2-3 ft;3-8;Pink;Pink tickseed;Dry to Moist;Full Sun;August,July,June;Songbirds,Pollinators,Butterflies;Interesting Foliage,East-Coast Native,Cut Flower,Rock Garden,Reblooming,Naturalizing,Ground Cover;Deer Resistant;Green; ; ; ; ;
Deschampsia caespitosa 'Goldtau';1-2 ft;2 ft;3 ft;3-8;Green, Tan;gold dew tufted hair grass;Moist to Wet;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Long Blooming,Rain Garden,Ground Cover,East-Coast Native,Drought Tolerant; ;Green; ;Medium;Winter,Fall,Summer;Ni - Nickel,Cu-Copper,Mg - Magnesium,Fe - Iron,Zn-Zinc;
Desmodium canadense;3-5 ft;2-3 ft; ;3 - 7;Pink;Showy tick trefoil;Moist to Dry;Full Sun to Partial Shade;August,July;Butterflies,Songbirds,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage; ;Green;Medium; ;Summer,Spring; ;
Echinacea pallida 'Hula Dancer';2-3 ft;12-18 in;18-24 in;3-8;White;Hula Dancer cone flower;Dry to Moist;Full Sun to Partial Shade;July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Coastal,Clay Soil,Long Blooming;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Echinops bannaticus 'Blue Glow';2-4 ft;1-2 ft;1-2 ft;3 - 8;Blue;Blue globe thistle;Average;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing; ;Silver;Medium; ;Fall,Summer,Spring; ;
Elymus hystrix;3-5 ft;1-2 ft; ;2-8;Green, Tan;Bottlebrush grass;Moist to Dry;Full Shade to Partial Shade;August;Songbirds;Naturalizing,Drought Tolerant,Cut Flower; ; ; ; ; ;Hydrocarbons;
Elymus virginicus;2-4 ft;1-2 in;18-24 in;3-8;Green, Tan;Virginia wild rye;Wet to Moist;Full Sun to Partial Shade;August; ;Bog,Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Drought Tolerant,Clay Soil; ;Green; ; ; ;Hydrocarbons;
Eryngium planum 'Blaukappe';24-28 in;2 ft;2-3 ft;4-8;Deep Blue;Blue cap sea holly;Dry;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green,Gray-Green;Medium;High;Fall,Summer,Spring,Winter;Pb-Lead,Cu-Copper;
Eupatorium altissimum;2-6 ft;2-3 ft;3-5 ft;4-8;White;tall thoroughwort, tall boneset;Dry to Moist;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Coastal,Naturalizing,Long Blooming;Deer Resistant; ;Fast;High;Fall,Summer; ;
Eupatorium coelestinum;1-3 ft;2 ft; ;5-9;Blue;Mistflower, hardy ageratum;Moist to Dry;Full Sun to Partial Shade;September,October;Butterflies;Naturalizing,Rain Garden,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ; ; ; ;
Euphorbia polychroma;12-18 in;12-18 in;18-24 in;4 - 8;Yellow Green;Cushion spurge;Dry;Full Sun;May,April;Pollinators,Butterflies;Drought Tolerant,Cut Flower,Coastal,Naturalizing,Interesting Foliage;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Euthamia caroliniana;1-3 ft;18-24 in;24 in;5 - 10;White;Slender goldentop;Dry;Full Sun;October,September,August,July,December,November;Pollinators,Butterflies;Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Helianthus divaricatus;6 ft;1-3 ft; ;5-9;Yellow;Woodland sunflower;Moist to Dry;Partial Shade to Full Sun;August,July;Butterflies,Songbirds;Naturalizing,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Helianthus microcephalus;4-6 ft;2-3 ft;4-6 ft;4-8;Yellow;small woodland sunflower;Dry;Sun/Light Shade;September,August,July;Songbirds,Pollinators,Butterflies;Cut Flower,Clay Soil,Rock Garden,Naturalizing,East-Coast Native,Drought Tolerant;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Helianthus occidentalis ssp dowelianus;2-4 ft;1-2 ft;2-3 ft;4-8;Yellow;Eastern Sunflower;Dry to Moist;Full Sun;September,August;Songbirds,Pollinators,Butterflies;Drought Tolerant,Dried Flower,Rock Garden,Cut Flower,Naturalizing,Long Blooming,Interesting Foliage,East-Coast Native;Deer Resistant;Green;Medium;High;Summer,Spring,Fall; ;
Heliopsis helianthoides var. scabra 'Burning Hearts';3-4 ft;18-24 in;12-24 in;3-9;Red, Red Orange, Yellow Orange;Burning Hearts false sunflower;Moist to Dry; ;October,September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Rock Garden,Long Blooming,Interesting Foliage;Deer Resistant;Purple;Medium;High;Fall,Summer; ;
Heliopsis helianthoides var. scabra 'Summer Sun';24-36 in;18-24 in;24-36 in;3 - 9;Yellow;Summer Sun ox eye;Dry to Moist;Full Sun;July,June,August;Songbirds,Pollinators,Butterflies;Drought Tolerant,Cut Flower,Rock Garden,Coastal,Reblooming,Naturalizing,Long Blooming,Favorite;Deer Resistant;Green;Medium;High;Spring,Fall,Summer; ;
Heuchera micrantha var. diversifolia 'Palace Purple';12-24 in;12-18 in;18-24 in;4 - 9;White;Coral bells;Average;Full Sun to Partial Shade;July,June;Pollinators;Rock Garden,Ground Cover,Interesting Foliage,Drought Tolerant,Container,Clay Soil; ;Burgundy;Medium; ;Spring,Fall,Summer; ;
Hypericum calycinum;12-18 in;18-24 in;24 in;5 - 9;Bright Yellow;St. John's wort;Dry to Moist;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;Rock Garden,Ground Cover,Drought Tolerant; ;Green; ; ;Fall,Summer,Spring; ;
Juncus tenuis;6-24 in;6-24 in;12 in;3-9;Green, Tan;Path rush;Moist to Wet;Full Sun to Full Shade;July;Pollinators;Naturalizing,Ground Cover,Rain Garden,Drought Tolerant,Clay Soil,Bog;Deer Resistant;Green;Fast;Medium;Spring,Winter,Fall,Summer; ;
Kalimeris incisa 'Blue Star';12-18 in;12-18 in;18-24 in;5 - 9;Light Blue;Kalimeris;Dry to Moist;Full Shade to Partial Shade;September,August,July,June;Butterflies,Pollinators;Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Koeleria macrantha;1-2 ft;1-2 ft;2-3 ft;3-9;Green, Tan;Prairie junegrass;Dry;Full Sun;June,May;Songbirds;Naturalizing,East-Coast Native,Drought Tolerant,Dried Flower; ;Green;Fast;Medium;Fall,Summer; ;
Leucanthemum × superbum 'Becky';3-4 ft;2-3 ft;3-4 ft;5 - 9;White;Becky shasta daisy;Dry to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Favorite,Drought Tolerant,Cut Flower,Clay Soil,Reblooming,Long Blooming;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
Lysimachia lanceolata var. purpurea;1-2 ft;1-2 ft;18 in;4-8;Yellow;Lance-leaved loostrife;Moist;Partial Shade to Full Sun;August,July,June;Pollinators;Long Blooming,Interesting Foliage,Rain Garden,Favorite,Drought Tolerant,Bog,Reblooming,Naturalizing;Deer Resistant;Burgundy;Medium; ;Summer; ;
Molinia caerulea ssp. arundinacea 'Windspiel';6-7 ft;18-24 in;2-3 ft;4-9;Tan;Windspiel moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July,June,December;Songbirds;Long Blooming,Dried Flower,Cut Flower,Rain Garden,Coastal,Clay Soil,Naturalizing;Deer Resistant;Green;Medium;High;Winter,Fall,Summer,Spring; ;
Molinia caerulea subsp. caerulea 'Edith Dudszus';24-30 in;24-30 in;30-36 in;4 - 8;Purple;Edith Dudszus purple moor grass;Moist;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium;Low;Winter,Fall,Summer,Spring; ;
Molinia caerulea subsp. caerulea 'Heidebraut';3-4 ft;12-18 in;18-24 in;5 - 9;Gold;Heidebraut moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July;Songbirds;Naturalizing,Long Blooming,Interesting Foliage,Cut Flower,Clay Soil,Rain Garden;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Molinia caerulea subsp. caerulea 'Moorhexe';2-3 ft;18-24 in;2-3 ft;4 - 9;Purple;Moorhexe moor grass;Moist;Full Sun to Partial Shade;October,September,August,July;Songbirds;Long Blooming,Dried Flower,Cut Flower,Coastal,Clay Soil,Rain Garden,Naturalizing;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Monarda didyma;2-3 ft;2-3 ft;2 ft;4-7;Red;Scarlet Bee Balm;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators,Hummingbirds;Rain Garden,Favorite,East-Coast Native,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Monarda didyma 'Gardenview Scarlet';2-3 ft;2-3 ft;2 ft;4-9;Red;Gardenview Scarlet beebalm;Moist to Wet;Full Sun to Partial Shade;July,June,August;Butterflies,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Naturalizing,Clay Soil,Rain Garden,Long Blooming,Bog,Ground Cover,Interesting Foliage,Fragrant;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Monarda didyma 'Jacob Cline';3-5 ft;2-3 ft;2 ft;4-8;Red;Jacob Cline Bee Balm;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators,Hummingbirds;Fragrant,Cut Flower,Rain Garden,Clay Soil,Bog,Naturalizing,Long Blooming;Deer Resistant;Green;Medium; ;Summer; ;
Monarda fistulosa;2-4 ft;2-3 ft;12-18 in;3-8;Purple;Wild bergamot;Moist to Wet;Full Sun;August,July,June;Pollinators,Hummingbirds,Butterflies;Dried Flower,Cut Flower,Clay Soil,Naturalizing,Long Blooming,Fragrant,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Summer; ;
Monarda fistulosa 'Claire Grace';2-3 ft;2-3 ft;1-2 ft;3-8;Purple;Claire Grace Bee Balm;Dry to Moist;Full Sun;September,August,July,June;Hummingbirds,Butterflies;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing,Fragrant;Deer Resistant;Green;Medium;Medium;Summer; ;
Nassella tenuissima;12-24 in;12 in;12 in;6-10;White;Mexican Feather Grass;Moist to Dry;Full Sun to Partial Shade;August,July;Pollinators;Naturalizing,Interesting Foliage,East-Coast Native,Drought Tolerant,Dried Flower,Container,Rock Garden;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring,Winter; ;
Origanum laevigatum 'Herrenhausen';1-2 ft;1-2 ft;2-3 ft;6-9;Purple;Ornamental oregano;Dry to Moist;Full Sun;September,August,July;Songbirds,Pollinators,Butterflies;Naturalizing,Cut Flower,Long Blooming,Coastal,Ground Cover,Clay Soil,Interesting Foliage,Fragrant,Rock Garden,Drought Tolerant,Reblooming,Dried Flower;Deer Resistant;Green;Fast;High;Fall,Summer; ;
Panicum virgatum;3-6 ft;2-3 ft; ;3-9;Green, Tan;Switch grass;Wet to Moist;Full Sun,Sun/Light Shade;July;Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Cut Flower; ;Green; ;Medium; ;Hydrocarbons;
Panicum virgatum 'Cape Breeze';24-30 Inches;18-24 ft;18 in;4-9;Blue Green, Yellow;Switch Grass;Moist to Dry;Full Sun to Partial Shade;August,July,February,December,January,November,October,September;Pollinators;Naturalizing,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring,Winter;Hydrocarbons;
Panicum virgatum 'Cloud Nine';6-8 ft;2-3 ft;4 ft;4-9;Green, Tan;Switch grass;Moist to Wet;Full Sun,Sun/Light Shade;July;Songbirds,Pollinators,Butterflies;Drought Tolerant,Bog,Rain Garden,Interesting Foliage; ;Blue-Green;Fast;Medium;Summer,Spring,Fall;Hydrocarbons;
Panicum virgatum 'Heavy Metal';3-4 ft;1-2 ft;3 ft;4-9;Blue, Tan;Switch grass;Moist to Wet;Full Sun;July;Songbirds;Interesting Foliage,Drought Tolerant,Dried Flower,Cut Flower,Rain Garden,Clay Soil; ;Blue;Fast;High;Summer,Spring,Winter,Fall;Hydrocarbons;
Panicum virgatum 'North Wind';4-6 ft;2-3 ft;3 ft;4-9;Blue Green, Yellow;Switch grass;Moist to Dry;Full Sun to Partial Shade;September,August;Pollinators,Songbirds;Drought Tolerant,Dried Flower,Clay Soil; ;Gray-Green;Fast;Medium;Summer,Spring,Winter,Fall;Hydrocarbons;
Panicum virgatum 'Prairie Sky';3-5 ft;2-3 ft;3 ft;3-9;Green;Switch grass;Moist to Wet;Full Sun;September;Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing; ;Blue-Green;Fast;Medium;Spring,Winter,Fall,Summer;Hydrocarbons;
Panicum virgatum 'Shenandoah';2-3 ft;2 ft;3 ft;4-9;Burgundy, Green;Switch grass;Moist to Wet;Full Sun;June,September,August,July,October;Songbirds,Pollinators;Clay Soil,Drought Tolerant,Coastal; ;Burgundy,Blue-Green; ;Medium;Summer,Spring,Winter,Fall;Hydrocarbons;
Patrinia scabiosifolia;3-6 ft;18-24 in;24-36 in;5 - 8;Yellow;Patrina;Moist/Well-Drained;Full Sun;September,August,July,June;Pollinators,Butterflies;Long Blooming,Drought Tolerant,Cut Flower,Reblooming,Naturalizing; ; ;Fast; ;Fall,Summer,Spring; ;
Pennisetum alopecuroides 'Cassian';24-30 in;24-30 in;30-48 in;5 - 9;White;Cassian dwarf fountain grass;Moist to Wet;Full Sun to Partial Shade;October,September,August;Songbirds;Long Blooming,Rain Garden,Ground Cover,Drought Tolerant,Dried Flower,Clay Soil,Bog,Naturalizing; ;Green; ; ;Fall,Summer,Spring; ;
Perovskia atriplicifolia;3-5 ft;2-4 ft;3-4 ft;5 - 9;Lavender-Blue;Russian sage;Dry to Moist;Full Sun;October,September,August,July;Pollinators,Butterflies;Interesting Foliage,Fragrant,Drought Tolerant,Clay Soil,Reblooming,Naturalizing,Long Blooming;Deer Resistant;Silver;Medium;Medium;Summer,Spring,Fall; ;
Phlox divaricata;12-18 in;10-15 m;12 in;3-8;Lavender, Rose;Woodland Phlox;Moist;Full Shade to Partial Shade;May,April;Songbirds,Hummingbirds,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Naturalizing,Ground Cover,Fragrant;Deer Resistant;Green; ; ;Fall,Summer,Spring,Winter; ;
Phlox divaricata 'Blue Moon';1 ft;1 ft; ;4-8;Blue;Woodland phlox;Moist;Full Shade to Partial Shade;May,April;Pollinators,Hummingbirds,Butterflies;Rain Garden,Fragrant,Drought Tolerant,Clay Soil,Rock Garden,Ground Cover; ;Green; ; ; ; ;
Phlox stolonifera;6-8 in;2 ft; ;5-9;Pink, Purple;Creeping phlox;Moist/Well-Drained;Full Shade to Partial Shade;June,May;Pollinators,Butterflies;Long Blooming,Ground Cover,East-Coast Native,Drought Tolerant,Rain Garden,Naturalizing;Deer Resistant;Green; ; ;Spring,Summer; ;
Phlox stolonifera 'Sherwood Purple';6-8 in;6-12 in; ;5-9;Violet;Creeping phlox;Moist/Well-Drained;Full Shade to Partial Shade;June,May;Hummingbirds,Butterflies;Naturalizing,Ground Cover,Fragrant,Drought Tolerant,Rain Garden;Deer Resistant;Green;Medium;Medium;Spring,Summer; ;
