Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Amorpha canascens;1-3 ft;1-3 ft;1-3 ft;2-9;Purple Blue;Lead plant;Well-Drained;Full Sun;July,June;Pollinators,Butterflies;Naturalizing,Interesting Foliage,Drought Tolerant; ;Gray-Green;Slow; ;Summer,Spring; ;
Amsonia hubrichtii;4-5 ft;2-3 ft; ;5-9;Blue;Thread leafed bluestar;Moist;Full Sun to Partial Shade;July,June; ;Rock Garden,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Amsonia illustris;3 ft;3 ft;3-4 ft;5-9;Blue;Shining bluestar;Moist;Full Sun to Partial Shade;May; ;Naturalizing,Rain Garden,Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Bog; ;Green; ; ;Fall,Spring; ;
Amsonia tabernaemontana;2-3 ft;2-3 ft; ;4-9;Blue;Bluestar, Blue Dogbane;Moist;Full Sun to Partial Shade;June,May; ;Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontana v. salicifolia;3 ft;2-3 ft; ;3-9;Blue;Willow leaf Bluestar;Moist;Partial Shade to Full Sun;June,May;Butterflies;Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontani 'Grande';2-3 ft;2-3 ft;2 ft;5-9;Blue;Bluestar;Moist;Full Sun to Partial Shade;June,May; ;Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog; ;Green; ; ; ; ;
Amsonia tabernemontana 'Blue Ice';15 in;2 ft; ;4-9;Blue;Dwarf blue star;Moist;Full Sun;May,June;Pollinators;Long Blooming,Drought Tolerant,Bog; ;Green;Medium; ;Fall,Summer,Spring; ;
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;Big bluestem;Moist to Dry;Full Sun;August; ;Drought Tolerant,Dried Flower;Deer Resistant;Blue-Green; ;Medium; ; ;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;Broom sedge;Moist to Dry;Full Sun;September; ;Naturalizing; ; ; ;High; ; ;
Anemone canadensis;1-2 ft;2-3 ft;18-24 in;3-8;White;Meadow anemone;Moist to Wet;Full Sun to Partial Shade;June,May,April; ;Clay Soil,Naturalizing; ;Green; ; ; ; ;
Anemone virginiana;3 ft;1-2 ft;18-24 in;3-8;White;Thimble weed;Moist;Full Sun,Shade,Partial Shade;June,May; ;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Antennaria neglecta;4-8 in; ; ;3-8;White;Field pussytoes;Moist to Dry;Full Sun to Partial Shade;June,May,April;Butterflies,Pollinators;Clay Soil; ;Green;Slow;Medium;Summer,Spring,Winter,Fall; ;
Antennaria plantaginifolia;6-12 in;8-18 in;12-18 in;3-8;White;Plantain-leaved pussytoes;Dry;Full Sun;June,May,April;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Dried Flower,Rock Garden,Naturalizing,Ground Cover; ;Green;Slow;Medium;Summer,Spring; ;
Aquilegia canadensis;2 ft;1-2 ft; ;3-8;Red;Wild columbine;Moist;Full Sun to Full Shade;May,April;Hummingbirds;Naturalizing,Cut Flower;Deer Resistant;Green; ;High;Summer,Spring; ;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;Swamp milkweed;Wet to Moist;Full Sun to Partial Shade;June,July;Butterflies,Songbirds,Pollinators;Naturalizing,Fragrant,Clay Soil;Deer Resistant;Green;Fast;Medium; ; ;
Asclepias incarnata 'Ice Ballet';3-4 ft;2-3 in;3-4 ft;3-9;White;Swamp milkweed;Wet to Moist;Full Sun;August,July;Pollinators,Butterflies;Fragrant,Rain Garden,East-Coast Native,Cut Flower,Bog,Naturalizing; ;Green; ;Medium; ; ;
Asclepias tuberosa;1-3 ft;1-2 ft;18-24 in;4-10;Orange;Butterfly weed;Dry;Full Sun to Partial Shade;July,June;Butterflies;Naturalizing,Favorite,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Asclepias verticillata;2 ft;1-2 ft;18-24 in;3-10;White;Eastern whorled milkweed;Dry to Moist;Full Sun;August,July;Butterflies;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Aster azureus (Symphyotrichum oolentangiense);24-36 ft;18-24 in;24-36 in;3 - 8;Light Blue;skyblue aster;Dry to Moist;Full Sun;October,September;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster cordifolius;2-3 Feet;2-3 ft;2-3 ft;3-8; ;Blue wood aster;Moist to Dry;Full Shade to Partial Shade;November,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ;Medium;Spring,Summer; ;
Aster divaricatus;2-3 Feet;3-4 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Partial Shade to Full Shade;November,October,September;Butterflies;Drought Tolerant; ;Green; ; ; ; ;
Aster divaricatus 'Eastern Star';1-2 ft;2-3 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Full Shade to Partial Shade;October,September;Butterflies;Naturalizing,Long Blooming,East-Coast Native,Rain Garden,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Medium;Medium;Fall,Summer; ;
Aster ericoides;1-3 ft;1-2 ft;18 in;3-10;White;heath aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Aster ericoides 'Snow Flurry';6-8 Inches;2-4 Feet; ;3-9;White;Snow Flurry heath aster;Dry to Moist;Full Sun to Partial Shade;October,September;Butterflies,Pollinators;Favorite,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Clay Soil,Naturalizing,Interesting Foliage;Deer Resistant;Green; ;Medium;Fall,Summer,Spring; ;
Aster laevis;2-3 ft;2-4 ft;24-36 in;4-8;Blue;Smooth blue aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green;Medium;Medium;Spring,Fall,Summer; ;
Aster lateriflorus 'Lady in Black';3-4 ft;3 ft;3-5 ft;3-8;White;Calico aster;Dry,Moist;Full Sun to Partial Shade;October,September;Pollinators,Butterflies;Cut Flower,Coastal,Clay Soil,Rock Garden;Deer Resistant;Purple;Fast;Medium;Fall,Summer,Spring; ;
Aster macrophyllus;1-3 Feet;2-3 ft;3-4 ft;3-8;Lavender;Big leaf aster;Moist to Dry;Full Shade to Partial Shade;August,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Fall,Spring; ;
Aster macrophyllus 'Twilight';30-36 in;30-36 in;36 in;3-9;Lavender-Blue;Twilight big leaf aster;Moist to Dry;Partial Sun;September,August;Butterflies,Pollinators; ; ;Maroon,Green;Fast;Medium;Fall,Summer,Spring; ;
Aster novae-angliae;3-6 ft;2-3 ft;4-6 ft;3-8;Violet;New England aster;Moist to Wet;Full Sun to Partial Shade;September,August,October;Butterflies;Naturalizing,East-Coast Native,Rain Garden,Cut Flower,Clay Soil; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Aster novae-angliae 'Purple Dome';2 ft;2-3 ft; ;3-8;Violet;New England aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Cut Flower;Deer Resistant;Green; ;Medium; ; ;
Aster novi-belgii;3-4 ft;3 ft;4-6 ft;4-8;Purple;New York aster;Moist to Wet;Full Sun to Partial Shade;October,September,August;Butterflies;Cut Flower;Deer Resistant;Green; ;Medium; ; ;
Aster oblongifolius 'October Skies';15 in;2 ft;24-36 in;5-8;Blue;Aromatic aster;Moist to Dry;Full Sun;October;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Green;Fast; ;Spring,Fall,Summer; ;
Aster oblongifolius 'Raydons Favorite';3 ft;3 ft;3-6 ft;3-8;Blue;Aromatic aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Long Blooming,Rain Garden,Favorite,Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster puniceus;3-6 ft;2-3 ft;4-6 ft;3-8;Light Blue;Purple stemmed aster;Wet to Moist;Full Sun to Partial Shade;September,August,October;Butterflies;Rain Garden,Naturalizing,East-Coast Native,Cut Flower,Bog; ;Green;Medium;Medium; ; ;
Aster spectabilis;1-2 ft;2 ft;3-4 ft;4-8;Violet;Showy aster;Dry to Moist;Partial Shade to Full Sun;August,October,September; ;Clay Soil,Naturalizing,Long Blooming,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Summer,Spring,Fall; ;
Aster umbellatus;2-5 ft;2-4 ft;3-6 ft;3-8;White;Flat topped white aster;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rain Garden,Bog; ;Green;Fast;Medium;Spring,Summer; ;
Astilbe japonica 'Deutschland';18-24 in;18-24 in;18-24 in;4 - 9;White;Astilbe;Moist;Full Shade to Partial Shade;June,May;Pollinators,Butterflies;Ground Cover,Interesting Foliage,Dried Flower,Cut Flower;Deer Resistant;Green; ; ;Summer,Spring,Fall; ;
Astilbe japonica 'Rheinland';18-24 in;18-24 in;18-24 in; ;Pink;Astilbe;Moist;Partial Shade to Full Shade;June,May;Pollinators,Butterflies;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Interesting Foliage;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Astilbe × arendsii 'Fanal';12-18 in;9-12 in;12-18 in;3 - 8;Red;Astilbe;Moist;Full Shade to Partial Shade;July;Pollinators,Butterflies;Interesting Foliage,Dried Flower,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Blue-Green;Medium; ; ; ;
Baptisia australis;3-4 ft;3-4 ft;6-8 ft;4-8;Purple Red;Blue false indigo;Moist to Dry;Full Sun;June,May;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Bog,Naturalizing,Rain Garden,Interesting Foliage,Favorite;Deer Resistant;Green; ;Medium; ; ;
Baptisia tinctoria;2-3 Feet;2-3 ft;3-6 ft;3-9;Yellow;Yellow wild indigo;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing;Deer Resistant;Green;Slow;Medium;Summer,Spring; ;
Blephilia ciliata;1-2 ft;1-2 ft;2-3 ft;4-8;Pink;Downy wood mint;Moist to Dry;Full Sun to Partial Shade;June,August,July;Butterflies,Pollinators;Naturalizing,Interesting Foliage,Favorite,Rain Garden,Drought Tolerant; ;Green;Medium; ;Spring,Summer; ;
Boltonia asteroides;3-5 ft;2-4 ft;4-6 ft;3-9;White;Thousand-flowered aster;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;Long Blooming,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Bouteloua curtipendula;1-3 ft;2 ft;3-4 ft;3-9;Green, Tan;Sideoats grama;Dry;Full Sun;July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant; ; ;Medium; ; ;
Bouteloua gracilis;9-24 Inches;18-24 Inches;18 in;3-10;Blue Green, Tan;Blue Grama;Dry;Full Sun to Partial Shade;June,August,July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant;Blue-Green;Medium; ;Fall,Summer,Spring,Winter;Hydrocarbons;
Calamagrostis brachytricha;2 ft;2 ft;3 ft;4-9;Pink;Korean Feather Reed Grass;Moist to Wet;Full Sun;November,October,September;Pollinators;Rain Garden,Interesting Foliage,Bog; ;Burgundy Variegation; ; ;Fall,Summer,Spring,Winter; ;
Calamagrostis x acutiflora 'Karl Foerster';3-5 ft;1-3 ft; ;5-9;Purple;Feather reed grass;Moist to Wet;Full Sun;August,July,June,May,October,September;Songbirds;Clay Soil; ;Green; ; ;Summer,Spring,Winter,Fall; ;
Calamintha nepeta 'Blue Cloud';10-12 in;12-18 in;18-24 in;5 - 9;Light Blue;Blue Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Ground Cover,Drought Tolerant,Cut Flower,Rock Garden,Container,Reblooming,Clay Soil,Naturalizing,Long Blooming;Deer Resistant; ;Medium;Low;Fall,Summer,Spring; ;
Calamintha nepeta 'White Cloud';1-2 ft;1-2 ft;18-24 in;5 - 9;White;White Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Favorite,Drought Tolerant,Cut Flower,Rock Garden,Container,Long Blooming,Clay Soil,Interesting Foliage,Fragrant;Deer Resistant;Green;Fast;Low;Fall,Summer,Spring; ;
Calamintha nepeta ssp nepeta;12-18 in;12-24 in;18-24 in;5 - 7;White;Calamint;Dry to Moist;Full Sun;September,August,July,June;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ; ;Fast;Medium;Fall,Summer,Spring; ;
Callirhoe involucrata;6-12 in;1-3 ft;2-3 ft;3-9;Purple Red;Wine cups;Dry;Full Sun to Partial Shade;September,August,July;Pollinators,Butterflies;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Clay Soil,Naturalizing,Long Blooming,Ground Cover; ;Green; ; ; ; ;
Caltha palustris;1 ft;1-2 ft;18-24 in;3-7;Yellow;Marsh marigold;Wet to Moist;Full Sun to Full Shade;June,May,April;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Medium;High;Summer,Spring; ;
Campanula carpatica 'Deep Blue Clips';6-12 in;8-12 in;12-18 in;4 - 9;Blue;Carpathian bellflower;Dry to Moist;Full Sun to Partial Shade;September,August,July,June,May;Butterflies,Pollinators;Reblooming,Long Blooming,Drought Tolerant,Cut Flower,Container,Rock Garden; ; ;Medium; ;Summer,Spring; ;
Campanula glomerata 'Superba';18-30 in;12-24 in;18-24 in;2 - 9;Purple, Purple Blue;Superba clustered bellflower;Moist;Full Sun to Partial Shade;July,June;Pollinators,Hummingbirds,Butterflies;Cut Flower;Deer Resistant;Green; ; ;Summer,Spring; ;
Campsis radicans;30-40 ft;5-10 ft; ;5-9;Orange, Red;Trumpet creeper;Moist/Well-Drained;Full Sun to Partial Shade;September,August,July,June;Pollinators,Hummingbirds,Butterflies;Drought Tolerant,Climbing,Clay Soil,Naturalizing,Long Blooming,East-Coast Native;Deer Resistant;Green;Fast;Low;Summer,Spring; ;
Carex albicans;15-20 Inches;15-20 in;12-18 in;4-8;Green;White-tinged sedge;Moist to Dry;Partial Shade to Full Shade;May;Pollinators,Songbirds;Ground Cover; ;Green; ; ; ; ;
Carex amphibola;12-18 in;12-18 in;15-24 in;3-9;Green;Creek sedge;Moist to Wet;Partial Shade to Full Shade;March,June,May,April; ; ; ;Green; ; ; ; ;
Carex appalachica;6 Inches;12-18 in;18-24 in;3-7;Green;Appalachian sedge;Dry;Full Sun,Shade,Partial Shade;May; ;Rock Garden,Ground Cover;Deer Resistant; ; ; ; ; ;
Carex bicknellii;1-3 Feet;1-3 ft;2-6 ft;3-7;Green;Prairie sedge;Moist to Dry;Full Sun to Full Shade;May; ;Rain Garden; ;Green; ; ; ; ;
Carex blanda;2 ft;2 ft;3 ft;3-9;Green;Common Wood Sedge;Moist to Dry;Full Shade to Full Sun;May;Butterflies,Songbirds,Pollinators;East-Coast Native,Clay Soil,Bog,Rain Garden; ;Green;Fast; ;Summer,Spring,Winter,Fall; ;
Carex brevior;12 in;12 in;18-24 in;3-8;Green;Plains oval sedge;Moist to Dry;Full Sun to Partial Shade;May,April; ;Drought Tolerant,Rain Garden,Naturalizing,Ground Cover,Evergreen,East-Coast Native; ;Green; ; ; ; ;
Carex bromoides;1 ft;12-18 Inches;1-2 ft;4-8;Green, Tan;Brome-like sedge;Moist to Wet;Full Sun to Partial Shade;July,June,May;Pollinators,Songbirds;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil,Bog;Deer Resistant;Green;Fast; ;Spring; ;
Carex cherokeensis;12-18 in;1 ft;12-18 in;6-9;Green;Cherokee sedge;Wet to Moist;Full Sun to Full Shade;June,May,April;Pollinators,Songbirds; ;Deer Resistant; ; ; ; ; ;
Carex comosa;2-3 Feet;18-36 in;18-24 in;4-8;Brown, Green;Bristly sedge, Longhair sedge;Wet to Moist;Full Sun to Partial Shade;July,August; ; ; ; ; ; ; ; ;
Carex crinita;3-4 ft;3-4 ft;6-8 ft;3-9;Blue, Green;Fringed sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ; ;Blue-Green; ; ; ; ;
Carex divulsa;1-3 ft;1-3 ft;18-24 in;4-9;Green;grassland sedge;Moist/Well-Drained;Full Sun to Partial Shade;June,May;Songbirds,Pollinators;Rock Garden,Ground Cover,Evergreen,Drought Tolerant; ;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Carex elata;12-30 in;12-30 in;24 in;4 - 9;Tan;Tufted sedge;Wet to Moist;Full Sun to Partial Shade;June,May;Pollinators,Songbirds;Dried Flower,Bog,Rain Garden;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Carex flacca 'Blue Zinger';1-2 ft;1-2 ft;2-3 ft;5-9;Gold, Green;Blue Zinger Sedge;Moist/Well-Drained;Partial Shade,Shade;August,July;Songbirds,Pollinators;Clay Soil,Bog,Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Drought Tolerant;Deer Resistant;Blue;Medium; ;Summer,Spring,Winter,Fall; ;
Carex flaccosperma;1 ft;1 ft;18-24 in;5-8;Blue;Blue wood sedge;Moist to Dry;Full Sun to Full Shade;June;Pollinators;Naturalizing,Rain Garden,Ground Cover,East-Coast Native,Clay Soil,Bog;Deer Resistant;Blue; ; ; ; ;
Carex grayi;2-3 ft;1-2 ft; ;5 to 9;Silver;Bur sedge, Grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Rain Garden,Cut Flower,Dried Flower;Deer Resistant;Green; ; ; ; ;
Carex grayi 'New Moon Mighty';3-4 ft;1-2 ft; ;5-9;Green;New Moon Mighty grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October;Pollinators,Songbirds;Long Blooming,Ground Cover,Dried Flower,Rain Garden,Cut Flower,Bog,Reblooming,Naturalizing;Deer Resistant;Green; ; ;Fall,Summer,Spring; ;
Carex humilis 'Hexe';6 in;16 in;10-12 in;4 - 8;Yellow;Hexe dwarf sedge;Dry;Partial Shade;May,April;Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant,Rock Garden; ;Green;Slow; ;Summer,Spring,Fall; ;
Carex laxiculmis;1 ft; ; ;4-7;White, Yellow;Creeping sedge;Moist;Full Shade to Partial Shade;July,June,May,April; ;Ground Cover;Deer Resistant;Blue-Green; ; ; ; ;
Carex leavenworthii;6-12 in;6-12 Inches;12-18 in;6-9; ;Lawn Sedge;Moist;Full Shade to Full Sun;April;Songbirds,Pollinators,Butterflies;Interesting Foliage,Evergreen,Drought Tolerant,Naturalizing,Ground Cover;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Carex lurida;3 ft;1-2 ft; ;2-9;Green, Tan;Lurid sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ;Deer Resistant; ; ; ; ; ;
Carex montana;6 in;1 ft;1 ft;4-10;Tan;Mountain sedge;Dry;Partial Shade;March,April;Pollinators;Rock Garden,Ground Cover,Drought Tolerant;Deer Resistant; ;Fast;High;Fall,Summer,Spring; ;
Carex morrowii 'Ice Dance';9-12 Inches;9-12 Inches;12 in;5-9;Green, White;Ice Dance Japanese Sedge;Moist to Wet;Partial Shade to Full Shade;April,July,June,May;Pollinators;Rain Garden,Ground Cover,Interesting Foliage,Evergreen,Container,Bog;Deer Resistant;Silver;Medium; ;Fall,Summer,Spring,Winter; ;
Carex morrowii 'Silver Sceptre';8-12 in;8-12 in;12-18 in;5 - 9;Tan;Silver Sceptre sedge;Moist to Wet;Partial Shade to Full Shade;May;Pollinators;Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Clay Soil,Bog;Deer Resistant;White/Cream Variegation;Medium; ;Spring,Winter,Fall,Summer; ;
Carex muskingumensis;2-3 ft;2-3 ft;12-18 in;4-7;Green, Tan;Palm sedge;Moist to Wet;Full Sun to Partial Shade;July; ;Drought Tolerant,Naturalizing;Deer Resistant; ; ; ; ; ;
Carex muskingumensis 'Little Midge';8-10 inches;10-18 inches;12-18 in;3-9;Green, Tan;Little Midge Palm sedge;Moist to Wet;Full Sun to Partial Shade;July;Butterflies,Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Fast; ;Winter,Fall,Summer,Spring; ;
Carex oshimensis 'Evergold';9-12 Inches;12-18 Inches;18-24 in;5-8;Gold, Green;Evergold Sedge;Moist,Moist to Wet,Wet;Partial Shade to Full Shade;May;Pollinators;Rain Garden,Evergreen,Container,Clay Soil,Bog,Ground Cover,Interesting Foliage;Deer Resistant;Gold/Yellow Variegation;Medium; ;Fall,Summer,Spring,Winter; ;
Carex pensylvanica;16 in;1 ft;6-10 in;3-8;Green, Tan;Pennsylvania sedge;Moist to Dry;Full Shade to Partial Shade;May; ;Ground Cover,Naturalizing;Deer Resistant; ;Medium; ; ; ;
Carex plantaginea;6-12 in;10-12 in;12-24 in;4-8;Green;Seersucker sedge;Moist;Partial Shade to Full Shade;May; ;Rock Garden,Ground Cover; ; ; ; ; ; ;
Carex radiata;1-2 ft;1-2 ft;1-2 ft;4-8;Green;Eastern star sedge;Moist;Partial Shade;June,May;Songbirds;Ground Cover,East-Coast Native,Rain Garden,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Carex remota;18-24 inches;18-24 inches;24-36 inches;5-9;Green;Remote Sedge;Moist;Partial Shade;May,April;Songbirds,Pollinators,Butterflies;Rain Garden,Evergreen,Clay Soil,Ground Cover,Interesting Foliage;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Carex rosea;1 ft;1 ft;18-24 in;4-8;Green;Rosy sedge, Curly wood sedge;Dry,Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Bog,Naturalizing,Rain Garden,Ground Cover;Deer Resistant;Green;Medium; ; ; ;
Carex socialis;1-2 ft;1-2 ft;24-36 in;5-9;Green;Social sedge, low woodland sedge;Wet to Moist,Wet,Moist;Partial Shade;June; ;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
Carex sprengelii;1-3 ft;2 ft;2-3 ft;3-5;Brown, Green;Long Beaked Sedge;Moist to Wet;Full Sun to Partial Shade;August,July;Songbirds;Rain Garden,Naturalizing,Ground Cover,East-Coast Native,Bog;Deer Resistant;Green;Medium; ; ; ;
Carex stricta;3-4 ft;1-2 ft; ;5-8;Green, Tan;Tussock sedge;Wet to Moist;Partial Shade to Full Sun;June; ;Bog,Naturalizing,Evergreen;Deer Resistant; ; ; ; ; ;
Carex texensis;6 Inches;1 ft;18-24 in;5-9;Green;Catlin sedge;Dry,Dry to Moist,Moist;Full Sun to Full Shade;May; ;Ground Cover,Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Naturalizing;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Carex vulpinoidea;2-4 ft;2-4 ft;3-4 ft;3-9;Green, Tan;Fox sedge;Wet to Moist;Partial Shade to Full Sun;June;Pollinators,Songbirds;Naturalizing;Deer Resistant;Green; ; ;Spring; ;
