Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Chasmanthium latifolium;3-4 ft;2-3 ft; ;5-8;Green, Tan;Northern seaoates;Moist to Wet;Full Sun,Full Sun to Full Shade;July;Songbirds,Pollinators;Naturalizing,Dried Flower,Cut Flower; ; ; ;Medium; ; ;
Danthonia spicata;1-2 ft;1 ft;18-24 in;3-8;Green;Poverty oat grass;Dry;Full Sun to Full Shade;June;Butterflies; ; ;Green; ; ; ; ;
Deschampsia caespitosa;2-4 ft;1-2 ft;2-3 ft;2-8;Green, Tan;Tufted hairgrass;Moist to Wet;Partial Shade to Full Sun;July;Songbirds;Ground Cover; ; ; ;Medium;Spring,Winter,Fall,Summer;Fe - Iron,Zn-Zinc,Ni - Nickel,Cu-Copper,Mg - Magnesium;
Deschampsia caespitosa 'Goldtau';1-2 ft;2 ft;3 ft;3-8;Green, Tan;gold dew tufted hair grass;Moist to Wet;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Long Blooming,Rain Garden,Ground Cover,East-Coast Native,Drought Tolerant; ;Green; ;Medium;Winter,Fall,Summer;Ni - Nickel,Cu-Copper,Mg - Magnesium,Fe - Iron,Zn-Zinc;
Elymus hystrix;3-5 ft;1-2 ft; ;2-8;Green, Tan;Bottlebrush grass;Moist to Dry;Full Shade to Partial Shade;August;Songbirds;Naturalizing,Drought Tolerant,Cut Flower; ; ; ; ; ;Hydrocarbons;
Elymus virginicus;2-4 ft;1-2 in;18-24 in;3-8;Green, Tan;Virginia wild rye;Wet to Moist;Full Sun to Partial Shade;August; ;Bog,Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Drought Tolerant,Clay Soil; ;Green; ; ; ;Hydrocarbons;
Equisetum hyemale;2-4 ft;1-6 ft;2-8 ft;4-9;Green;scouring rush, rough horsetail;Moist,Moist to Wet,Wet to Moist,Wet;Full Sun to Partial Shade;July,August;Songbirds,Pollinators;Coastal,Rain Garden,Rock Garden,Clay Soil,Naturalizing,Bog,Interesting Foliage,Evergreen,East-Coast Native,Container;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Eragrostis spectabilis;2 ft;1-2 ft;18-24 in;5-9;Red, Tan;Purple love grass;Moist to Dry,Well-Drained;Full Sun;September,August;Pollinators,Butterflies;Dried Flower,Cut Flower,Coastal,Naturalizing,Ground Cover,Drought Tolerant; ;Purple;Fast;High;Fall,Summer,Spring,Winter; ;
Juncus effusus;3-4 ft;2-3 ft;2 ft;2-9;Insignificant;Soft rush;Moist to Wet,Wet,Wet to Moist,Moist;Full Sun;July;Pollinators;Coastal,Clay Soil,Bog,Naturalizing,Rain Garden,Evergreen,East-Coast Native;Deer Resistant;Green;Fast; ;Summer,Spring,Winter,Fall; ;
Juncus tenuis;6-24 in;6-24 in;12 in;3-9;Green, Tan;Path rush;Moist to Wet;Full Sun to Full Shade;July;Pollinators;Naturalizing,Ground Cover,Rain Garden,Drought Tolerant,Clay Soil,Bog;Deer Resistant;Green;Fast;Medium;Spring,Winter,Fall,Summer; ;
Koeleria macrantha;1-2 ft;1-2 ft;2-3 ft;3-9;Green, Tan;Prairie junegrass;Dry;Full Sun;June,May;Songbirds;Naturalizing,East-Coast Native,Drought Tolerant,Dried Flower; ;Green;Fast;Medium;Fall,Summer; ;
Luzula acuminata;1-2 ft;1-2 ft;2 ft;3-8;Green;Hairy woodrush;Moist;Partial Shade to Full Shade;July; ;Rain Garden,Ground Cover,Bog; ;Red,Green; ; ;Fall,Summer,Spring; ;
Molinia caerulea ssp. arundinacea 'Windspiel';6-7 ft;18-24 in;2-3 ft;4-9;Tan;Windspiel moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July,June,December;Songbirds;Long Blooming,Dried Flower,Cut Flower,Rain Garden,Coastal,Clay Soil,Naturalizing;Deer Resistant;Green;Medium;High;Winter,Fall,Summer,Spring; ;
Molinia caerulea subsp. caerulea 'Edith Dudszus';24-30 in;24-30 in;30-36 in;4 - 8;Purple;Edith Dudszus purple moor grass;Moist;Full Sun to Partial Shade;August,October,September;Songbirds;Naturalizing,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium;Low;Winter,Fall,Summer,Spring; ;
Molinia caerulea subsp. caerulea 'Heidebraut';3-4 ft;12-18 in;18-24 in;5 - 9;Gold;Heidebraut moor grass;Moist;Full Sun to Partial Shade;November,October,September,August,July;Songbirds;Naturalizing,Long Blooming,Interesting Foliage,Cut Flower,Clay Soil,Rain Garden;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Molinia caerulea subsp. caerulea 'Moorhexe';2-3 ft;18-24 in;2-3 ft;4 - 9;Purple;Moorhexe moor grass;Moist;Full Sun to Partial Shade;October,September,August,July;Songbirds;Long Blooming,Dried Flower,Cut Flower,Coastal,Clay Soil,Rain Garden,Naturalizing;Deer Resistant;Green;Medium;Low;Fall,Summer,Spring,Winter; ;
Muhlenbergia capillaris;3-4 ft;3-4 ft;4 ft;6-11;Pink, Purple;Pink hair grass;Dry to Moist;Full Sun to Partial Shade;September,August; ;Cut Flower,Naturalizing,Drought Tolerant;Deer Resistant;Green;Medium;High; ; ;
Nassella tenuissima;12-24 in;12 in;12 in;6-10;White;Mexican Feather Grass;Moist to Dry;Full Sun to Partial Shade;August,July;Pollinators;Naturalizing,Interesting Foliage,East-Coast Native,Drought Tolerant,Dried Flower,Container,Rock Garden;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring,Winter; ;
Panicum virgatum;3-6 ft;2-3 ft; ;3-9;Green, Tan;Switch grass;Wet to Moist;Full Sun,Sun/Light Shade;July;Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Cut Flower; ;Green; ;Medium; ;Hydrocarbons;
Panicum virgatum 'Cape Breeze';24-30 Inches;18-24 ft;18 in;4-9;Blue Green, Yellow;Switch Grass;Moist to Dry;Full Sun to Partial Shade;August,July,February,December,January,November,October,September;Pollinators;Naturalizing,Drought Tolerant;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring,Winter;Hydrocarbons;
Panicum virgatum 'Heavy Metal';3-4 ft;1-2 ft;3 ft;4-9;Blue, Tan;Switch grass;Moist to Wet;Full Sun;July;Songbirds;Interesting Foliage,Drought Tolerant,Dried Flower,Cut Flower,Rain Garden,Clay Soil; ;Blue;Fast;High;Summer,Spring,Winter,Fall;Hydrocarbons;
Panicum virgatum 'Prairie Sky';3-5 ft;2-3 ft;3 ft;3-9;Green;Switch grass;Moist to Wet;Full Sun;September;Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing; ;Blue-Green;Fast;Medium;Spring,Winter,Fall,Summer;Hydrocarbons;
Panicum virgatum 'Shenandoah';2-3 ft;2 ft;3 ft;4-9;Burgundy, Green;Switch grass;Moist to Wet;Full Sun;June,September,August,July,October;Songbirds,Pollinators;Clay Soil,Drought Tolerant,Coastal; ;Burgundy,Blue-Green; ;Medium;Summer,Spring,Winter,Fall;Hydrocarbons;
Pennisetum alopecuroides;3-4 ft;3 ft;4 ft;5-9;Green;Fountain Grass;Moist to Wet,Wet,Moist,Wet to Moist,Moist/Well-Drained;Full Sun,Partial Shade to Full Sun,Full Sun to Partial Shade,Light Shade,Sun/Light Shade;September,August,October;Butterflies;Rain Garden,Naturalizing,Interesting Foliage,Dried Flower,Coastal,Bog; ;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Pennisetum alopecuroides 'Cassian';24-30 in;24-30 in;30-48 in;5 - 9;White;Cassian dwarf fountain grass;Moist to Wet;Full Sun to Partial Shade;October,September,August;Songbirds;Long Blooming,Rain Garden,Ground Cover,Drought Tolerant,Dried Flower,Clay Soil,Bog,Naturalizing; ;Green; ; ;Fall,Summer,Spring; ;
Pennisetum alopecuroides 'Hameln';1-2 ft;1-2 ft;3 ft;6-8;Pink, White;Dwarf fountain grass;Moist to Wet;Full Sun to Partial Shade;October,September,August;Songbirds;Ground Cover,Rain Garden,Dried Flower,Cut Flower; ;Green;Medium;Medium;Summer,Spring,Winter,Fall; ;
Schizachyrium scoparium;2-4 ft;2-3 ft;12-18 inches;4-10;Green, Tan;Little bluestem;Dry,Well-Drained;Full Sun to Partial Shade;September;Songbirds,Pollinators,Butterflies;Dried Flower,Clay Soil,Naturalizing,Drought Tolerant; ;Gray-Green,Blue-Green;Medium;High;Fall,Summer,Spring,Winter;Cu-Copper;
Schizachyrium scoparium 'Jazz';2 ft;1-2 ft;12-18 in;4-9;Green, Tan;Jazz little bluestem;Dry;Full Sun;September; ;Drought Tolerant;Deer Resistant; ; ;Medium;Fall; ;
Schizachyrium scoparium 'Standing Ovation PP 25202';3-4 ft;12-18 in;12-18 in;3-8;Silver;Little bluestem;Dry;Full Sun to Partial Shade;October,September;Songbirds;Rock Garden,Interesting Foliage,Drought Tolerant,Coastal,Clay Soil; ;Blue;Fast;Medium;Spring,Winter,Fall,Summer; ;
Schizachyrium scoparium 'The Blues';2-3 ft;1-2 ft;12-18 in;4-9;Green, Tan;Little bluestem;Dry;Full Sun;September; ;Drought Tolerant;Deer Resistant; ; ;Medium;Fall; ;
Scirpus atrovirens;3-4 ft;2-4 ft;3-4 ft;3-9;Green, Tan;Green bulrush;Wet to Moist;Full Sun to Partial Shade;September,August,July,June; ;Naturalizing,Rain Garden; ;Green; ;Medium;Fall,Summer,Spring,Winter; ;
Scirpus cyperinus;3-6 ft;3-5 ft;4 ft;4-9;Green, Tan;Wool grass;Wet to Moist;Full Sun to Partial Shade;September,August,July; ;Rain Garden,Bog,Naturalizing,East-Coast Native; ;Green; ;Medium;Fall,Summer,Spring,Winter; ;
Scirpus validus (tabernaemontani);6-8 ft;4-5 ft;4 ft;3-9;Green, Tan;Soft stemmed bulrush;Wet,Wet to Moist;Full Sun to Partial Shade;October,September,August,July,June;Songbirds,Pollinators;East-Coast Native,Coastal,Clay Soil,Bog,Rain Garden,Naturalizing,Interesting Foliage;Deer Resistant;Green; ;Medium;Spring,Winter,Fall,Summer;Zn-Zinc,Pb-Lead,Cu-Copper,Cd-Cadmium;
Sesleria autumnalis;9-24 in;12-18 in;18-24 in;5-9;White;Autumn Moor Grass;Moist to Dry;Full Sun to Partial Shade;April;Pollinators;Rock Garden,Ground Cover,Interesting Foliage,Drought Tolerant;Deer Resistant;Chartreuse;Medium; ;Spring,Winter,Fall,Summer; ;
Sesleria x 'Greenlee Hybrid';8-12 in;8-12 in;16-24 in;5-9;White;Greenlee's Hybrid Moor Grass;Average,Well-Drained,Dry;Full Sun,Light Shade,Sun/Light Shade;April;Pollinators;Drought Tolerant,Rock Garden;Deer Resistant;Chartreuse;Medium; ;Winter,Fall,Summer,Spring; ;
Sorghastrum nutans;3-5 ft;2-3 ft;3 ft;2-9;Green, Tan;Indian grass;Dry to Moist;Full Sun to Partial Shade;August;Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Clay Soil; ;Green;Fast;Low;Fall,Summer,Spring,Winter; ;
Sporobolus airoides;4 ft;2 ft;3 ft;4-9;Purple, Yellow;Alkali Sacaton;Moist to Dry,Dry;Full Sun;August;Songbirds,Pollinators;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Naturalizing,Rain Garden,Ground Cover,Fragrant;Deer Resistant;Green,Bronze;Fast;High;Summer,Spring,Winter,Fall; ;
Sporobolus heterolepis;1-2 ft;2-3 ft; ;3-8;Green, Tan;Prairie dropseed;Moist to Dry,Dry;Full Sun;August;Songbirds,Pollinators;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Naturalizing,Ground Cover,Fragrant;Deer Resistant;Bronze,Green;Fast;Medium;Spring,Winter,Fall,Summer; ;
