Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Amorpha canascens;1-3 ft;1-3 ft;1-3 ft;2-9;Purple Blue;Lead plant;Well-Drained;Full Sun;July,June;Pollinators,Butterflies;Naturalizing,Interesting Foliage,Drought Tolerant; ;Gray-Green;Slow; ;Summer,Spring; ;
Amsonia hubrichtii;4-5 ft;2-3 ft; ;5-9;Blue;Thread leafed bluestar;Moist;Full Sun to Partial Shade;July,June; ;Rock Garden,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Amsonia illustris;3 ft;3 ft;3-4 ft;5-9;Blue;Shining bluestar;Moist;Full Sun to Partial Shade;May; ;Naturalizing,Rain Garden,Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Bog; ;Green; ; ;Fall,Spring; ;
Amsonia tabernaemontana;2-3 ft;2-3 ft; ;4-9;Blue;Bluestar, Blue Dogbane;Moist;Full Sun to Partial Shade;June,May; ;Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontana v. salicifolia;3 ft;2-3 ft; ;3-9;Blue;Willow leaf Bluestar;Moist;Partial Shade to Full Sun;June,May;Butterflies;Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontani 'Grande';2-3 ft;2-3 ft;2 ft;5-9;Blue;Bluestar;Moist;Full Sun to Partial Shade;June,May; ;Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog; ;Green; ; ; ; ;
Amsonia tabernemontana 'Blue Ice';15 in;2 ft; ;4-9;Blue;Dwarf blue star;Moist;Full Sun;May,June;Pollinators;Long Blooming,Drought Tolerant,Bog; ;Green;Medium; ;Fall,Summer,Spring; ;
Anemone canadensis;1-2 ft;2-3 ft;18-24 in;3-8;White;Meadow anemone;Moist to Wet;Full Sun to Partial Shade;June,May,April; ;Clay Soil,Naturalizing; ;Green; ; ; ; ;
Anemone virginiana;3 ft;1-2 ft;18-24 in;3-8;White;Thimble weed;Moist;Full Sun,Shade,Partial Shade;June,May; ;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Antennaria neglecta;4-8 in; ; ;3-8;White;Field pussytoes;Moist to Dry;Full Sun to Partial Shade;June,May,April;Butterflies,Pollinators;Clay Soil; ;Green;Slow;Medium;Summer,Spring,Winter,Fall; ;
Antennaria plantaginifolia;6-12 in;8-18 in;12-18 in;3-8;White;Plantain-leaved pussytoes;Dry;Full Sun;June,May,April;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Dried Flower,Rock Garden,Naturalizing,Ground Cover; ;Green;Slow;Medium;Summer,Spring; ;
Aquilegia canadensis;2 ft;1-2 ft; ;3-8;Red;Wild columbine;Moist;Full Sun to Full Shade;May,April;Hummingbirds;Naturalizing,Cut Flower;Deer Resistant;Green; ;High;Summer,Spring; ;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;Swamp milkweed;Wet to Moist;Full Sun to Partial Shade;June,July;Butterflies,Songbirds,Pollinators;Naturalizing,Fragrant,Clay Soil;Deer Resistant;Green;Fast;Medium; ; ;
Asclepias incarnata 'Ice Ballet';3-4 ft;2-3 in;3-4 ft;3-9;White;Swamp milkweed;Wet to Moist;Full Sun;August,July;Pollinators,Butterflies;Fragrant,Rain Garden,East-Coast Native,Cut Flower,Bog,Naturalizing; ;Green; ;Medium; ; ;
Asclepias tuberosa;1-3 ft;1-2 ft;18-24 in;4-10;Orange;Butterfly weed;Dry;Full Sun to Partial Shade;July,June;Butterflies;Naturalizing,Favorite,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Asclepias verticillata;2 ft;1-2 ft;18-24 in;3-10;White;Eastern whorled milkweed;Dry to Moist;Full Sun;August,July;Butterflies;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Aster azureus (Symphyotrichum oolentangiense);24-36 ft;18-24 in;24-36 in;3 - 8;Light Blue;skyblue aster;Dry to Moist;Full Sun;October,September;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster cordifolius;2-3 Feet;2-3 ft;2-3 ft;3-8; ;Blue wood aster;Moist to Dry;Full Shade to Partial Shade;November,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ;Medium;Spring,Summer; ;
Aster divaricatus;2-3 Feet;3-4 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Partial Shade to Full Shade;November,October,September;Butterflies;Drought Tolerant; ;Green; ; ; ; ;
Aster divaricatus 'Eastern Star';1-2 ft;2-3 ft;2-3 ft;3-8;White;White wood aster;Moist to Dry;Full Shade to Partial Shade;October,September;Butterflies;Naturalizing,Long Blooming,East-Coast Native,Rain Garden,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Medium;Medium;Fall,Summer; ;
Aster ericoides;1-3 ft;1-2 ft;18 in;3-10;White;heath aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Aster ericoides 'Snow Flurry';6-8 Inches;2-4 Feet; ;3-9;White;Snow Flurry heath aster;Dry to Moist;Full Sun to Partial Shade;October,September;Butterflies,Pollinators;Favorite,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Clay Soil,Naturalizing,Interesting Foliage;Deer Resistant;Green; ;Medium;Fall,Summer,Spring; ;
Aster laevis;2-3 ft;2-4 ft;24-36 in;4-8;Blue;Smooth blue aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green;Medium;Medium;Spring,Fall,Summer; ;
Aster lateriflorus 'Lady in Black';3-4 ft;3 ft;3-5 ft;3-8;White;Calico aster;Dry,Moist;Full Sun to Partial Shade;October,September;Pollinators,Butterflies;Cut Flower,Coastal,Clay Soil,Rock Garden;Deer Resistant;Purple;Fast;Medium;Fall,Summer,Spring; ;
Aster macrophyllus;1-3 Feet;2-3 ft;3-4 ft;3-8;Lavender;Big leaf aster;Moist to Dry;Full Shade to Partial Shade;August,October,September;Butterflies,Pollinators;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Fall,Spring; ;
Aster macrophyllus 'Twilight';30-36 in;30-36 in;36 in;3-9;Lavender-Blue;Twilight big leaf aster;Moist to Dry;Partial Sun;September,August;Butterflies,Pollinators; ; ;Maroon,Green;Fast;Medium;Fall,Summer,Spring; ;
Aster novae-angliae;3-6 ft;2-3 ft;4-6 ft;3-8;Violet;New England aster;Moist to Wet;Full Sun to Partial Shade;September,August,October;Butterflies;Naturalizing,East-Coast Native,Rain Garden,Cut Flower,Clay Soil; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Aster novae-angliae 'Purple Dome';2 ft;2-3 ft; ;3-8;Violet;New England aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Cut Flower;Deer Resistant;Green; ;Medium; ; ;
Aster novi-belgii;3-4 ft;3 ft;4-6 ft;4-8;Purple;New York aster;Moist to Wet;Full Sun to Partial Shade;October,September,August;Butterflies;Cut Flower;Deer Resistant;Green; ;Medium; ; ;
Aster oblongifolius 'October Skies';15 in;2 ft;24-36 in;5-8;Blue;Aromatic aster;Moist to Dry;Full Sun;October;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Green;Fast; ;Spring,Fall,Summer; ;
Aster oblongifolius 'Raydons Favorite';3 ft;3 ft;3-6 ft;3-8;Blue;Aromatic aster;Moist to Dry;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Long Blooming,Rain Garden,Favorite,Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green;Fast;Medium;Fall,Summer,Spring; ;
Aster puniceus;3-6 ft;2-3 ft;4-6 ft;3-8;Light Blue;Purple stemmed aster;Wet to Moist;Full Sun to Partial Shade;September,August,October;Butterflies;Rain Garden,Naturalizing,East-Coast Native,Cut Flower,Bog; ;Green;Medium;Medium; ; ;
Aster spectabilis;1-2 ft;2 ft;3-4 ft;4-8;Violet;Showy aster;Dry to Moist;Partial Shade to Full Sun;August,October,September; ;Clay Soil,Naturalizing,Long Blooming,East-Coast Native,Drought Tolerant,Cut Flower; ;Green; ;Medium;Summer,Spring,Fall; ;
Aster umbellatus;2-5 ft;2-4 ft;3-6 ft;3-8;White;Flat topped white aster;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rain Garden,Bog; ;Green;Fast;Medium;Spring,Summer; ;
Astilbe japonica 'Deutschland';18-24 in;18-24 in;18-24 in;4 - 9;White;Astilbe;Moist;Full Shade to Partial Shade;June,May;Pollinators,Butterflies;Ground Cover,Interesting Foliage,Dried Flower,Cut Flower;Deer Resistant;Green; ; ;Summer,Spring,Fall; ;
Astilbe japonica 'Rheinland';18-24 in;18-24 in;18-24 in; ;Pink;Astilbe;Moist;Partial Shade to Full Shade;June,May;Pollinators,Butterflies;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Interesting Foliage;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Astilbe × arendsii 'Fanal';12-18 in;9-12 in;12-18 in;3 - 8;Red;Astilbe;Moist;Full Shade to Partial Shade;July;Pollinators,Butterflies;Interesting Foliage,Dried Flower,Cut Flower,Clay Soil,Ground Cover;Deer Resistant;Blue-Green;Medium; ; ; ;
Baptisia australis;3-4 ft;3-4 ft;6-8 ft;4-8;Purple Red;Blue false indigo;Moist to Dry;Full Sun;June,May;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Bog,Naturalizing,Rain Garden,Interesting Foliage,Favorite;Deer Resistant;Green; ;Medium; ; ;
Baptisia tinctoria;2-3 Feet;2-3 ft;3-6 ft;3-9;Yellow;Yellow wild indigo;Dry to Moist;Full Sun to Partial Shade;June,May;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing;Deer Resistant;Green;Slow;Medium;Summer,Spring; ;
Blephilia ciliata;1-2 ft;1-2 ft;2-3 ft;4-8;Pink;Downy wood mint;Moist to Dry;Full Sun to Partial Shade;June,August,July;Butterflies,Pollinators;Naturalizing,Interesting Foliage,Favorite,Rain Garden,Drought Tolerant; ;Green;Medium; ;Spring,Summer; ;
Boltonia asteroides;3-5 ft;2-4 ft;4-6 ft;3-9;White;Thousand-flowered aster;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;Long Blooming,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Calamintha nepeta 'Blue Cloud';10-12 in;12-18 in;18-24 in;5 - 9;Light Blue;Blue Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Ground Cover,Drought Tolerant,Cut Flower,Rock Garden,Container,Reblooming,Clay Soil,Naturalizing,Long Blooming;Deer Resistant; ;Medium;Low;Fall,Summer,Spring; ;
Calamintha nepeta 'White Cloud';1-2 ft;1-2 ft;18-24 in;5 - 9;White;White Cloud lesser calamint;Dry to Moist;Full Sun to Partial Shade;August,July,June,October,September;Butterflies,Pollinators;Favorite,Drought Tolerant,Cut Flower,Rock Garden,Container,Long Blooming,Clay Soil,Interesting Foliage,Fragrant;Deer Resistant;Green;Fast;Low;Fall,Summer,Spring; ;
Calamintha nepeta ssp nepeta;12-18 in;12-24 in;18-24 in;5 - 7;White;Calamint;Dry to Moist;Full Sun;September,August,July,June;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ; ;Fast;Medium;Fall,Summer,Spring; ;
Callirhoe involucrata;6-12 in;1-3 ft;2-3 ft;3-9;Purple Red;Wine cups;Dry;Full Sun to Partial Shade;September,August,July;Pollinators,Butterflies;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Clay Soil,Naturalizing,Long Blooming,Ground Cover; ;Green; ; ; ; ;
Caltha palustris;1 ft;1-2 ft;18-24 in;3-7;Yellow;Marsh marigold;Wet to Moist;Full Sun to Full Shade;June,May,April;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Medium;High;Summer,Spring; ;
Campanula carpatica 'Deep Blue Clips';6-12 in;8-12 in;12-18 in;4 - 9;Blue;Carpathian bellflower;Dry to Moist;Full Sun to Partial Shade;September,August,July,June,May;Butterflies,Pollinators;Reblooming,Long Blooming,Drought Tolerant,Cut Flower,Container,Rock Garden; ; ;Medium; ;Summer,Spring; ;
Campanula glomerata 'Superba';18-30 in;12-24 in;18-24 in;2 - 9;Purple, Purple Blue;Superba clustered bellflower;Moist;Full Sun to Partial Shade;July,June;Pollinators,Hummingbirds,Butterflies;Cut Flower;Deer Resistant;Green; ; ;Summer,Spring; ;
Carex grayi;2-3 ft;1-2 ft; ;5 to 9;Silver;Bur sedge, Grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Rain Garden,Cut Flower,Dried Flower;Deer Resistant;Green; ; ; ; ;
Carex grayi 'New Moon Mighty';3-4 ft;1-2 ft; ;5-9;Green;New Moon Mighty grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October;Pollinators,Songbirds;Long Blooming,Ground Cover,Dried Flower,Rain Garden,Cut Flower,Bog,Reblooming,Naturalizing;Deer Resistant;Green; ; ;Fall,Summer,Spring; ;
Carex morrowii 'Ice Dance';9-12 Inches;9-12 Inches;12 in;5-9;Green, White;Ice Dance Japanese Sedge;Moist to Wet;Partial Shade to Full Shade;April,July,June,May;Pollinators;Rain Garden,Ground Cover,Interesting Foliage,Evergreen,Container,Bog;Deer Resistant;Silver;Medium; ;Fall,Summer,Spring,Winter; ;
Ceratostigma plumbaginoides;8-12 in;12-18 in;18-24 in;5 - 9;Blue;plumbago;Moist;Full Sun to Partial Shade;September,August,July;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming;Deer Resistant;Green;Fast; ;Summer,Spring,Fall; ;
Chasmanthium latifolium;3-4 ft;2-3 ft; ;5-8;Green, Tan;Northern seaoates;Moist to Wet;Full Sun,Full Sun to Full Shade;July;Songbirds,Pollinators;Naturalizing,Dried Flower,Cut Flower; ; ; ;Medium; ; ;
Chelone glabra;2-3 ft;2 ft;3-4 ft;3-8;White;Turtlehead;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;East-Coast Native,Cut Flower,Clay Soil,Bog,Rain Garden,Naturalizing,Long Blooming;Deer Resistant;Green; ; ; ; ;
Chelone lyonii 'Hot Lips';2-3 ft;1 ft;18-24 in;4-7;Medium Pink;Pink turtlehead;Moist to Wet;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;Drought Tolerant,Rain Garden,Cut Flower,Clay Soil,Bog,Long Blooming,East-Coast Native;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Chrysogonum virginianum;3-4 in;8-10 Inches;12 in;5-9;Yellow;Golden star;Well-Drained;Partial Shade to Full Shade;June,May,April;Pollinators;Naturalizing,Ground Cover,Evergreen,Drought Tolerant,Clay Soil,Rock Garden,Reblooming;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chrysogonum virginianum 'Allen Bush';6 in;1 ft;18 in;5-9;Yellow;Golden star;Well-Drained,Moist;Partial Shade to Full Shade;June,May,April;Pollinators;Ground Cover,East-Coast Native,Drought Tolerant,Clay Soil,Reblooming,Long Blooming; ;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chrysogonum virginianum 'Superstar';5 in;12 in;18 in;5-9;Yellow;Golden star;Moist to Dry;Partial Shade;June,May,April;Pollinators;Ground Cover,Interesting Foliage,Evergreen,Drought Tolerant,Rock Garden,Clay Soil,Naturalizing,Long Blooming; ;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Chyrsopsis mariana;2 ft;2 ft;2-3 ft;4-8;Yellow;Maryland golden star;Dry to Moist;Full Sun to Partial Shade;October,September,August; ;Ground Cover,Rock Garden,Naturalizing,Long Blooming; ;Green;Medium; ;Summer,Spring; ;
Coreopsis lanceolata;2-3 ft;2-3 ft;18-24 in;4-9;Yellow;Lanceleaf tickseed;Dry to Moist;Full Sun;July,June,May;Butterflies;Naturalizing,Drought Tolerant;Deer Resistant;Green; ;Medium; ; ;
Coreopsis rosea;1-2 ft;2-3 ft;2-3 ft;3-8;Pink;Pink tickseed;Dry to Moist;Full Sun;August,July,June;Songbirds,Pollinators,Butterflies;Interesting Foliage,East-Coast Native,Cut Flower,Rock Garden,Reblooming,Naturalizing,Ground Cover;Deer Resistant;Green; ; ; ; ;
Coreopsis tripteris;4-7 ft;2-8 ft;4-8 ft;4-9;Yellow;Tall coreopsis;Moist to Dry;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Naturalizing;Deer Resistant;Green; ;Low;Fall,Summer,Spring; ;
Coreopsis verticillata 'Zagreb';12-18 Inches;1-2 ft;18-24 in;3-9;Yellow;Thread leaf tickseed;Moist to Dry;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Favorite,Drought Tolerant,Clay Soil,Rock Garden,Reblooming,Long Blooming;Deer Resistant;Green;Fast; ;Summer,Spring,Fall; ;
Dalea purpurea;3 ft;1-2 ft;2 ft;3-8;Purple Red;Purple Prairie Clover;Dry;Full Sun;August,July,June;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Rock Garden,Naturalizing,Interesting Foliage,Favorite; ;Green;Medium;Medium;Summer,Spring; ;
Desmodium canadense;3-5 ft;2-3 ft; ;3 - 7;Pink;Showy tick trefoil;Moist to Dry;Full Sun to Partial Shade;August,July;Butterflies,Songbirds,Pollinators,Hummingbirds;Drought Tolerant,Cut Flower,Clay Soil,Naturalizing,Interesting Foliage; ;Green;Medium; ;Summer,Spring; ;
Dianthus gratianopolitanus 'Firewitch';4-6 in;6-12 in;8-12 in;3 - 8;Pink-violet;Firewitch cheddar pink;Average;Full Sun;June,May;Pollinators,Butterflies;Ground Cover,Fragrant,Container,Clay Soil;Deer Resistant;Gray-Green;Medium; ;Spring,Summer; ;
Dicentra eximia;12-18 Inches;18-24 in;2-3 ft;4-8;Pink;Wild bleeding heart;Moist;Partial Shade to Full Shade;May,April,July,June;Pollinators,Hummingbirds;East-Coast Native,Drought Tolerant,Reblooming,Cut Flower,Naturalizing,Clay Soil,Long Blooming,Interesting Foliage,Favorite;Deer Resistant;Green;Slow; ;Summer,Spring; ;
Echinacea palida;2-3 ft;1 ft;2 ft;3 - 8;Lavender-Pink;Pale Purple Coneflower;Dry to Moist;Full Sun to Partial Shade;July,June,September,August;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Fragrant;Deer Resistant;Green;Fast;Low;Summer; ;
Echinacea pallida 'Hula Dancer';2-3 ft;12-18 in;18-24 in;3-8;White;Hula Dancer cone flower;Dry to Moist;Full Sun to Partial Shade;July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Coastal,Clay Soil,Long Blooming;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Echinacea purpurea;3-4 ft;2-2 ft; ;4-9;Lavender-Pink;Purple coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Cut Flower,Clay Soil;Deer Resistant;Green; ;Medium; ; ;
Echinacea purpurea 'Magnus';2-3 ft;2 ft;2-3 ft;4-9;Violet Red;Purple coneflower;Moist to Dry;Full Sun;July; ;Rain Garden,Rock Garden,Long Blooming,Interesting Foliage,Drought Tolerant,Cut Flower; ;Green;Medium;Medium;Summer,Spring; ;
Echinacea purpurea 'PowWow White';16-20 in;12-16 in;2 ft;3-8;White;PowWow White coneflower;Dry to Moist;Full Sun to Partial Shade;August,July,June;Butterflies,Songbirds,Pollinators;Long Blooming,Rain Garden,Drought Tolerant,Cut Flower,Clay Soil,Reblooming; ;Green;Medium;Medium;Fall,Summer,Spring; ;
Echinacea purpurea 'PowWow Wild Berry';2-3 Feet;1-2 ft;2-3 ft;4-9;Magenta;Purple coneflower;Dry to Moist;Full Shade to Partial Shade;August,July,June;Butterflies,Songbirds,Pollinators;Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Rain Garden,Reblooming;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Echinacea purpurea 'White Swan';2-3 ft;1-2 ft;2-3 ft;4-9;White;White coneflower;Moist to Dry;Full Sun;August,July,June,September;Songbirds,Pollinators,Butterflies;Cut Flower,Coastal,Clay Soil,Rock Garden,Naturalizing,Drought Tolerant,Dried Flower;Deer Resistant;Green;Medium;Medium;Spring,Fall,Summer; ;
Echinacea tennesseensis;2-3 ft;1-2 ft;2-3 ft;5-9;Pink;Tennessee coneflower;Moist to Dry;Full Sun to Partial Shade;September,August,July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Reblooming,Long Blooming,East-Coast Native;Deer Resistant;Green;Medium;High;Spring,Fall,Summer; ;
Echinops bannaticus 'Blue Glow';2-4 ft;1-2 ft;1-2 ft;3 - 8;Blue;Blue globe thistle;Average;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing; ;Silver;Medium; ;Fall,Summer,Spring; ;
Eryngium planum 'Blaukappe';24-28 in;2 ft;2-3 ft;4-8;Deep Blue;Blue cap sea holly;Dry;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Rock Garden,Cut Flower,Reblooming,Clay Soil,Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant,Dried Flower;Deer Resistant;Green,Gray-Green;Medium;High;Fall,Summer,Spring,Winter;Pb-Lead,Cu-Copper;
Eryngium yuccifolium;2-5 ft;2 ft;2-3 ft;5-9;Green, White;Rattlesnake master;Dry to Moist;Full Sun;July,June,September,August;Songbirds,Pollinators,Butterflies;Dried Flower,Cut Flower,Rock Garden,Clay Soil,Naturalizing,Long Blooming,Interesting Foliage,Drought Tolerant; ;Green,Gray-Green;Medium; ;Fall,Summer;Pb-Lead,Cu-Copper;
Eupatorium altissimum;2-6 ft;2-3 ft;3-5 ft;4-8;White;tall thoroughwort, tall boneset;Dry to Moist;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Coastal,Naturalizing,Long Blooming;Deer Resistant; ;Fast;High;Fall,Summer; ;
Eupatorium coelestinum;1-3 ft;2 ft; ;5-9;Blue;Mistflower, hardy ageratum;Moist to Dry;Full Sun to Partial Shade;September,October;Butterflies;Naturalizing,Rain Garden,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ; ; ; ;
Eupatorium dubium;2-5 ft;2 ft;3-4 ft;4-8;Pink;Three-nerved Joe pye;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Clay Soil,Naturalizing,Bog,Long Blooming,Rain Garden,Fragrant,East-Coast Native;Deer Resistant;Green;Fast; ;Spring,Summer; ;
Eupatorium fistulosum;5-10 ft;2-3 ft;3-6 ft;4-9;Mauve;Joe pye weed;Wet to Moist;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;Long Blooming,East-Coast Native,Drought Tolerant,Rain Garden,Cut Flower,Clay Soil,Naturalizing; ;Green;Fast; ;Summer,Spring; ;
